('1.338399686999992', ('192.168.4.9', 8000), b'message: 13\r\n')
('3.2340113529999144', ('192.168.4.9', 8000), b'message: 14\r\n')
('5.206944894000117', ('192.168.4.9', 8000), b'message: 15\r\n')
('9.032732237000118', ('192.168.4.20', 8000), b'message: 7\r\n')
('9.264780777999931', ('192.168.4.9', 8000), b'message: 16\r\n')
('10.278055986000027', ('192.168.4.9', 8000), b'message: 17\r\n')
('11.058460881999963', ('192.168.4.20', 8000), b'message: 8\r\n')
('11.62720364200004', ('192.168.4.9', 8000), b'message: 18\r\n')
('15.192693224000095', ('192.168.4.9', 8000), b'message: 0\r\n')
('16.262743066999974', ('192.168.4.9', 8000), b'message: 1\r\n')
('17.99818962900008', ('192.168.4.4', 8000), b'message: 0\r\n')
('20.434435566000047', ('192.168.4.20', 8000), b'message: 9\r\n')
('20.93783978400006', ('192.168.4.4', 8000), b'message: 1\r\n')
('21.58514348199992', ('192.168.4.9', 8000), b'message: 0\r\n')
('22.309263482000006', ('192.168.4.4', 8000), b'message: 2\r\n')
('22.44434697099996', ('192.168.4.20', 8000), b'message: 10\r\n')
('22.787875772999996', ('192.168.4.4', 8000), b'message: 3\r\n')
('22.888424575000045', ('192.168.4.20', 8000), b'message: 11\r\n')
('23.08119832500006', ('192.168.4.20', 8000), b'message: 12\r\n')
('23.55473040800007', ('192.168.4.4', 8000), b'message: 4\r\n')
('25.41866847999995', ('192.168.4.4', 8000), b'message: 5\r\n')
('26.521543688000065', ('192.168.4.9', 8000), b'message: 1\r\n')
('27.345964677999973', ('192.168.4.20', 8000), b'message: 13\r\n')
('29.659283061999986', ('192.168.4.9', 8000), b'message: 0\r\n')
('30.066539520000106', ('192.168.4.9', 8000), b'message: 1\r\n')
('31.74747524899999', ('192.168.4.4', 8000), b'message: 6\r\n')
('32.26944920699998', ('192.168.4.4', 8000), b'message: 7\r\n')
('35.704647226000134', ('192.168.4.4', 8000), b'message: 8\r\n')
('36.84508024699994', ('192.168.4.20', 8000), b'message: 0\r\n')
('36.94562550699993', ('192.168.4.4', 8000), b'message: 9\r\n')
('37.14437180899995', ('192.168.4.9', 8000), b'message: 2\r\n')
('37.34358300700001', ('192.168.4.4', 8000), b'message: 10\r\n')
('37.610560351000004', ('192.168.4.4', 8000), b'message: 11\r\n')
('37.711109674', ('192.168.4.9', 8000), b'message: 3\r\n')
('38.06623826700002', ('192.168.4.20', 8000), b'message: 1\r\n')
('38.49069597500011', ('192.168.4.20', 8000), b'message: 2\r\n')
('38.74702467299994', ('192.168.4.4', 8000), b'message: 12\r\n')
('40.762488735000034', ('192.168.4.4', 8000), b'message: 13\r\n')
('40.987628474000076', ('192.168.4.9', 8000), b'message: 4\r\n')
('42.28941279700007', ('192.168.4.9', 8000), b'message: 5\r\n')
('42.738357796999935', ('192.168.4.9', 8000), b'message: 6\r\n')
('43.113727014999995', ('192.168.4.20', 8000), b'message: 3\r\n')
('43.701483629999984', ('192.168.4.4', 8000), b'message: 14\r\n')
('44.027362796000034', ('192.168.4.4', 8000), b'message: 15\r\n')
('45.83476128500001', ('192.168.4.9', 8000), b'message: 7\r\n')
('46.35010529500005', ('192.168.4.20', 8000), b'message: 4\r\n')
('47.47359279500006', ('192.168.4.20', 8000), b'message: 5\r\n')
('47.89648774300008', ('192.168.4.20', 8000), b'message: 6\r\n')
('48.16300315900003', ('192.168.4.20', 8000), b'message: 7\r\n')
('48.62585550299991', ('192.168.4.20', 8000), b'message: 8\r\n')
('48.72640628399995', ('192.168.4.9', 8000), b'message: 8\r\n')
('50.242040293999935', ('192.168.4.9', 8000), b'message: 9\r\n')
