('10:48:55.774733', b'>\r\n', 'sent:1-0*')
('10:48:55.796047', b'>\r\n', 'sent:1-1*')
('10:48:55.818118', b'>\r\n', 'sent:1-2*')
('10:48:56.144140', b'>\r\n', 'sent:1-3*')
('10:48:56.227131', b'>\r\n', 'sent:1-4*')
('10:48:56.313133', b'D2-1**************************\trssi:-22\r\n', '')
('10:48:56.374095', b'D2-2**************************\trssi:-22\r\n', '')
('10:48:56.374201', b'>\r\n', 'sent:1-5*')
('10:48:56.396147', b'>\r\n', 'sent:1-6*')
('10:48:56.418085', b'>\r\n', 'sent:1-7*')
('10:48:56.500119', b'>\r\n', 'sent:1-8*')
('10:48:56.587044', b'D2-3**************************\trssi:-22\r\n', '')
('10:48:56.590100', b'D2-4**************************\trssi:-22\r\n', '')
('10:48:56.594078', b'D2-5**************************\trssi:-22\r\n', '')
('10:48:56.645138', b'>\r\n', 'sent:1-9*')
('10:48:56.666089', b'>\r\n', 'sent:1-10*')
('10:48:56.814012', b'D2-8**************************\trssi:-22\r\n', '')
('10:48:56.817051', b'D2-9**************************\trssi:-22\r\n', '')
('10:48:56.875077', b'D2-10*************************\trssi:-21\r\n', '')
('10:48:56.875181', b'>\r\n', 'sent:1-11*')
('10:48:56.962131', b'D2-11*************************\trssi:-22\r\n', '')
('10:48:56.963080', b'>\r\n', 'sent:1-12*')
('10:48:57.046268', b'>\r\n', 'sent:1-13*')
('10:48:57.129142', b'>\r\n', 'sent:1-14*')
('10:48:57.395121', b'>\r\n', 'sent:1-15*')
('10:48:57.543018', b'D2-16*************************\trssi:-22\r\n', '')
('10:48:57.546087', b'D2-17*************************\trssi:-22\r\n', '')
('10:48:57.604081', b'D2-18*************************\trssi:-23\r\n', '')
('10:48:57.661123', b'>\r\n', 'sent:1-16*')
('10:48:57.869116', b'D2-19*************************\trssi:-21\r\n', '')
('10:48:57.988120', b'>\r\n', 'sent:1-17*')
('10:48:58.010059', b'>\r\n', 'sent:1-18*')
('10:48:58.093086', b'>\r\n', 'sent:1-19*')
('10:48:58.180058', b'D2-20*************************\trssi:-21\r\n', '')
('10:48:58.180161', b'>\r\n', 'sent:1-20*')
('10:48:58.328060', b'D2-21*************************\trssi:-22\r\n', '')
('10:48:58.446164', b'>\r\n', 'sent:1-21*')
('10:48:58.533013', b'D2-22*************************\trssi:-23\r\n', '')
('10:48:58.536040', b'D2-23*************************\trssi:-23\r\n', '')
('10:48:58.594088', b'D2-24*************************\trssi:-22\r\n', '')
('10:48:58.777168', b'D2-25*************************\trssi:-21\r\n', '')
('10:48:58.777243', b'>\r\n', 'sent:1-22*')
('10:48:58.925038', b'D2-26*************************\trssi:-20\r\n', '')
('10:48:58.982101', b'>\r\n', 'sent:1-23*')
('10:48:59.004074', b'>\r\n', 'sent:1-24*')
('10:48:59.090065', b'D2-27*************************\trssi:-22\r\n', '')
('10:48:59.151072', b'D2-28*************************\trssi:-22\r\n', '')
('10:48:59.151176', b'>\r\n', 'sent:1-25*')
('10:48:59.238062', b'D2-29*************************\trssi:-22\r\n', '')
('10:48:59.295110', b'>\r\n', 'sent:1-26*')
('10:48:59.439121', b'>\r\n', 'sent:1-27*')
('10:48:59.460072', b'>\r\n', 'sent:1-28*')
('10:48:59.481104', b'>\r\n', 'sent:1-29*')
('10:48:59.631001', b'D2-31*************************\trssi:-21\r\n', '')
('10:48:59.631100', b'>\r\n', 'sent:1-30*')
('10:48:59.772087', b'>\r\n', 'sent:1-31*')
('10:48:59.857036', b'D2-35*************************\trssi:-20\r\n', '')
('10:48:59.975125', b'>\r\n', 'sent:1-32*')
('10:49:00.060197', b'D2-38*************************\trssi:-20\r\n', '')
('10:49:00.117111', b'>\r\n', 'sent:1-33*')
('10:49:00.204043', b'D2-39*************************\trssi:-19\r\n', '')
('10:49:00.265050', b'D2-40*************************\trssi:-21\r\n', '')
('10:49:00.326197', b'D2-41*************************\trssi:-23\r\n', '')
('10:49:00.326302', b'>\r\n', 'sent:1-34*')
('10:49:00.409120', b'>\r\n', 'sent:1-35*')
('10:49:00.497011', b'D2-43*************************\trssi:-22\r\n', '')
('10:49:00.554092', b'>\r\n', 'sent:1-36*')
('10:49:00.701988', b'D2-44*************************\trssi:-22\r\n', '')
('10:49:00.702094', b'>\r\n', 'sent:1-37*')
('10:49:00.788013', b'D2-46*************************\trssi:-21\r\n', '')
('10:49:00.849031', b'D2-47*************************\trssi:-21\r\n', '')
('10:49:01.031088', b'D2-49*************************\trssi:-20\r\n', '')
('10:49:01.035057', b'D2-50*************************\trssi:-21\r\n', '')
('10:49:01.093153', b'D2-51*************************\trssi:-22\r\n', '')
('10:49:01.096202', b'D2-52*************************\trssi:-23\r\n', '')
('10:49:01.100031', b'D2-53*************************\trssi:-25\r\n', '')
('10:49:01.100126', b'>\r\n', 'sent:1-38*')
('10:49:01.244091', b'>\r\n', 'sent:1-39*')
('10:49:01.331044', b'D2-54*************************\trssi:-24\r\n', '')
('10:49:01.334074', b'D2-55*************************\trssi:-24\r\n', '')
('10:49:01.335166', b'>\r\n', 'sent:1-40*')
('10:49:01.483140', b'D2-56*************************\trssi:-23\r\n', '')
('10:49:01.483225', b'>\r\n', 'sent:1-41*')
('10:49:01.570030', b'D2-57*************************\trssi:-23\r\n', '')
('10:49:01.573067', b'D2-58*************************\trssi:-23\r\n', '')
('10:49:01.574131', b'>\r\n', 'sent:1-42*')
('10:49:01.661214', b'D2-59*************************\trssi:-23\r\n', '')
('10:49:01.722058', b'D2-61*************************\trssi:-22\r\n', '')
('10:49:01.725081', b'D2-60*************************\trssi:-23\r\n', '')
('10:49:01.840117', b'>\r\n', 'sent:1-43*')
('10:49:01.923078', b'>\r\n', 'sent:1-44*')
('10:49:01.944085', b'>\r\n', 'sent:1-45*')
('10:49:01.965044', b'>\r\n', 'sent:1-46*')
('10:49:02.051065', b'D2-64*************************\trssi:-21\r\n', '')
('10:49:02.109094', b'>\r\n', 'sent:1-47*')
('10:49:02.196070', b'D2-65*************************\trssi:-19\r\n', '')
('10:49:02.196172', b'>\r\n', 'sent:1-48*')
('10:49:02.404171', b'D2-66*************************\trssi:-20\r\n', '')
('10:49:02.408056', b'D2-67*************************\trssi:-21\r\n', '')
('10:49:02.465986', b'D2-68*************************\trssi:-21\r\n', '')
('10:49:02.469043', b'D2-69*************************\trssi:-21\r\n', '')
('10:49:02.473001', b'D2-70*************************\trssi:-21\r\n', '')
('10:49:02.527053', b'D2-71*************************\trssi:-21\r\n', '')
('10:49:02.527155', b'>\r\n', 'sent:1-49*')
('10:49:02.614165', b'D2-72*************************\trssi:-21\r\n', '')
('10:49:02.617071', b'D2-73*************************\trssi:-21\r\n', '')
('10:49:02.621007', b'D2-74*************************\trssi:-21\r\n', '')
('10:49:02.672078', b'>\r\n', 'sent:1-50*')
('10:49:02.759013', b'D2-75*************************\trssi:-22\r\n', '')
('10:49:02.881052', b'D2-76*************************\trssi:-21\r\n', '')
('10:49:02.881157', b'>\r\n', 'sent:1-51*')
('10:49:02.969040', b'D2-77*************************\trssi:-21\r\n', '')
('10:49:03.030043', b'D2-78*************************\trssi:-21\r\n', '')
('10:49:03.091057', b'D2-79*************************\trssi:-22\r\n', '')
('10:49:03.149048', b'>\r\n', 'sent:1-52*')
('10:49:03.232026', b'>\r\n', 'sent:1-53*')
('10:49:03.372084', b'>\r\n', 'sent:1-54*')
('10:49:03.459031', b'D2-82*************************\trssi:-21\r\n', '')
('10:49:03.462068', b'D2-83*************************\trssi:-21\r\n', '')
('10:49:03.577113', b'>\r\n', 'sent:1-55*')
('10:49:03.599075', b'>\r\n', 'sent:1-56*')
('10:49:03.686028', b'D2-84*************************\trssi:-21\r\n', '')
('10:49:03.743079', b'>\r\n', 'sent:1-57*')
('10:49:03.765068', b'>\r\n', 'sent:1-58*')
('10:49:03.973078', b'D2-86*************************\trssi:-23\r\n', '')
('10:49:03.974039', b'>\r\n', 'sent:1-59*')
('10:49:03.996063', b'>\r\n', 'sent:1-60*')
('10:49:04.204067', b'D2-87*************************\trssi:-20\r\n', '')
('10:49:04.265059', b'D2-90*************************\trssi:-20\r\n', '')
('10:49:04.269146', b'D2-88*************************\trssi:-21\r\n', '')
('10:49:04.272974', b'D2-89*************************\trssi:-21\r\n', '')
('10:49:04.273045', b'>\r\n', 'sent:1-61*')
('10:49:04.293280', b'>\r\n', 'sent:1-62*')
('10:49:04.376000', b'D2-94*************************\trssi:-22\r\n', '')
('10:49:04.437025', b'D2-95*************************\trssi:-20\r\n', '')
('10:49:04.498050', b'D2-96*************************\trssi:-21\r\n', '')
('10:49:04.559070', b'D2-97*************************\trssi:-21\r\n', '')
('10:49:04.559171', b'>\r\n', 'sent:1-63*')
('10:49:04.582076', b'>\r\n', 'sent:1-64*')
('10:49:04.729998', b'D2-99*************************\trssi:-21\r\n', '')
('10:49:04.791006', b'D2-100************************\trssi:-21\r\n', '')
('10:49:04.973073', b'D2-101************************\trssi:-22\r\n', '')
('10:49:05.031075', b'>\r\n', 'sent:1-65*')
('10:49:05.053071', b'>\r\n', 'sent:1-66*')
('10:49:05.075011', b'>\r\n', 'sent:1-67*')
('10:49:05.158085', b'>\r\n', 'sent:1-68*')
('10:49:05.179067', b'>\r\n', 'sent:1-69*')
('10:49:05.509040', b'D2-103************************\trssi:-23\r\n', '')
('10:49:05.567031', b'>\r\n', 'sent:1-70*')
('10:49:05.589026', b'>\r\n', 'sent:1-71*')
('10:49:05.676028', b'D2-104************************\trssi:-22\r\n', '')
('10:49:05.676134', b'>\r\n', 'sent:1-72*')
('10:49:05.820110', b'>\r\n', 'sent:1-73*')
('10:49:06.025154', b'>\r\n', 'sent:1-74*')
('10:49:06.047060', b'>\r\n', 'sent:1-75*')
('10:49:06.069105', b'>\r\n', 'sent:1-76*')
('10:49:06.213069', b'>\r\n', 'sent:1-77*')
('10:49:06.360990', b'D2-105************************\trssi:-20\r\n', '')
('10:49:06.361100', b'>\r\n', 'sent:1-78*')
('10:49:06.447993', b'D2-106************************\trssi:-21\r\n', '')
('10:49:06.451170', b'D2-107************************\trssi:-21\r\n', '')
('10:49:06.451986', b'>\r\n', 'sent:1-79*')
('10:49:06.474034', b'>\r\n', 'sent:1-80*')
('10:49:06.496138', b'>\r\n', 'sent:1-81*')
('10:49:06.518183', b'>\r\n', 'sent:1-82*')
('10:49:06.601056', b'>\r\n', 'sent:1-83*')
('10:49:06.749113', b'D2-108************************\trssi:-22\r\n', '')
('10:49:06.809974', b'D2-109************************\trssi:-21\r\n', '')
('10:49:06.810092', b'>\r\n', 'sent:1-84*')
('10:49:06.897012', b'D2-110************************\trssi:-21\r\n', '')
('10:49:06.897116', b'>\r\n', 'sent:1-85*')
('10:49:06.984001', b'D2-111************************\trssi:-21\r\n', '')
('10:49:07.044994', b'D2-112************************\trssi:-21\r\n', '')
('10:49:07.106037', b'D2-113************************\trssi:-21\r\n', '')
('10:49:07.109971', b'D2-114************************\trssi:-21\r\n', '')
('10:49:07.110076', b'>\r\n', 'sent:1-86*')
('10:49:07.258109', b'D2-115************************\trssi:-21\r\n', '')
('10:49:07.258219', b'>\r\n', 'sent:1-87*')
('10:49:07.280038', b'>\r\n', 'sent:1-88*')
('10:49:07.302033', b'>\r\n', 'sent:1-89*')
('10:49:07.324076', b'>\r\n', 'sent:1-90*')
('10:49:07.345043', b'>\r\n', 'sent:1-91*')
('10:49:07.367032', b'>\r\n', 'sent:1-92*')
('10:49:07.388014', b'>\r\n', 'sent:1-93*')
('10:49:07.474022', b'D2-119************************\trssi:-21\r\n', '')
('10:49:07.477039', b'D2-118************************\trssi:-23\r\n', '')
('10:49:07.535017', b'D2-120************************\trssi:-21\r\n', '')
('10:49:07.717985', b'D2-121************************\trssi:-21\r\n', '')
('10:49:07.721026', b'D2-123************************\trssi:-21\r\n', '')
('10:49:07.721989', b'>\r\n', 'sent:1-94*')
('10:49:07.744040', b'>\r\n', 'sent:1-95*')
('10:49:07.766035', b'>\r\n', 'sent:1-96*')
('10:49:07.787995', b'>\r\n', 'sent:1-97*')
('10:49:07.810075', b'>\r\n', 'sent:1-98*')
('10:49:07.896986', b'D2-124************************\trssi:-21\r\n', '')
('10:49:07.900030', b'D2-125************************\trssi:-21\r\n', '')
('10:49:07.900989', b'>\r\n', 'sent:1-99*')
('10:49:07.989983', b'D2-128************************\trssi:-21\r\n', '')
('10:49:07.993024', b'D2-129************************\trssi:-22\r\n', '')
('10:49:07.994059', b'>\r\n', 'sent:1-100*')
('10:49:08.015997', b'>\r\n', 'sent:1-101*')
('10:49:08.104016', b'D2-132************************\trssi:-21\r\n', '')
('10:49:08.107033', b'D2-133************************\trssi:-21\r\n', '')
