('10:48:55.785075', b'DN****************************\trssi:-10\r\n', '')
('10:48:55.846121', b'D1-0**************************\trssi:-10\r\n', '')
('10:48:55.849181', b'D1-2**************************\trssi:-11\r\n', '')
('10:48:56.211107', b'D1-3**************************\trssi:-11\r\n', '')
('10:48:56.211229', b'>\r\n', 'sent:2-0*')
('10:48:56.296135', b'>\r\n', 'sent:2-1*')
('10:48:56.318151', b'>\r\n', 'sent:2-2*')
('10:48:56.404037', b'D1-5**************************\trssi:-11\r\n', '')
('10:48:56.465099', b'D1-7**************************\trssi:-10\r\n', '')
('10:48:56.468247', b'D1-6**************************\trssi:-12\r\n', '')
('10:48:56.526094', b'D1-8**************************\trssi:-10\r\n', '')
('10:48:56.526210', b'>\r\n', 'sent:2-3*')
('10:48:56.549128', b'>\r\n', 'sent:2-4*')
('10:48:56.571094', b'>\r\n', 'sent:2-5*')
('10:48:56.654086', b'>\r\n', 'sent:2-6*')
('10:48:56.741079', b'D1-10*************************\trssi:-10\r\n', '')
('10:48:56.741191', b'>\r\n', 'sent:2-7*')
('10:48:56.763115', b'>\r\n', 'sent:2-8*')
('10:48:56.785095', b'>\r\n', 'sent:2-9*')
('10:48:56.807085', b'>\r\n', 'sent:2-10*')
('10:48:56.894090', b'D1-11*************************\trssi:-11\r\n', '')
('10:48:56.894195', b'>\r\n', 'sent:2-11*')
('10:48:56.977064', b'>\r\n', 'sent:2-12*')
('10:48:57.060067', b'>\r\n', 'sent:2-13*')
('10:48:57.204133', b'>\r\n', 'sent:2-14*')
('10:48:57.470087', b'>\r\n', 'sent:2-15*')
('10:48:57.491080', b'>\r\n', 'sent:2-16*')
('10:48:57.513143', b'>\r\n', 'sent:2-17*')
('10:48:57.535089', b'>\r\n', 'sent:2-18*')
('10:48:57.682121', b'D1-16*************************\trssi:-11\r\n', '')
('10:48:57.801129', b'>\r\n', 'sent:2-19*')
('10:48:58.009093', b'D1-17*************************\trssi:-10\r\n', '')
