('10:48:56.211229', '2-0')
('10:48:56.296135', '2-1')
('10:48:56.318151', '2-2')
('10:48:56.526210', '2-3')
('10:48:56.549128', '2-4')
('10:48:56.571094', '2-5')
('10:48:56.654086', '2-6')
('10:48:56.741191', '2-7')
('10:48:56.763115', '2-8')
('10:48:56.785095', '2-9')
('10:48:56.807085', '2-10')
('10:48:56.894195', '2-11')
('10:48:56.977064', '2-12')
('10:48:57.060067', '2-13')
('10:48:57.204133', '2-14')
('10:48:57.470087', '2-15')
('10:48:57.491080', '2-16')
('10:48:57.513143', '2-17')
('10:48:57.535089', '2-18')
('10:48:57.801129', '2-19')
('10:48:58.132083', '2-20')
('10:48:58.276119', '2-21')
('10:48:58.485060', '2-22')
('10:48:58.507050', '2-23')
('10:48:58.529235', '2-24')
('10:48:58.734188', '2-25')
('10:48:58.878113', '2-26')
('10:48:59.029186', '2-27')
('10:48:59.112119', '2-28')
('10:48:59.195114', '2-29')
('10:48:59.461119', '2-30')
('10:48:59.603113', '2-31')
('10:48:59.625072', '2-32')
('10:48:59.768140', '2-33')
('10:48:59.790067', '2-34')
('10:48:59.812139', '2-35')
('10:48:59.833122', '2-36')
('10:48:59.978068', '2-37')
('10:48:59.998094', '2-38')
('10:49:00.148115', '2-39')
('10:49:00.231097', '2-40')
('10:49:00.254116', '2-41')
('10:49:00.337187', '2-42')
('10:49:00.482111', '2-43')
('10:49:00.687093', '2-44')
('10:49:00.709027', '2-45')
('10:49:00.732098', '2-46')
('10:49:00.815071', '2-47')
('10:49:00.837061', '2-48')
('10:49:00.981196', '2-49')
('10:49:01.003065', '2-50')
('10:49:01.025070', '2-51')
('10:49:01.047072', '2-52')
('10:49:01.069103', '2-53')
('10:49:01.278139', '2-54')
('10:49:01.301087', '2-55')
('10:49:01.445086', '2-56')
('10:49:01.532179', '2-57')
('10:49:01.554176', '2-58')
('10:49:01.641150', '2-59')
('10:49:01.663055', '2-60')
('10:49:01.685092', '2-61')
('10:49:01.955041', '2-62')
('10:49:01.980028', '2-63')
('10:49:02.002053', '2-64')
('10:49:02.149128', '2-65')
('10:49:02.354093', '2-66')
('10:49:02.376176', '2-67')
('10:49:02.398060', '2-68')
('10:49:02.420165', '2-69')
('10:49:02.442083', '2-70')
('10:49:02.463142', '2-71')
('10:49:02.550149', '2-72')
('10:49:02.572048', '2-73')
('10:49:02.594125', '2-74')
('10:49:02.742129', '2-75')
('10:49:02.825086', '2-76')
('10:49:02.912155', '2-77')
('10:49:02.995070', '2-78')
('10:49:03.078087', '2-79')
('10:49:03.226109', '2-80')
('10:49:03.246185', '2-81')
('10:49:03.394205', '2-82')
('10:49:03.416097', '2-83')
('10:49:03.628376', '2-84')
('10:49:03.776240', '2-85')
('10:49:03.920259', '2-86')
('10:49:04.186086', '2-87')
('10:49:04.208143', '2-88')
('10:49:04.229092', '2-89')
('10:49:04.251072', '2-90')
('10:49:04.272223', '2-91')
('10:49:04.293366', '2-92')
('10:49:04.312082', '2-93')
('10:49:04.336062', '2-94')
('10:49:04.420080', '2-95')
('10:49:04.442017', '2-96')
('10:49:04.525073', '2-97')
('10:49:04.547063', '2-98')
('10:49:04.692033', '2-99')
('10:49:04.775074', '2-100')
('10:49:04.919108', '2-101')
('10:49:05.067071', '2-102')
('10:49:05.456118', '2-103')
('10:49:05.604074', '2-104')
('10:49:06.298063', '2-105')
('10:49:06.385103', '2-106')
('10:49:06.407020', '2-107')
('10:49:06.677138', '2-108')
('10:49:06.760047', '2-109')
('10:49:06.846113', '2-110')
('10:49:06.933110', '2-111')
('10:49:07.016059', '2-112')
('10:49:07.038020', '2-113')
('10:49:07.060117', '2-114')
('10:49:07.204191', '2-115')
('10:49:07.291112', '2-116')
('10:49:07.314074', '2-117')
('10:49:07.404013', '2-118')
('10:49:07.426069', '2-119')
('10:49:07.509048', '2-120')
('10:49:07.653189', '2-121')
('10:49:07.675016', '2-122')
('10:49:07.697180', '2-123')
('10:49:07.849070', '2-124')
('10:49:07.871149', '2-125')
('10:49:07.893158', '2-126')
('10:49:07.920013', '2-127')
('10:49:07.942030', '2-128')
('10:49:07.964054', '2-129')
('10:49:07.986114', '2-130')
('10:49:08.008029', '2-131')
('10:49:08.032021', '2-132')
('10:49:08.055033', '2-133')
('10:49:08.383009', '2-134')
('10:49:08.713243', '2-135')
('10:49:08.736023', '2-136')
('10:49:08.758009', '2-137')
('10:49:08.778993', '2-138')
('10:49:08.801002', '2-139')
('10:49:08.822041', '2-140')
('10:49:08.905046', '2-141')
('10:49:09.049047', '2-142')
('10:49:09.071235', '2-143')
('10:49:09.214101', '2-144')
('10:49:09.235000', '2-145')
('10:49:09.379033', '2-146')
('10:49:09.401153', '2-147')
('10:49:09.484048', '2-148')
('10:49:09.571094', '2-149')
('10:49:09.593107', '2-150')
('10:49:09.615027', '2-151')
('10:49:09.702099', '2-152')
('10:49:09.975963', '2-153')
('10:49:10.126091', '2-154')
('10:49:10.148040', '2-155')
('10:49:10.238982', '2-156')
('10:49:10.387095', '2-157')
('10:49:10.408995', '2-158')
('10:49:10.736040', '2-159')
('10:49:10.757995', '2-160')
('10:49:10.906080', '2-161')
('10:49:11.112041', '2-162')
('10:49:11.325098', '2-163')
('10:49:11.469026', '2-164')
('10:49:11.490991', '2-165')
('10:49:11.513152', '2-166')
('10:49:11.596001', '2-167')
('10:49:11.613968', '2-168')
('10:49:11.635000', '2-169')
('10:49:11.966090', '2-170')
('10:49:11.988055', '2-171')
('10:49:12.071006', '2-172')
('10:49:12.154016', '2-173')
('10:49:12.175992', '2-174')
('10:49:12.198026', '2-175')
('10:49:12.281037', '2-176')
('10:49:12.364032', '2-177')
('10:49:12.569014', '2-178')
('10:49:12.656094', '2-179')
('10:49:12.804126', '2-180')
('10:49:12.887030', '2-181')
('10:49:13.092042', '2-182')
('10:49:13.114002', '2-183')
('10:49:13.258014', '2-184')
('10:49:13.339953', '2-185')
('10:49:13.484145', '2-186')
('10:49:13.504961', '2-187')
('10:49:13.588979', '2-188')
('10:49:13.733015', '2-189')
('10:49:13.755011', '2-190')
('10:49:13.774007', '2-191')
('10:49:13.857977', '2-192')
('10:49:14.250188', '2-193')
('10:49:14.401070', '2-194')
('10:49:14.488051', '2-195')
('10:49:14.643063', '2-196')
('10:49:14.725970', '2-197')
('10:49:14.813188', '2-198')
('10:49:14.834997', '2-199')
('10:49:15.101012', '2-200')
('10:49:15.244956', '2-201')
('10:49:15.570025', '2-202')
('10:49:15.652994', '2-203')
('10:49:15.740048', '2-204')
('10:49:15.761299', '2-205')
('10:49:15.782990', '2-206')
('10:49:15.995035', '2-207')
('10:49:16.078998', '2-208')
('10:49:16.100989', '2-209')
('10:49:16.245001', '2-210')
('10:49:16.328016', '2-211')
('10:49:16.349921', '2-212')
('10:49:16.368010', '2-213')
('10:49:16.391983', '2-214')
('10:49:16.537142', '2-215')
('10:49:16.558283', '2-216')
('10:49:16.702959', '2-217')
('10:49:16.785941', '2-218')
('10:49:16.809013', '2-219')
('10:49:16.957004', '2-220')
('10:49:17.040035', '2-221')
('10:49:17.306941', '2-222')
('10:49:17.328988', '2-223')
('10:49:17.350981', '2-224')
('10:49:17.494997', '2-225')
('10:49:17.643021', '2-226')
('10:49:17.852046', '2-227')
('10:49:18.118131', '2-228')
('10:49:18.261994', '2-229')
('10:49:18.283982', '2-230')
('10:49:18.305943', '2-231')
('10:49:18.512014', '2-232')
('10:49:18.533966', '2-233')
('10:49:18.621042', '2-234')
('10:49:18.643074', '2-235')
('10:49:18.664924', '2-236')
('10:49:18.686949', '2-237')
('10:49:19.018015', '2-238')
('10:49:19.100990', '2-239')
('10:49:19.122938', '2-240')
('10:49:19.144981', '2-241')
('10:49:19.167086', '2-242')
('10:49:19.188947', '2-243')
('10:49:19.211073', '2-244')
('10:49:19.416978', '2-245')
('10:49:19.873022', '2-246')
('10:49:20.017972', '2-247')
('10:49:20.100971', '2-248')
('10:49:20.313009', '2-249')
('10:49:20.395999', '2-250')
('10:49:20.417971', '2-251')
('10:49:20.439934', '2-252')
('10:49:20.591948', '2-253')
('10:49:20.927161', '2-254')
('10:49:20.948980', '2-255')
('10:49:20.970929', '2-256')
('10:49:21.237004', '2-257')
