('17:48:50.087678', '2-0')
('17:48:50.118669', '2-1')
('17:48:50.203202', '2-2')
('17:48:50.357189', '2-3')
('17:48:50.372794', '2-4')
('17:48:50.535423', '2-5')
('17:48:50.557499', '2-6')
('17:48:51.375558', '2-7')
('17:48:51.722315', '2-8')
('17:48:51.991656', '2-9')
('17:48:52.260599', '2-10')
('17:48:52.292039', '2-11')
('17:48:52.507482', '2-12')
('17:48:52.538724', '2-13')
('17:48:52.862459', '2-14')
('17:48:53.146905', '2-15')
('17:48:53.362813', '2-16')
('17:48:53.510297', '2-17')
('17:48:53.726783', '2-18')
('17:48:53.864861', '2-19')
('17:48:53.896081', '2-20')
('17:48:54.181064', '2-21')
('17:48:54.632032', '2-22')
('17:48:54.663547', '2-23')
('17:48:54.819743', '2-24')
('17:48:54.913478', '2-25')
('17:48:54.944641', '2-26')
('17:48:55.210136', '2-27')
('17:48:55.304013', '2-28')
('17:48:55.397740', '2-29')
('17:48:55.428701', '2-30')
('17:48:55.507086', '2-31')
('17:48:55.538349', '2-32')
('17:48:55.687278', '2-33')
('17:48:55.718523', '2-34')
('17:48:56.123793', '2-35')
('17:48:56.217798', '2-36')
('17:48:56.295893', '2-37')
('17:48:56.389635', '2-38')
('17:48:56.420882', '2-39')
('17:48:56.576834', '2-40')
('17:48:56.905157', '2-41')
('17:48:57.248811', '2-42')
('17:48:57.451892', '2-43')
('17:48:57.670597', '2-44')
('17:48:57.889304', '2-45')
('17:48:58.045502', '2-46')
('17:48:58.139231', '2-47')
('17:48:58.232959', '2-48')
('17:48:58.248302', '2-49')
('17:48:58.420408', '2-50')
('17:48:58.695898', '2-51')
('17:48:58.789543', '2-52')
('17:48:58.805267', '2-53')
('17:48:59.086453', '2-54')
('17:48:59.117684', '2-55')
('17:48:59.273900', '2-56')
('17:48:59.305135', '2-57')
('17:48:59.883128', '2-58')
('17:48:59.914386', '2-59')
('17:49:00.242436', '2-60')
('17:49:00.398636', '2-61')
('17:49:00.492379', '2-62')
('17:49:00.835755', '2-63')
('17:49:00.851658', '2-64')
('17:49:01.007872', '2-65')
('17:49:01.039108', '2-66')
('17:49:01.117234', '2-67')
('17:49:01.273447', '2-68')
('17:49:01.304398', '2-69')
('17:49:01.398270', '2-70')
('17:49:01.429650', '2-71')
('17:49:01.523105', '2-72')
('17:49:01.726175', '2-73')
('17:49:01.945157', '2-74')
('17:49:01.976117', '2-75')
('17:49:02.194816', '2-76')
('17:49:02.210442', '2-77')
('17:49:02.304459', '2-78')
('17:49:02.648135', '2-79')
('17:49:02.812006', '2-80')
('17:49:03.140345', '2-81')
('17:49:03.421515', '2-82')
('17:49:03.624608', '2-83')
('17:49:03.968259', '2-84')
('17:49:04.124496', '2-85')
('17:49:04.405664', '2-86')
('17:49:04.790034', '2-87')
('17:49:04.821023', '2-88')
('17:49:04.852548', '2-89')
('17:49:04.946222', '2-90')
('17:49:04.977472', '2-91')
('17:49:05.492925', '2-92')
('17:49:05.586448', '2-93')
('17:49:05.664556', '2-94')
('17:49:05.695799', '2-95')
('17:49:05.852317', '2-96')
('17:49:05.883517', '2-97')
('17:49:06.399038', '2-98')
('17:49:06.430298', '2-99')
('17:49:06.524011', '2-100')
('17:49:07.173356', '2-101')
('17:49:07.329297', '2-102')
('17:49:07.470161', '2-103')
('17:49:07.501402', '2-104')
('17:49:07.657618', '2-105')
('17:49:07.688844', '2-106')
('17:49:08.094957', '2-107')
('17:49:08.125966', '2-108')
('17:49:08.219962', '2-109')
('17:49:08.251213', '2-110')
('17:49:08.266829', '2-111')
('17:49:08.735320', '2-112')
('17:49:08.813600', '2-113')
('17:49:08.907317', '2-114')
('17:49:08.938575', '2-115')
('17:49:09.032303', '2-116')
('17:49:09.047900', '2-117')
('17:49:09.266620', '2-118')
('17:49:09.297847', '2-119')
('17:49:09.329105', '2-120')
('17:49:09.594643', '2-121')
('17:49:09.625835', '2-122')
('17:49:09.719641', '2-123')
('17:49:10.047681', '2-124')
('17:49:10.203888', '2-125')
('17:49:10.469467', '2-126')
('17:49:10.500697', '2-127')
('17:49:10.531850', '2-128')
('17:49:10.565147', '2-129')
('17:49:10.830697', '2-130')
('17:49:10.861938', '2-131')
('17:49:11.314957', '2-132')
('17:49:11.596159', '2-133')
('17:49:11.627385', '2-134')
('17:49:11.767967', '2-135')
('17:49:11.799236', '2-136')
('17:49:11.830484', '2-137')
('17:49:12.033487', '2-138')
('17:49:12.314716', '2-139')
('17:49:12.470942', '2-140')
