('10:22:01.895209', '5-0')
('10:22:02.004375', '5-1')
('10:22:02.129347', '5-2')
('10:22:02.254426', '5-3')
('10:22:02.426426', '5-4')
('10:22:02.551124', '5-5')
('10:22:02.801188', '5-6')
('10:22:02.973183', '5-7')
('10:22:03.019983', '5-8')
('10:22:03.066929', '5-9')
('10:22:03.254278', '5-10')
('10:22:03.301238', '5-11')
('10:22:03.426196', '5-12')
('10:22:03.551079', '5-13')
('10:22:03.598040', '5-14')
('10:22:03.644624', '5-15')
('10:22:03.776708', '5-16')
('10:22:03.901680', '5-17')
('10:22:04.073786', '5-18')
('10:22:04.120662', '5-19')
('10:22:04.167435', '5-20')
('10:22:04.229997', '5-21')
('10:22:04.276889', '5-22')
('10:22:04.323713', '5-23')
('10:22:04.385944', '5-24')
('10:22:04.433043', '5-25')
('10:22:04.479941', '5-26')
('10:22:04.604672', '5-27')
('10:22:04.776772', '5-28')
('10:22:04.948600', '5-29')
('10:22:05.010803', '5-30')
('10:22:05.198291', '5-31')
('10:22:05.245320', '5-32')
('10:22:05.417237', '5-33')
('10:22:05.651520', '5-34')
('10:22:05.963707', '5-35')
('10:22:06.073324', '5-36')
('10:22:06.198214', '5-37')
('10:22:06.370156', '5-38')
('10:22:06.432630', '5-39')
('10:22:06.483218', '5-40')
('10:22:06.530092', '5-41')
('10:22:06.576938', '5-42')
('10:22:06.639333', '5-43')
('10:22:06.686295', '5-44')
('10:22:06.857850', '5-45')
('10:22:06.982849', '5-46')
('10:22:07.107811', '5-47')
('10:22:07.232764', '5-48')
('10:22:07.357736', '5-49')
('10:22:07.592057', '5-50')
('10:22:07.835596', '5-51')
('10:22:07.960287', '5-52')
('10:22:08.007404', '5-53')
('10:22:08.054285', '5-54')
('10:22:08.179174', '5-55')
('10:22:08.225851', '5-56')
('10:22:08.288546', '5-57')
('10:22:08.397718', '5-58')
('10:22:08.455202', '5-59')
('10:22:08.755712', '5-60')
('10:22:09.056222', '5-61')
('10:22:09.303855', '5-62')
('10:22:09.357272', '5-63')
('10:22:09.519800', '5-64')
('10:22:09.573198', '5-65')
('10:22:09.703372', '5-66')
('10:22:09.750237', '5-67')
('10:22:09.804663', '5-68')
('10:22:10.036148', '5-69')
('10:22:10.089848', '5-70')
('10:22:10.205218', '5-71')
('10:22:10.321070', '5-72')
('10:22:10.559361', '5-73')
('10:22:10.738018', '5-74')
('10:22:10.859538', '5-75')
('10:22:11.038001', '5-76')
('10:22:11.091391', '5-77')
('10:22:11.138256', '5-78')
('10:22:11.191689', '5-79')
('10:22:11.438598', '5-80')
('10:22:11.492016', '5-81')
('10:22:11.607602', '5-82')
('10:22:11.660941', '5-83')
('10:22:11.776590', '5-84')
('10:22:11.961425', '5-85')
('10:22:12.077572', '5-86')
('10:22:12.124587', '5-87')
('10:22:12.177477', '5-88')
('10:22:12.224342', '5-89')
('10:22:12.278024', '5-90')
('10:22:12.393751', '5-91')
('10:22:12.695248', '5-92')
('10:22:12.741940', '5-93')
