('14:29:43.236237', b'b-dur: 40481\r\n', '')
('14:29:43.237268', b'S\r\n', '')
('14:29:43.297100', b'D3-75535**********************\trssi:-41\r\n', '')
('14:29:43.297100', b'D3-75533**********************\trssi:-42\r\n', '')
('14:29:43.297100', b'D3-75534**********************\trssi:-42\r\n', '')
('14:29:43.297100', b'D3-75537**********************\trssi:-42\r\n', '')
('14:29:43.313916', b'D3-75532**********************\trssi:-43\r\n', '')
('14:29:43.317185', b'D3-75536**********************\trssi:-43\r\n', '')
('14:29:43.319209', b's-dur: 71233\r\n', '')
('14:29:43.319209', b'>\r\n', 'sent:100-10882*')
('14:29:43.347700', b'b-dur: 40520\r\n', '')
('14:29:43.347700', b'S\r\n', '')
('14:29:43.412593', b'D3-75545**********************\trssi:-41\r\n', '')
('14:29:43.416054', b'D3-75547**********************\trssi:-41\r\n', '')
('14:29:43.419547', b'D3-75544**********************\trssi:-42\r\n', '')
('14:29:43.422606', b'D3-75548**********************\trssi:-42\r\n', '')
('14:29:43.426642', b'D3-75546**********************\trssi:-43\r\n', '')
('14:29:43.430247', b'D3-75549**********************\trssi:-43\r\n', '')
('14:29:43.432222', b's-dur: 71303\r\n', '')
('14:29:43.432222', b'S\r\n', '')
('14:29:43.480584', b'D3-75551**********************\trssi:-43\r\n', '')
('14:29:43.480584', b'D3-75552**********************\trssi:-43\r\n', '')
('14:29:43.480584', b'D3-75553**********************\trssi:-43\r\n', '')
('14:29:43.496105', b'D3-75554**********************\trssi:-43\r\n', '')
('14:29:43.496105', b'D3-75555**********************\trssi:-43\r\n', '')
('14:29:43.496105', b'D3-75556**********************\trssi:-43\r\n', '')
('14:29:43.496105', b's-dur: 71831\r\n', '')
('14:29:43.496105', b'>\r\n', 'sent:100-10883*')
('14:29:43.534284', b'b-dur: 39407\r\n', '')
('14:29:43.535116', b'>\r\n', 'sent:100-10884*')
('14:29:43.563491', b'b-dur: 29960\r\n', '')
('14:29:43.564560', b'>\r\n', 'sent:100-10885*')
('14:29:43.580454', b'b-dur: 29964\r\n', '')
('14:29:43.580454', b'S\r\n', '')
('14:29:43.647309', b'D3-75570**********************\trssi:-41\r\n', '')
('14:29:43.647309', b'D3-75571**********************\trssi:-41\r\n', '')
('14:29:43.663124', b'D3-75573**********************\trssi:-42\r\n', '')
('14:29:43.663124', b'D3-75568**********************\trssi:-43\r\n', '')
('14:29:43.663124', b'D3-75569**********************\trssi:-43\r\n', '')
('14:29:43.663124', b'D3-75572**********************\trssi:-43\r\n', '')
('14:29:43.663124', b's-dur: 71285\r\n', '')
('14:29:43.663124', b'>\r\n', 'sent:100-10886*')
('14:29:43.694467', b'b-dur: 39471\r\n', '')
('14:29:43.694467', b'S\r\n', '')
('14:29:43.765649', b'D3-75580**********************\trssi:-41\r\n', '')
('14:29:43.765649', b'D3-75582**********************\trssi:-41\r\n', '')
('14:29:43.765649', b'D3-75581**********************\trssi:-42\r\n', '')
('14:29:43.765649', b'D3-75583**********************\trssi:-42\r\n', '')
('14:29:43.781305', b'D3-75579**********************\trssi:-43\r\n', '')
('14:29:43.781305', b's-dur: 67665\r\n', '')
('14:29:43.781305', b'>\r\n', 'sent:100-10887*')
('14:29:43.814785', b'b-dur: 40088\r\n', '')
('14:29:43.815906', b'S\r\n', '')
('14:29:43.879379', b'D3-75590**********************\trssi:-42\r\n', '')
('14:29:43.879379', b'D3-75591**********************\trssi:-42\r\n', '')
('14:29:43.879379', b'D3-75592**********************\trssi:-42\r\n', '')
('14:29:43.879379', b'D3-75593**********************\trssi:-42\r\n', '')
('14:29:43.879379', b'D3-75594**********************\trssi:-42\r\n', '')
('14:29:43.895199', b'D3-75595**********************\trssi:-42\r\n', '')
('14:29:43.895199', b's-dur: 71243\r\n', '')
('14:29:43.895199', b'>\r\n', 'sent:100-10888*')
('14:29:43.926139', b'b-dur: 38509\r\n', '')
('14:29:43.927233', b'>\r\n', 'sent:100-10889*')
('14:29:43.956995', b'b-dur: 30960\r\n', '')
('14:29:43.958185', b'>\r\n', 'sent:100-10890*')
('14:29:43.981622', b'b-dur: 29964\r\n', '')
('14:29:43.981622', b'S\r\n', '')
('14:29:44.048236', b'D3-75608**********************\trssi:-41\r\n', '')
('14:29:44.048236', b'D3-75607**********************\trssi:-42\r\n', '')
('14:29:44.048236', b'D3-75612**********************\trssi:-42\r\n', '')
('14:29:44.048236', b'D3-75609**********************\trssi:-43\r\n', '')
('14:29:44.063995', b'D3-75610**********************\trssi:-43\r\n', '')
('14:29:44.063995', b'D3-75611**********************\trssi:-43\r\n', '')
('14:29:44.063995', b's-dur: 71283\r\n', '')
('14:29:44.063995', b'>\r\n', 'sent:100-10891*')
('14:29:44.095371', b'b-dur: 39473\r\n', '')
('14:29:44.095371', b'S\r\n', '')
('14:29:44.148977', b'D3-75618**********************\trssi:-42\r\n', '')
('14:29:44.164783', b'D3-75619**********************\trssi:-42\r\n', '')
('14:29:44.164783', b'D3-75621**********************\trssi:-42\r\n', '')
('14:29:44.164783', b'D3-75623**********************\trssi:-42\r\n', '')
