('14:17:07.092496', b'etsS\r\n', '')
('14:17:07.154983', b's-dur: 61500\r\n', '')
('14:17:07.154983', b'S\r\n', '')
('14:17:07.217467', b's-dur: 60957\r\n', '')
('14:17:07.217467', b'>\r\n', 'sent:100-0*')
('14:17:07.248710', b'b-dur: 29082\r\n', '')
('14:17:07.248710', b'>\r\n', 'sent:100-1*')
('14:17:07.279953', b'b-dur: 29960\r\n', '')
('14:17:07.279953', b'S\r\n', '')
('14:17:07.342437', b's-dur: 60704\r\n', '')
('14:17:07.342437', b'S\r\n', '')
('14:17:07.404944', b's-dur: 60803\r\n', '')
('14:17:07.404944', b'>\r\n', 'sent:100-2*')
('14:17:07.436187', b'b-dur: 29389\r\n', '')
('14:17:07.436187', b'>\r\n', 'sent:100-3*')
('14:17:07.451808', b'b-dur: 28960\r\n', '')
('14:17:07.451808', b'S\r\n', '')
('14:17:07.514294', b's-dur: 60679\r\n', '')
('14:17:07.514294', b'>\r\n', 'sent:100-4*')
('14:17:07.545543', b'b-dur: 28251\r\n', '')
('14:17:07.545543', b'S\r\n', '')
('14:17:07.608022', b's-dur: 60674\r\n', '')
('14:17:07.608022', b'>\r\n', 'sent:100-5*')
('14:17:07.639276', b'b-dur: 29252\r\n', '')
('14:17:07.639276', b'S\r\n', '')
('14:17:07.701762', b's-dur: 60658\r\n', '')
('14:17:07.701762', b'>\r\n', 'sent:100-6*')
('14:17:07.733006', b'b-dur: 29267\r\n', '')
('14:17:07.733006', b'>\r\n', 'sent:100-7*')
('14:17:07.748622', b'b-dur: 28960\r\n', '')
('14:17:07.764243', b'>\r\n', 'sent:100-8*')
('14:17:07.779864', b'b-dur: 28964\r\n', '')
('14:17:07.779864', b'>\r\n', 'sent:100-9*')
('14:17:07.811104', b'b-dur: 28964\r\n', '')
('14:17:07.811104', b'>\r\n', 'sent:100-10*')
('14:17:07.842322', b'b-dur: 28964\r\n', '')
('14:17:07.842322', b'>\r\n', 'sent:100-11*')
('14:17:07.873586', b'b-dur: 25964\r\n', '')
('14:17:07.873586', b'>\r\n', 'sent:100-12*')
('14:17:07.904829', b'b-dur: 28964\r\n', '')
('14:17:07.904829', b'S\r\n', '')
('14:17:07.967293', b'D3-5**************************\trssi:-43\r\n', '')
('14:17:07.967293', b'D3-1**************************\trssi:-44\r\n', '')
('14:17:07.967293', b'D3-2**************************\trssi:-44\r\n', '')
('14:17:07.967293', b'D3-4**************************\trssi:-44\r\n', '')
('14:17:07.982914', b'D3-6**************************\trssi:-44\r\n', '')
('14:17:07.982914', b'D3-3**************************\trssi:-45\r\n', '')
('14:17:07.982914', b's-dur: 71350\r\n', '')
('14:17:07.982914', b'>\r\n', 'sent:100-13*')
('14:17:08.014156', b'b-dur: 39405\r\n', '')
('14:17:08.014156', b'>\r\n', 'sent:100-14*')
('14:17:08.045399', b'b-dur: 28960\r\n', '')
('14:17:08.045399', b'S\r\n', '')
('14:17:08.107906', b'D3-15*************************\trssi:-53\r\n', '')
('14:17:08.107906', b'D3-20*************************\trssi:-54\r\n', '')
('14:17:08.107906', b'D3-16*************************\trssi:-56\r\n', '')
('14:17:08.107906', b'D3-19*************************\trssi:-59\r\n', '')
('14:17:08.123528', b'D3-18*************************\trssi:-62\r\n', '')
('14:17:08.123528', b'D3-17*************************\trssi:-68\r\n', '')
('14:17:08.123528', b's-dur: 71316\r\n', '')
('14:17:08.123528', b'>\r\n', 'sent:100-15*')
('14:17:08.154770', b'b-dur: 41439\r\n', '')
('14:17:08.154770', b'S\r\n', '')
('14:17:08.217261', b'D3-26*************************\trssi:-55\r\n', '')
('14:17:08.217261', b'D3-27*************************\trssi:-55\r\n', '')
('14:17:08.217261', b'D3-28*************************\trssi:-56\r\n', '')
('14:17:08.232878', b'D3-30*************************\trssi:-56\r\n', '')
('14:17:08.232878', b'D3-31*************************\trssi:-56\r\n', '')
('14:17:08.232878', b'D3-29*************************\trssi:-57\r\n', '')
('14:17:08.232878', b's-dur: 71276\r\n', '')
('14:17:08.232878', b'>\r\n', 'sent:100-16*')
('14:17:08.264120', b'b-dur: 40475\r\n', '')
('14:17:08.264120', b'S\r\n', '')
('14:17:08.326606', b'D3-38*************************\trssi:-54\r\n', '')
('14:17:08.326606', b'D3-39*************************\trssi:-54\r\n', '')
('14:17:08.342238', b'D3-40*************************\trssi:-55\r\n', '')
('14:17:08.342238', b'D3-41*************************\trssi:-55\r\n', '')
('14:17:08.342238', b'D3-42*************************\trssi:-55\r\n', '')
