('16:53:53.232521', b'>\r\n', 'sent:120-0*')
('16:53:53.254156', b'b-dur: 28054\r\n', '')
('16:53:53.254156', b'>\r\n', 'sent:120-1*')
('16:53:53.285673', b'b-dur: 29789\r\n', '')
('16:53:53.285673', b'S\r\n', '')
('16:53:53.354168', b'D3-50968**********************\trssi:-41\r\n', '')
('16:53:53.354168', b'D3-50969**********************\trssi:-41\r\n', '')
('16:53:53.354168', b'D3-50970**********************\trssi:-41\r\n', '')
('16:53:53.369971', b'D3-50971**********************\trssi:-41\r\n', '')
('16:53:53.369971', b'D3-50980**********************\trssi:-41\r\n', '')
('16:53:53.369971', b'D3-50992**********************\trssi:-41\r\n', '')
('16:53:53.369971', b'D3-50995**********************\trssi:-41\r\n', '')
('16:53:53.369971', b'D3-50996**********************\trssi:-41\r\n', '')
('16:53:53.385427', b'D3-50973**********************\trssi:-42\r\n', '')
('16:53:53.385427', b'D3-50975**********************\trssi:-42\r\n', '')
('16:53:53.385427', b'D3-50976**********************\trssi:-42\r\n', '')
('16:53:53.385427', b'D3-50978**********************\trssi:-42\r\n', '')
('16:53:53.401065', b'D3-50979**********************\trssi:-42\r\n', '')
('16:53:53.401065', b'D3-50982**********************\trssi:-42\r\n', '')
('16:53:53.401065', b'D3-50984**********************\trssi:-42\r\n', '')
('16:53:53.401065', b'D3-50986**********************\trssi:-42\r\n', '')
('16:53:53.416780', b'D3-50988**********************\trssi:-42\r\n', '')
('16:53:53.416780', b'D3-50990**********************\trssi:-42\r\n', '')
('16:53:53.416780', b'D3-50993**********************\trssi:-42\r\n', '')
('16:53:53.416780', b'D3-50994**********************\trssi:-42\r\n', '')
('16:53:53.416780', b'D3-50997**********************\trssi:-42\r\n', '')
('16:53:53.432279', b'D3-50972**********************\trssi:-43\r\n', '')
('16:53:53.432279', b'D3-50974**********************\trssi:-43\r\n', '')
('16:53:53.432279', b'D3-50977**********************\trssi:-43\r\n', '')
('16:53:53.432279', b'D3-50981**********************\trssi:-43\r\n', '')
('16:53:53.448024', b'D3-50983**********************\trssi:-43\r\n', '')
('16:53:53.448024', b'D3-50985**********************\trssi:-43\r\n', '')
('16:53:53.454031', b'D3-50987**********************\trssi:-43\r\n', '')
('16:53:53.454031', b'D3-50989**********************\trssi:-43\r\n', '')
('16:53:53.454031', b'D3-50991**********************\trssi:-43\r\n', '')
('16:53:53.454031', b's-dur: 157248\r\n', '')
('16:53:53.454031', b'S\r\n', '')
('16:53:53.516701', b'D3-51046**********************\trssi:-41\r\n', '')
('16:53:53.516701', b'D3-51047**********************\trssi:-41\r\n', '')
('16:53:53.516701', b'D3-51059**********************\trssi:-41\r\n', '')
('16:53:53.516701', b'D3-51060**********************\trssi:-41\r\n', '')
('16:53:53.532165', b'D3-51061**********************\trssi:-41\r\n', '')
