('11:42:39.918212', b'),boot:0x13 (SPI_FAST_FLS\r\n', '')
('11:42:39.980589', b's-dur: 61381\r\n', '')
('11:42:39.996329', b'S\r\n', '')
('11:42:40.058801', b's-dur: 60859\r\n', '')
('11:42:40.058801', b'S\r\n', '')
('11:42:40.121304', b's-dur: 60778\r\n', '')
('11:42:40.183774', b'S\r\n', '')
('11:42:40.246257', b's-dur: 60917\r\n', '')
('11:42:40.277501', b'S\r\n', '')
('11:42:40.339947', b's-dur: 60879\r\n', '')
('11:42:40.339947', b'S\r\n', '')
('11:42:40.402472', b'D1-7**************************\trssi:-53\r\n', '')
('11:42:40.402472', b'D1-8**************************\trssi:-53\r\n', '')
('11:42:40.402472', b'D1-0**************************\trssi:-54\r\n', '')
('11:42:40.417841', b'D1-1**************************\trssi:-54\r\n', '')
('11:42:40.417841', b'D1-2**************************\trssi:-54\r\n', '')
('11:42:40.417841', b'D1-3**************************\trssi:-54\r\n', '')
('11:42:40.417841', b'D1-4**************************\trssi:-54\r\n', '')
('11:42:40.417841', b'D1-5**************************\trssi:-54\r\n', '')
('11:42:40.433605', b'D1-6**************************\trssi:-54\r\n', '')
('11:42:40.433605', b'D1-9**************************\trssi:-54\r\n', '')
('11:42:40.433605', b'D1-10*************************\trssi:-54\r\n', '')
('11:42:40.433605', b's-dur: 89262\r\n', '')
('11:42:40.480580', b'S\r\n', '')
('11:42:40.558600', b'D1-44*************************\trssi:-47\r\n', '')
('11:42:40.558600', b'D1-45*************************\trssi:-47\r\n', '')
('11:42:40.558600', b'D1-35*************************\trssi:-48\r\n', '')
('11:42:40.558600', b'D1-36*************************\trssi:-48\r\n', '')
('11:42:40.558600', b'D1-37*************************\trssi:-48\r\n', '')
('11:42:40.574033', b'D1-38*************************\trssi:-48\r\n', '')
('11:42:40.574033', b'D1-39*************************\trssi:-48\r\n', '')
('11:42:40.574033', b'D1-40*************************\trssi:-48\r\n', '')
('11:42:40.574033', b'D1-41*************************\trssi:-48\r\n', '')
('11:42:40.589755', b'D1-43*************************\trssi:-48\r\n', '')
('11:42:40.589755', b'D1-46*************************\trssi:-48\r\n', '')
('11:42:40.589755', b'D1-47*************************\trssi:-48\r\n', '')
('11:42:40.589755', b'D1-34*************************\trssi:-49\r\n', '')
('11:42:40.589755', b'D1-42*************************\trssi:-49\r\n', '')
('11:42:40.605455', b's-dur: 100023\r\n', '')
('11:42:40.652406', b'S\r\n', '')
('11:42:40.714891', b'D1-82*************************\trssi:-49\r\n', '')
('11:42:40.714891', b'D1-83*************************\trssi:-49\r\n', '')
('11:42:40.714891', b'D1-84*************************\trssi:-49\r\n', '')
('11:42:40.714891', b'D1-86*************************\trssi:-49\r\n', '')
('11:42:40.730242', b'D1-87*************************\trssi:-49\r\n', '')
('11:42:40.730242', b'D1-88*************************\trssi:-49\r\n', '')
('11:42:40.730242', b'D1-89*************************\trssi:-49\r\n', '')
('11:42:40.730242', b'D1-90*************************\trssi:-49\r\n', '')
('11:42:40.745897', b'D1-75*************************\trssi:-50\r\n', '')
('11:42:40.745897', b'D1-76*************************\trssi:-50\r\n', '')
('11:42:40.745897', b'D1-78*************************\trssi:-50\r\n', '')
('11:42:40.745897', b'D1-79*************************\trssi:-50\r\n', '')
('11:42:40.761680', b'D1-80*************************\trssi:-50\r\n', '')
('11:42:40.761680', b'D1-81*************************\trssi:-50\r\n', '')
('11:42:40.761680', b'D1-85*************************\trssi:-50\r\n', '')
('11:42:40.761680', b'D1-77*************************\trssi:-51\r\n', '')
('11:42:40.761680', b's-dur: 107153\r\n', '')
('11:42:40.792756', b'S\r\n', '')
('11:42:40.855405', b'D1-120************************\trssi:-43\r\n', '')
('11:42:40.855405', b'D1-121************************\trssi:-43\r\n', '')
('11:42:40.855405', b'D1-123************************\trssi:-43\r\n', '')
('11:42:40.855405', b'D1-124************************\trssi:-43\r\n', '')
('11:42:40.870834', b'D1-119************************\trssi:-44\r\n', '')
('11:42:40.870834', b'D1-122************************\trssi:-44\r\n', '')
('11:42:40.870834', b'D1-125************************\trssi:-44\r\n', '')
('11:42:40.870834', b'D1-118************************\trssi:-45\r\n', '')
('11:42:40.870834', b'D1-116************************\trssi:-46\r\n', '')
('11:42:40.886623', b'D1-117************************\trssi:-46\r\n', '')
('11:42:40.886623', b'D1-114************************\trssi:-47\r\n', '')
('11:42:40.886623', b'D1-115************************\trssi:-47\r\n', '')
('11:42:40.886623', b'D1-112************************\trssi:-48\r\n', '')
('11:42:40.902090', b'D1-113************************\trssi:-49\r\n', '')
('11:42:40.902090', b'D1-111************************\trssi:-51\r\n', '')
('11:42:40.902090', b's-dur: 103689\r\n', '')
('11:42:41.011703', b'S\r\n', '')
('11:42:41.074186', b'D1-169************************\trssi:-49\r\n', '')
('11:42:41.074186', b'D1-168************************\trssi:-50\r\n', '')
('11:42:41.089732', b'D1-170************************\trssi:-50\r\n', '')
('11:42:41.089732', b'D1-171************************\trssi:-50\r\n', '')
('11:42:41.089732', b'D1-181************************\trssi:-50\r\n', '')
('11:42:41.089732', b'D1-172************************\trssi:-51\r\n', '')
('11:42:41.089732', b'D1-174************************\trssi:-51\r\n', '')
('11:42:41.105336', b'D1-175************************\trssi:-51\r\n', '')
('11:42:41.105336', b'D1-177************************\trssi:-51\r\n', '')
('11:42:41.105336', b'D1-179************************\trssi:-51\r\n', '')
('11:42:41.105336', b'D1-180************************\trssi:-51\r\n', '')
('11:42:41.120797', b'D1-182************************\trssi:-51\r\n', '')
('11:42:41.120797', b'D1-173************************\trssi:-52\r\n', '')
('11:42:41.120797', b'D1-176************************\trssi:-52\r\n', '')
('11:42:41.120797', b'D1-178************************\trssi:-52\r\n', '')
('11:42:41.120797', b's-dur: 103617\r\n', '')
('11:42:41.152070', b'S\r\n', '')
('11:42:41.214518', b'D1-204************************\trssi:-56\r\n', '')
('11:42:41.214518', b'D1-206************************\trssi:-56\r\n', '')
('11:42:41.214518', b'D1-209************************\trssi:-56\r\n', '')
('11:42:41.214518', b'D1-212************************\trssi:-56\r\n', '')
('11:42:41.230125', b'D1-203************************\trssi:-57\r\n', '')
('11:42:41.230125', b'D1-205************************\trssi:-57\r\n', '')
('11:42:41.230125', b'D1-207************************\trssi:-57\r\n', '')
('11:42:41.230125', b'D1-208************************\trssi:-57\r\n', '')
('11:42:41.245776', b'D1-210************************\trssi:-57\r\n', '')
('11:42:41.245776', b'D1-211************************\trssi:-57\r\n', '')
('11:42:41.245776', b'D1-214************************\trssi:-57\r\n', '')
('11:42:41.245776', b'D1-217************************\trssi:-57\r\n', '')
('11:42:41.245776', b'D1-213************************\trssi:-58\r\n', '')
('11:42:41.261556', b'D1-215************************\trssi:-58\r\n', '')
('11:42:41.261556', b'D1-216************************\trssi:-59\r\n', '')
('11:42:41.261556', b's-dur: 103596\r\n', '')
('11:42:41.308510', b'S\r\n', '')
('11:42:41.370995', b'D1-259************************\trssi:-53\r\n', '')
('11:42:41.370995', b'D1-248************************\trssi:-54\r\n', '')
('11:42:41.386524', b'D1-254************************\trssi:-54\r\n', '')
('11:42:41.386524', b'D1-256************************\trssi:-54\r\n', '')
('11:42:41.386524', b'D1-258************************\trssi:-54\r\n', '')
('11:42:41.386524', b'D1-246************************\trssi:-55\r\n', '')
('11:42:41.401983', b'D1-252************************\trssi:-55\r\n', '')
('11:42:41.401983', b'D1-253************************\trssi:-55\r\n', '')
('11:42:41.401983', b'D1-255************************\trssi:-55\r\n', '')
('11:42:41.401983', b'D1-257************************\trssi:-55\r\n', '')
('11:42:41.417704', b'D1-245************************\trssi:-56\r\n', '')
('11:42:41.417704', b'D1-247************************\trssi:-56\r\n', '')
('11:42:41.417704', b'D1-249************************\trssi:-56\r\n', '')
('11:42:41.417704', b'D1-250************************\trssi:-56\r\n', '')
('11:42:41.417704', b'D1-251************************\trssi:-57\r\n', '')
('11:42:41.433203', b's-dur: 103579\r\n', '')
('11:42:41.480342', b'S\r\n', '')
('11:42:41.542831', b'D1-289************************\trssi:-51\r\n', '')
('11:42:41.542831', b'D1-288************************\trssi:-52\r\n', '')
('11:42:41.542831', b'D1-290************************\trssi:-52\r\n', '')
('11:42:41.542831', b'D1-291************************\trssi:-52\r\n', '')
('11:42:41.558174', b'D1-292************************\trssi:-52\r\n', '')
('11:42:41.558174', b'D1-293************************\trssi:-52\r\n', '')
('11:42:41.558174', b'D1-294************************\trssi:-52\r\n', '')
('11:42:41.558174', b'D1-295************************\trssi:-52\r\n', '')
('11:42:41.573825', b'D1-296************************\trssi:-52\r\n', '')
('11:42:41.573825', b'D1-297************************\trssi:-52\r\n', '')
('11:42:41.573825', b'D1-298************************\trssi:-52\r\n', '')
('11:42:41.573825', b'D1-299************************\trssi:-52\r\n', '')
('11:42:41.589427', b'D1-300************************\trssi:-52\r\n', '')
('11:42:41.589427', b'D1-301************************\trssi:-52\r\n', '')
('11:42:41.589427', b's-dur: 100019\r\n', '')
('11:42:41.605038', b'S\r\n', '')
('11:42:41.667805', b'D1-321************************\trssi:-54\r\n', '')
('11:42:41.667805', b'D1-322************************\trssi:-54\r\n', '')
('11:42:41.683145', b'D1-323************************\trssi:-54\r\n', '')
('11:42:41.683145', b'D1-325************************\trssi:-54\r\n', '')
('11:42:41.683145', b'D1-324************************\trssi:-55\r\n', '')
('11:42:41.683145', b'D1-326************************\trssi:-55\r\n', '')
('11:42:41.698796', b'D1-327************************\trssi:-55\r\n', '')
('11:42:41.698796', b'D1-328************************\trssi:-55\r\n', '')
('11:42:41.698796', b'D1-329************************\trssi:-55\r\n', '')
('11:42:41.698796', b'D1-331************************\trssi:-55\r\n', '')
('11:42:41.698796', b'D1-332************************\trssi:-55\r\n', '')
('11:42:41.714555', b'D1-334************************\trssi:-55\r\n', '')
('11:42:41.714555', b'D1-330************************\trssi:-56\r\n', '')
('11:42:41.714555', b'D1-333************************\trssi:-56\r\n', '')
('11:42:41.714555', b'D1-335************************\trssi:-56\r\n', '')
('11:42:41.730031', b'D1-336************************\trssi:-56\r\n', '')
('11:42:41.730031', b's-dur: 107299\r\n', '')
('11:42:41.730031', b'S\r\n', '')
('11:42:41.777164', b'D1-360************************\trssi:-51\r\n', '')
('11:42:41.777164', b'D1-361************************\trssi:-51\r\n', '')
('11:42:41.792695', b'D1-353************************\trssi:-52\r\n', '')
('11:42:41.792695', b'D1-356************************\trssi:-52\r\n', '')
('11:42:41.792695', b'D1-358************************\trssi:-52\r\n', '')
('11:42:41.792695', b'D1-359************************\trssi:-52\r\n', '')
('11:42:41.808115', b'D1-362************************\trssi:-52\r\n', '')
('11:42:41.808115', b'D1-351************************\trssi:-53\r\n', '')
('11:42:41.808115', b'D1-352************************\trssi:-53\r\n', '')
('11:42:41.808115', b'D1-354************************\trssi:-53\r\n', '')
('11:42:41.808115', b'D1-355************************\trssi:-53\r\n', '')
('11:42:41.823759', b'D1-357************************\trssi:-53\r\n', '')
('11:42:41.823759', b'D1-348************************\trssi:-54\r\n', '')
('11:42:41.823759', b'D1-349************************\trssi:-54\r\n', '')
('11:42:41.823759', b'D1-350************************\trssi:-54\r\n', '')
('11:42:41.823759', b's-dur: 103906\r\n', '')
('11:42:41.917617', b'S\r\n', '')
('11:42:41.979965', b'D1-399************************\trssi:-49\r\n', '')
('11:42:41.979965', b'D1-400************************\trssi:-49\r\n', '')
('11:42:41.979965', b'D1-403************************\trssi:-49\r\n', '')
('11:42:41.979965', b'D1-405************************\trssi:-49\r\n', '')
('11:42:41.995737', b'D1-406************************\trssi:-49\r\n', '')
('11:42:41.995737', b'D1-408************************\trssi:-49\r\n', '')
('11:42:41.995737', b'D1-409************************\trssi:-49\r\n', '')
('11:42:41.995737', b'D1-410************************\trssi:-49\r\n', '')
('11:42:41.995737', b'D1-411************************\trssi:-49\r\n', '')
('11:42:42.013791', b'D1-401************************\trssi:-50\r\n', '')
('11:42:42.013791', b'D1-402************************\trssi:-50\r\n', '')
('11:42:42.013791', b'D1-404************************\trssi:-50\r\n', '')
('11:42:42.013791', b'D1-407************************\trssi:-50\r\n', '')
('11:42:42.013791', b'D1-412************************\trssi:-50\r\n', '')
('11:42:42.029598', b'D1-413************************\trssi:-50\r\n', '')
('11:42:42.029598', b's-dur: 103656\r\n', '')
('11:42:42.029598', b'S\r\n', '')
('11:42:42.076553', b'D1-426************************\trssi:-49\r\n', '')
('11:42:42.076553', b'D1-427************************\trssi:-49\r\n', '')
('11:42:42.091920', b'D1-428************************\trssi:-49\r\n', '')
('11:42:42.091920', b'D1-429************************\trssi:-49\r\n', '')
('11:42:42.091920', b'D1-430************************\trssi:-49\r\n', '')
('11:42:42.091920', b'D1-431************************\trssi:-49\r\n', '')
('11:42:42.107715', b'D1-432************************\trssi:-49\r\n', '')
('11:42:42.107715', b'D1-433************************\trssi:-49\r\n', '')
('11:42:42.107715', b'D1-434************************\trssi:-49\r\n', '')
('11:42:42.107715', b'D1-435************************\trssi:-49\r\n', '')
('11:42:42.107715', b'D1-436************************\trssi:-49\r\n', '')
('11:42:42.123170', b'D1-437************************\trssi:-49\r\n', '')
('11:42:42.123170', b'D1-438************************\trssi:-49\r\n', '')
('11:42:42.123170', b'D1-439************************\trssi:-49\r\n', '')
('11:42:42.123170', b'D1-440************************\trssi:-49\r\n', '')
('11:42:42.123170', b's-dur: 103802\r\n', '')
('11:42:42.154383', b'S\r\n', '')
('11:42:42.216898', b'D1-463************************\trssi:-48\r\n', '')
('11:42:42.216898', b'D1-469************************\trssi:-48\r\n', '')
('11:42:42.216898', b'D1-460************************\trssi:-49\r\n', '')
('11:42:42.232518', b'D1-461************************\trssi:-49\r\n', '')
('11:42:42.232518', b'D1-464************************\trssi:-49\r\n', '')
('11:42:42.232518', b'D1-465************************\trssi:-49\r\n', '')
('11:42:42.232518', b'D1-466************************\trssi:-49\r\n', '')
('11:42:42.232518', b'D1-467************************\trssi:-49\r\n', '')
('11:42:42.248112', b'D1-468************************\trssi:-49\r\n', '')
('11:42:42.248112', b'D1-470************************\trssi:-49\r\n', '')
('11:42:42.248112', b'D1-471************************\trssi:-49\r\n', '')
('11:42:42.248112', b'D1-472************************\trssi:-49\r\n', '')
('11:42:42.263734', b'D1-473************************\trssi:-49\r\n', '')
('11:42:42.263734', b'D1-474************************\trssi:-49\r\n', '')
('11:42:42.263734', b'D1-462************************\trssi:-50\r\n', '')
('11:42:42.263734', b's-dur: 103564\r\n', '')
('11:42:42.279382', b'S\r\n', '')
('11:42:42.341840', b'D1-509************************\trssi:-47\r\n', '')
('11:42:42.357491', b'D1-497************************\trssi:-48\r\n', '')
('11:42:42.357491', b'D1-498************************\trssi:-48\r\n', '')
('11:42:42.357491', b'D1-502************************\trssi:-48\r\n', '')
('11:42:42.357491', b'D1-495************************\trssi:-49\r\n', '')
('11:42:42.373097', b'D1-496************************\trssi:-49\r\n', '')
('11:42:42.373097', b'D1-499************************\trssi:-49\r\n', '')
('11:42:42.373097', b'D1-500************************\trssi:-49\r\n', '')
('11:42:42.373097', b'D1-501************************\trssi:-49\r\n', '')
('11:42:42.388705', b'D1-503************************\trssi:-49\r\n', '')
('11:42:42.388705', b'D1-504************************\trssi:-49\r\n', '')
('11:42:42.388705', b'D1-505************************\trssi:-49\r\n', '')
('11:42:42.388705', b'D1-506************************\trssi:-49\r\n', '')
('11:42:42.388705', b'D1-507************************\trssi:-49\r\n', '')
('11:42:42.404325', b'D1-508************************\trssi:-49\r\n', '')
('11:42:42.404325', b's-dur: 103478\r\n', '')
('11:42:42.513952', b'S\r\n', '')
('11:42:42.576439', b'D1-565************************\trssi:-48\r\n', '')
('11:42:42.576439', b'D1-553************************\trssi:-49\r\n', '')
('11:42:42.576439', b'D1-555************************\trssi:-49\r\n', '')
('11:42:42.591811', b'D1-556************************\trssi:-49\r\n', '')
('11:42:42.591811', b'D1-557************************\trssi:-49\r\n', '')
('11:42:42.591811', b'D1-559************************\trssi:-49\r\n', '')
('11:42:42.591811', b'D1-560************************\trssi:-49\r\n', '')
('11:42:42.591811', b'D1-561************************\trssi:-49\r\n', '')
('11:42:42.607586', b'D1-562************************\trssi:-49\r\n', '')
('11:42:42.607586', b'D1-563************************\trssi:-49\r\n', '')
('11:42:42.607586', b'D1-566************************\trssi:-49\r\n', '')
('11:42:42.607586', b'D1-567************************\trssi:-49\r\n', '')
('11:42:42.623047', b'D1-554************************\trssi:-50\r\n', '')
('11:42:42.623047', b'D1-558************************\trssi:-50\r\n', '')
('11:42:42.623047', b'D1-564************************\trssi:-50\r\n', '')
('11:42:42.623047', b's-dur: 103612\r\n', '')
('11:42:42.826376', b'S\r\n', '')
('11:42:42.888810', b'D1-633************************\trssi:-49\r\n', '')
('11:42:42.888810', b'D1-634************************\trssi:-49\r\n', '')
('11:42:42.904208', b'D1-636************************\trssi:-49\r\n', '')
('11:42:42.904208', b'D1-640************************\trssi:-49\r\n', '')
('11:42:42.904208', b'D1-641************************\trssi:-49\r\n', '')
('11:42:42.904208', b'D1-642************************\trssi:-49\r\n', '')
('11:42:42.904208', b'D1-644************************\trssi:-49\r\n', '')
