('15:59:24.230670', b'S\r\n', '')
('15:59:24.299870', b's-dur: 61498\r\n', '')
('15:59:24.299870', b'S\r\n', '')
('15:59:24.368190', b's-dur: 60956\r\n', '')
('15:59:24.369186', b'S\r\n', '')
('15:59:24.416227', b's-dur: 60841\r\n', '')
('15:59:24.416227', b'S\r\n', '')
('15:59:24.489470', b's-dur: 60806\r\n', '')
('15:59:24.489470', b'>\r\n', 'sent:50-0*')
('15:59:24.515362', b'b-dur: 29403\r\n', '')
('15:59:24.515362', b'>\r\n', 'sent:50-1*')
('15:59:24.551027', b'b-dur: 30960\r\n', '')
('15:59:24.551027', b'>\r\n', 'sent:50-2*')
('15:59:24.581186', b'b-dur: 29964\r\n', '')
('15:59:24.581186', b'>\r\n', 'sent:50-3*')
('15:59:24.598288', b'b-dur: 29964\r\n', '')
('15:59:24.598288', b'>\r\n', 'sent:50-4*')
('15:59:24.629535', b'b-dur: 28964\r\n', '')
('15:59:24.629535', b'S\r\n', '')
('15:59:24.699980', b's-dur: 60723\r\n', '')
('15:59:24.699980', b'S\r\n', '')
('15:59:24.760880', b's-dur: 60846\r\n', '')
('15:59:24.761882', b'>\r\n', 'sent:50-5*')
('15:59:24.792108', b'b-dur: 30328\r\n', '')
('15:59:24.792108', b'S\r\n', '')
('15:59:24.852076', b's-dur: 60812\r\n', '')
('15:59:24.853173', b'S\r\n', '')
('15:59:24.899126', b's-dur: 60831\r\n', '')
('15:59:24.899126', b'S\r\n', '')
('15:59:24.973960', b's-dur: 60813\r\n', '')
('15:59:24.973960', b'>\r\n', 'sent:50-6*')
('15:59:25.000099', b'b-dur: 29406\r\n', '')
('15:59:25.000099', b'>\r\n', 'sent:50-7*')
('15:59:25.031415', b'b-dur: 29960\r\n', '')
('15:59:25.031415', b'>\r\n', 'sent:50-8*')
('15:59:25.062983', b'b-dur: 28964\r\n', '')
('15:59:25.062983', b'>\r\n', 'sent:50-9*')
('15:59:25.093079', b'b-dur: 29964\r\n', '')
('15:59:25.093079', b'>\r\n', 'sent:50-10*')
('15:59:25.115135', b'b-dur: 29964\r\n', '')
('15:59:25.115135', b'>\r\n', 'sent:50-11*')
('15:59:25.152814', b'b-dur: 29964\r\n', '')
('15:59:25.152814', b'>\r\n', 'sent:50-12*')
('15:59:25.182160', b'b-dur: 28964\r\n', '')
('15:59:25.182160', b'>\r\n', 'sent:50-13*')
('15:59:25.200632', b'b-dur: 29964\r\n', '')
('15:59:25.200632', b'>\r\n', 'sent:50-14*')
('15:59:25.242183', b'b-dur: 29964\r\n', '')
('15:59:25.242183', b'>\r\n', 'sent:50-15*')
('15:59:25.272117', b'b-dur: 29964\r\n', '')
('15:59:25.272117', b'>\r\n', 'sent:50-16*')
('15:59:25.299060', b'b-dur: 29964\r\n', '')
('15:59:25.299060', b'>\r\n', 'sent:50-17*')
('15:59:25.330306', b'b-dur: 30964\r\n', '')
('15:59:25.330306', b'>\r\n', 'sent:50-18*')
('15:59:25.361242', b'b-dur: 28964\r\n', '')
('15:59:25.362239', b'>\r\n', 'sent:50-19*')
('15:59:25.392115', b'b-dur: 29964\r\n', '')
('15:59:25.392115', b'>\r\n', 'sent:50-20*')
('15:59:25.415318', b'b-dur: 29964\r\n', '')
('15:59:25.415318', b'>\r\n', 'sent:50-21*')
('15:59:25.451782', b'b-dur: 29964\r\n', '')
('15:59:25.451782', b'>\r\n', 'sent:50-22*')
('15:59:25.480526', b'b-dur: 28964\r\n', '')
('15:59:25.480526', b'S\r\n', '')
('15:59:25.530515', b's-dur: 60765\r\n', '')
('15:59:25.530515', b'>\r\n', 'sent:50-23*')
('15:59:25.571315', b'b-dur: 30165\r\n', '')
('15:59:25.572312', b'>\r\n', 'sent:50-24*')
('15:59:25.599789', b'b-dur: 30960\r\n', '')
('15:59:25.599789', b'>\r\n', 'sent:50-25*')
('15:59:25.631257', b'b-dur: 29964\r\n', '')
('15:59:25.631257', b'>\r\n', 'sent:50-26*')
('15:59:25.662077', b'b-dur: 28964\r\n', '')
('15:59:25.662453', b'>\r\n', 'sent:50-27*')
('15:59:25.682615', b'b-dur: 29964\r\n', '')
('15:59:25.682615', b'>\r\n', 'sent:50-28*')
('15:59:25.714135', b'b-dur: 29964\r\n', '')
('15:59:25.714135', b'>\r\n', 'sent:50-29*')
('15:59:25.752718', b'b-dur: 30964\r\n', '')
('15:59:25.752718', b'>\r\n', 'sent:50-30*')
('15:59:25.782219', b'b-dur: 28964\r\n', '')
('15:59:25.782219', b'S\r\n', '')
('15:59:25.845175', b'D3-0**************************\trssi:-40\r\n', '')
('15:59:25.849178', b'D3-1**************************\trssi:-40\r\n', '')
('15:59:25.852156', b'D3-2**************************\trssi:-41\r\n', '')
('15:59:25.853171', b's-dur: 61369\r\n', '')
('15:59:25.853171', b'S\r\n', '')
('15:59:25.900220', b'D3-3**************************\trssi:-39\r\n', '')
('15:59:25.900220', b'D3-5**************************\trssi:-39\r\n', '')
('15:59:25.900220', b'D3-4**************************\trssi:-40\r\n', '')
('15:59:25.915841', b's-dur: 61639\r\n', '')
('15:59:25.915841', b'>\r\n', 'sent:50-31*')
('15:59:25.931757', b'b-dur: 39022\r\n', '')
('15:59:25.931757', b'>\r\n', 'sent:50-32*')
('15:59:25.976201', b'b-dur: 31960\r\n', '')
('15:59:25.976201', b'S\r\n', '')
('15:59:26.030425', b'D3-10*************************\trssi:-38\r\n', '')
('15:59:26.030425', b'D3-11*************************\trssi:-38\r\n', '')
('15:59:26.046338', b'D3-12*************************\trssi:-38\r\n', '')
('15:59:26.048365', b's-dur: 61262\r\n', '')
('15:59:26.048365', b'S\r\n', '')
('15:59:26.099190', b'D3-15*************************\trssi:-38\r\n', '')
('15:59:26.099190', b'D3-14*************************\trssi:-39\r\n', '')
('15:59:26.099190', b'D3-13*************************\trssi:-40\r\n', '')
('15:59:26.099190', b's-dur: 61635\r\n', '')
('15:59:26.099190', b'>\r\n', 'sent:50-33*')
('15:59:26.130733', b'b-dur: 40112\r\n', '')
('15:59:26.130733', b'>\r\n', 'sent:50-34*')
('15:59:26.170846', b'b-dur: 29960\r\n', '')
('15:59:26.170846', b'S\r\n', '')
('15:59:26.230753', b'D3-19*************************\trssi:-40\r\n', '')
('15:59:26.230753', b'D3-21*************************\trssi:-40\r\n', '')
('15:59:26.230753', b'D3-20*************************\trssi:-41\r\n', '')
('15:59:26.230753', b's-dur: 61543\r\n', '')
('15:59:26.230753', b'>\r\n', 'sent:50-35*')
('15:59:26.273032', b'b-dur: 39945\r\n', '')
('15:59:26.273316', b'>\r\n', 'sent:50-36*')
('15:59:26.300431', b'b-dur: 29960\r\n', '')
('15:59:26.300431', b'>\r\n', 'sent:50-37*')
('15:59:26.331849', b'b-dur: 29964\r\n', '')
('15:59:26.331849', b'>\r\n', 'sent:50-38*')
('15:59:26.364073', b'b-dur: 30964\r\n', '')
('15:59:26.364073', b'>\r\n', 'sent:50-39*')
('15:59:26.394173', b'b-dur: 29964\r\n', '')
('15:59:26.394173', b'>\r\n', 'sent:50-40*')
('15:59:26.415588', b'b-dur: 28964\r\n', '')
('15:59:26.415588', b'>\r\n', 'sent:50-41*')
('15:59:26.452333', b'b-dur: 29964\r\n', '')
('15:59:26.452333', b'S\r\n', '')
('15:59:26.515256', b'D3-34*************************\trssi:-45\r\n', '')
('15:59:26.515256', b'D3-35*************************\trssi:-47\r\n', '')
('15:59:26.515256', b's-dur: 61170\r\n', '')
('15:59:26.515256', b'>\r\n', 'sent:50-42*')
('15:59:26.552135', b'b-dur: 37760\r\n', '')
('15:59:26.552429', b'>\r\n', 'sent:50-43*')
('15:59:26.582251', b'b-dur: 30960\r\n', '')
('15:59:26.583254', b'>\r\n', 'sent:50-44*')
('15:59:26.599405', b'b-dur: 29964\r\n', '')
('15:59:26.599405', b'S\r\n', '')
('15:59:26.676067', b'D3-43*************************\trssi:-45\r\n', '')
('15:59:26.680190', b'D3-42*************************\trssi:-46\r\n', '')
('15:59:26.681154', b's-dur: 61202\r\n', '')
('15:59:26.681154', b'>\r\n', 'sent:50-45*')
('15:59:26.699915', b'b-dur: 35728\r\n', '')
('15:59:26.699915', b'S\r\n', '')
('15:59:26.772710', b'D3-47*************************\trssi:-43\r\n', '')
('15:59:26.776666', b'D3-46*************************\trssi:-44\r\n', '')
('15:59:26.780107', b'D3-48*************************\trssi:-44\r\n', '')
('15:59:26.780905', b's-dur: 61273\r\n', '')
('15:59:26.782095', b'>\r\n', 'sent:50-46*')
('15:59:26.798946', b'b-dur: 40210\r\n', '')
('15:59:26.798946', b'S\r\n', '')
('15:59:26.875095', b'D3-53*************************\trssi:-41\r\n', '')
('15:59:26.879183', b'D3-52*************************\trssi:-42\r\n', '')
