('11:15:16.405744', b'OWERON_RESETS\r\n', '')
('11:15:16.468258', b'D1-5**************************\trssi:-38\r\n', '')
('11:15:16.468258', b'D1-6**************************\trssi:-38\r\n', '')
('11:15:16.468258', b'D1-4**************************\trssi:-40\r\n', '')
('11:15:16.468258', b's-dur: 62087\r\n', '')
('11:15:16.468258', b'S\r\n', '')
('11:15:16.530738', b'D1-7**************************\trssi:-37\r\n', '')
('11:15:16.530738', b'D1-8**************************\trssi:-37\r\n', '')
('11:15:16.530738', b'D1-9**************************\trssi:-38\r\n', '')
('11:15:16.530738', b's-dur: 61770\r\n', '')
('11:15:16.546367', b'S\r\n', '')
('11:15:16.624443', b'D1-14*************************\trssi:-34\r\n', '')
('11:15:16.624443', b'D1-12*************************\trssi:-36\r\n', '')
('11:15:16.624443', b'D1-13*************************\trssi:-36\r\n', '')
('11:15:16.624443', b's-dur: 61456\r\n', '')
('11:15:16.624443', b'S\r\n', '')
('11:15:16.686927', b'D1-16*************************\trssi:-33\r\n', '')
('11:15:16.686927', b'D1-17*************************\trssi:-33\r\n', '')
('11:15:16.686927', b'D1-15*************************\trssi:-34\r\n', '')
('11:15:16.686927', b's-dur: 61685\r\n', '')
('11:15:16.733791', b'S\r\n', '')
('11:15:16.796309', b'D1-21*************************\trssi:-36\r\n', '')
('11:15:16.811900', b'D1-22*************************\trssi:-37\r\n', '')
('11:15:16.811900', b'D1-23*************************\trssi:-39\r\n', '')
('11:15:16.811900', b's-dur: 61565\r\n', '')
('11:15:16.890006', b'S\r\n', '')
('11:15:16.952513', b'D1-29*************************\trssi:-34\r\n', '')
('11:15:16.952513', b'D1-28*************************\trssi:-35\r\n', '')
('11:15:16.968143', b'D1-30*************************\trssi:-35\r\n', '')
('11:15:16.968143', b'D1-31*************************\trssi:-36\r\n', '')
('11:15:16.968143', b's-dur: 64388\r\n', '')
('11:15:17.015011', b'S\r\n', '')
('11:15:17.077464', b'D1-35*************************\trssi:-36\r\n', '')
('11:15:17.077464', b'D1-36*************************\trssi:-37\r\n', '')
('11:15:17.093086', b'D1-37*************************\trssi:-37\r\n', '')
('11:15:17.093086', b's-dur: 61556\r\n', '')
('11:15:17.202435', b'S\r\n', '')
('11:15:17.264919', b'D1-44*************************\trssi:-37\r\n', '')
('11:15:17.264919', b'D1-45*************************\trssi:-37\r\n', '')
('11:15:17.264919', b'D1-46*************************\trssi:-37\r\n', '')
('11:15:17.264919', b's-dur: 61580\r\n', '')
('11:15:17.280568', b'S\r\n', '')
('11:15:17.358680', b'D1-50*************************\trssi:-37\r\n', '')
('11:15:17.358680', b'D1-49*************************\trssi:-39\r\n', '')
('11:15:17.358680', b'D1-51*************************\trssi:-39\r\n', '')
('11:15:17.358680', b's-dur: 61528\r\n', '')
('11:15:17.358680', b'S\r\n', '')
('11:15:17.421133', b'D1-52*************************\trssi:-36\r\n', '')
('11:15:17.421133', b'D1-53*************************\trssi:-37\r\n', '')
('11:15:17.421133', b'D1-54*************************\trssi:-37\r\n', '')
('11:15:17.421133', b's-dur: 61629\r\n', '')
('11:15:17.436787', b'S\r\n', '')
('11:15:17.499272', b'D1-56*************************\trssi:-35\r\n', '')
('11:15:17.514893', b'D1-57*************************\trssi:-35\r\n', '')
('11:15:17.514893', b'D1-58*************************\trssi:-36\r\n', '')
('11:15:17.514893', b's-dur: 61395\r\n', '')
('11:15:17.561727', b'S\r\n', '')
('11:15:17.624244', b'D1-62*************************\trssi:-34\r\n', '')
('11:15:17.639865', b'D1-63*************************\trssi:-34\r\n', '')
('11:15:17.639865', b'D1-64*************************\trssi:-35\r\n', '')
('11:15:17.639865', b's-dur: 61382\r\n', '')
('11:15:17.717971', b'S\r\n', '')
('11:15:17.780457', b'D1-71*************************\trssi:-35\r\n', '')
('11:15:17.780457', b'D1-72*************************\trssi:-36\r\n', '')
('11:15:17.796046', b'D1-70*************************\trssi:-37\r\n', '')
('11:15:17.796046', b's-dur: 61547\r\n', '')
('11:15:17.811700', b'S\r\n', '')
('11:15:17.874187', b'D1-75*************************\trssi:-34\r\n', '')
('11:15:17.874187', b'D1-77*************************\trssi:-34\r\n', '')
('11:15:17.874187', b'D1-74*************************\trssi:-35\r\n', '')
('11:15:17.889808', b'D1-76*************************\trssi:-36\r\n', '')
('11:15:17.889808', b's-dur: 64343\r\n', '')
('11:15:17.905429', b'S\r\n', '')
('11:15:17.967917', b'D1-81*************************\trssi:-34\r\n', '')
('11:15:17.967917', b'D1-80*************************\trssi:-35\r\n', '')
('11:15:17.967917', b'D1-79*************************\trssi:-36\r\n', '')
('11:15:17.983536', b's-dur: 61418\r\n', '')
('11:15:17.983536', b'S\r\n', '')
('11:15:18.030406', b'D1-82*************************\trssi:-35\r\n', '')
('11:15:18.030406', b'D1-84*************************\trssi:-35\r\n', '')
('11:15:18.030406', b'D1-83*************************\trssi:-36\r\n', '')
('11:15:18.046021', b's-dur: 61632\r\n', '')
('11:15:18.139739', b'S\r\n', '')
('11:15:18.217846', b'D1-92*************************\trssi:-34\r\n', '')
('11:15:18.217846', b'D1-93*************************\trssi:-34\r\n', '')
('11:15:18.217846', b's-dur: 61385\r\n', '')
('11:15:18.389681', b'S\r\n', '')
('11:15:18.452178', b'D1-104************************\trssi:-34\r\n', '')
('11:15:18.452178', b'D1-106************************\trssi:-35\r\n', '')
('11:15:18.467798', b'D1-105************************\trssi:-36\r\n', '')
('11:15:18.467798', b's-dur: 61626\r\n', '')
('11:15:18.578072', b'S\r\n', '')
('11:15:18.639035', b'D1-113************************\trssi:-35\r\n', '')
('11:15:18.639035', b'D1-115************************\trssi:-35\r\n', '')
('11:15:18.639035', b'D1-114************************\trssi:-36\r\n', '')
('11:15:18.639035', b's-dur: 61512\r\n', '')
('11:15:18.639035', b'S\r\n', '')
('11:15:18.701520', b'D1-117************************\trssi:-34\r\n', '')
('11:15:18.701520', b'D1-116************************\trssi:-35\r\n', '')
('11:15:18.701520', b'D1-118************************\trssi:-35\r\n', '')
('11:15:18.701520', b's-dur: 61601\r\n', '')
('11:15:18.779627', b'S\r\n', '')
('11:15:18.842101', b'D1-124************************\trssi:-34\r\n', '')
('11:15:18.857723', b'D1-123************************\trssi:-36\r\n', '')
('11:15:18.857723', b'D1-125************************\trssi:-36\r\n', '')
('11:15:18.857723', b's-dur: 61618\r\n', '')
('11:15:18.873355', b'S\r\n', '')
('11:15:18.935810', b'D1-129************************\trssi:-35\r\n', '')
('11:15:18.951431', b'D1-128************************\trssi:-36\r\n', '')
('11:15:18.951431', b'D1-130************************\trssi:-36\r\n', '')
('11:15:18.951431', b's-dur: 61396\r\n', '')
('11:15:18.967052', b'S\r\n', '')
('11:15:19.029538', b'D1-133************************\trssi:-35\r\n', '')
('11:15:19.029538', b'D1-135************************\trssi:-35\r\n', '')
('11:15:19.045160', b'D1-134************************\trssi:-37\r\n', '')
('11:15:19.045160', b's-dur: 61541\r\n', '')
('11:15:19.092024', b'S\r\n', '')
('11:15:19.154509', b'D1-139************************\trssi:-36\r\n', '')
('11:15:19.154509', b'D1-141************************\trssi:-36\r\n', '')
('11:15:19.154509', b'D1-140************************\trssi:-37\r\n', '')
('11:15:19.170157', b's-dur: 61529\r\n', '')
('11:15:19.217015', b'S\r\n', '')
('11:15:19.279480', b'D1-147************************\trssi:-34\r\n', '')
('11:15:19.279480', b'D1-145************************\trssi:-35\r\n', '')
('11:15:19.279480', b'D1-146************************\trssi:-35\r\n', '')
('11:15:19.279480', b's-dur: 61532\r\n', '')
('11:15:19.279480', b'S\r\n', '')
