('14:57:22.298662', b'S\r\n', '')
('14:57:22.375463', b's-dur: 61509\r\n', '')
('14:57:22.375463', b'>\r\n', 'sent:64-0*')
('14:57:22.400399', b'b-dur: 30500\r\n', '')
('14:57:22.400399', b'>\r\n', 'sent:64-1*')
('14:57:22.433126', b'b-dur: 27962\r\n', '')
('14:57:22.433126', b'S\r\n', '')
('14:57:22.484829', b's-dur: 60758\r\n', '')
('14:57:22.484829', b'S\r\n', '')
('14:57:22.555471', b's-dur: 60822\r\n', '')
('14:57:22.555471', b'>\r\n', 'sent:64-2*')
('14:57:22.585589', b'b-dur: 30316\r\n', '')
('14:57:22.585589', b'>\r\n', 'sent:64-3*')
('14:57:22.601402', b'b-dur: 28962\r\n', '')
('14:57:22.601402', b'>\r\n', 'sent:64-4*')
('14:57:22.643516', b'b-dur: 28964\r\n', '')
('14:57:22.643516', b'>\r\n', 'sent:64-5*')
('14:57:22.667156', b'b-dur: 28964\r\n', '')
('14:57:22.667156', b'S\r\n', '')
('14:57:22.733258', b's-dur: 60698\r\n', '')
('14:57:22.733258', b'>\r\n', 'sent:64-6*')
('14:57:22.761603', b'b-dur: 29230\r\n', '')
('14:57:22.761603', b'S\r\n', '')
('14:57:22.813988', b's-dur: 60660\r\n', '')
('14:57:22.813988', b'>\r\n', 'sent:64-7*')
('14:57:22.853445', b'b-dur: 30261\r\n', '')
('14:57:22.853445', b'>\r\n', 'sent:64-8*')
('14:57:22.881251', b'b-dur: 27962\r\n', '')
('14:57:22.881251', b'>\r\n', 'sent:64-9*')
('14:57:22.901163', b'b-dur: 29964\r\n', '')
('14:57:22.901163', b'>\r\n', 'sent:64-10*')
('14:57:22.939533', b'b-dur: 27964\r\n', '')
('14:57:22.939533', b'>\r\n', 'sent:64-11*')
('14:57:22.968722', b'b-dur: 28964\r\n', '')
('14:57:22.968722', b'>\r\n', 'sent:64-12*')
('14:57:22.984535', b'b-dur: 28964\r\n', '')
('14:57:22.984535', b'>\r\n', 'sent:64-13*')
('14:57:23.015880', b'b-dur: 28964\r\n', '')
('14:57:23.015880', b'S\r\n', '')
('14:57:23.084488', b's-dur: 60698\r\n', '')
('14:57:23.084488', b'>\r\n', 'sent:64-14*')
('14:57:23.115732', b'b-dur: 29230\r\n', '')
('14:57:23.115732', b'S\r\n', '')
('14:57:23.177472', b's-dur: 60663\r\n', '')
('14:57:23.177472', b'>\r\n', 'sent:64-15*')
('14:57:23.200046', b'b-dur: 30263\r\n', '')
