('14:55:08.588410', b'S\r\n', '')
('14:55:08.643598', b'D3-88643**********************\trssi:-54\r\n', '')
('14:55:08.646637', b'D3-88645**********************\trssi:-54\r\n', '')
('14:55:08.650686', b'D3-88646**********************\trssi:-54\r\n', '')
('14:55:08.653677', b'D3-88647**********************\trssi:-54\r\n', '')
('14:55:08.657639', b'D3-88648**********************\trssi:-54\r\n', '')
('14:55:08.660635', b'D3-88649**********************\trssi:-54\r\n', '')
('14:55:08.663626', b'D3-88650**********************\trssi:-54\r\n', '')
('14:55:08.667618', b'D3-88644**********************\trssi:-55\r\n', '')
('14:55:08.669673', b's-dur: 78709\r\n', '')
('14:55:08.669673', b'>\r\n', 'sent:80-8349*')
('14:55:08.688612', b'b-dur: 40420\r\n', '')
('14:55:08.688612', b'S\r\n', '')
('14:55:08.763610', b'D3-88660**********************\trssi:-54\r\n', '')
('14:55:08.766639', b'D3-88661**********************\trssi:-54\r\n', '')
('14:55:08.770506', b'D3-88663**********************\trssi:-54\r\n', '')
('14:55:08.772684', b'D3-88664**********************\trssi:-54\r\n', '')
('14:55:08.772684', b'D3-88666**********************\trssi:-54\r\n', '')
('14:55:08.772684', b'D3-88667**********************\trssi:-54\r\n', '')
('14:55:08.772684', b'D3-88668**********************\trssi:-54\r\n', '')
('14:55:08.788323', b'D3-88662**********************\trssi:-55\r\n', '')
('14:55:08.788323', b'D3-88665**********************\trssi:-55\r\n', '')
('14:55:08.788323', b's-dur: 81961\r\n', '')
('14:55:08.788323', b'S\r\n', '')
('14:55:08.846594', b'D3-88672**********************\trssi:-54\r\n', '')
('14:55:08.850605', b'D3-88673**********************\trssi:-54\r\n', '')
('14:55:08.853618', b'D3-88674**********************\trssi:-54\r\n', '')
('14:55:08.855638', b'D3-88675**********************\trssi:-54\r\n', '')
('14:55:08.855638', b'D3-88676**********************\trssi:-54\r\n', '')
('14:55:08.855638', b'D3-88677**********************\trssi:-54\r\n', '')
('14:55:08.855638', b'D3-88678**********************\trssi:-54\r\n', '')
('14:55:08.871260', b'D3-88679**********************\trssi:-54\r\n', '')
('14:55:08.871260', b's-dur: 78719\r\n', '')
('14:55:08.871260', b'>\r\n', 'sent:80-8350*')
('14:55:08.902641', b'b-dur: 39862\r\n', '')
('14:55:08.902641', b'>\r\n', 'sent:80-8351*')
('14:55:08.932405', b'b-dur: 29958\r\n', '')
('14:55:08.933623', b'>\r\n', 'sent:80-8352*')
('14:55:08.962642', b'b-dur: 29964\r\n', '')
('14:55:08.963651', b'S\r\n', '')
('14:55:09.025955', b'D3-88698**********************\trssi:-54\r\n', '')
('14:55:09.029642', b'D3-88699**********************\trssi:-54\r\n', '')
('14:55:09.033641', b'D3-88701**********************\trssi:-54\r\n', '')
('14:55:09.037031', b'D3-88702**********************\trssi:-54\r\n', '')
('14:55:09.040026', b'D3-88703**********************\trssi:-54\r\n', '')
('14:55:09.044594', b'D3-88704**********************\trssi:-54\r\n', '')
('14:55:09.047387', b'D3-88705**********************\trssi:-54\r\n', '')
('14:55:09.051655', b'D3-88700**********************\trssi:-55\r\n', '')
('14:55:09.054661', b'D3-88706**********************\trssi:-55\r\n', '')
('14:55:09.056754', b's-dur: 82082\r\n', '')
('14:55:09.056754', b'S\r\n', '')
('14:55:09.103916', b'D3-88710**********************\trssi:-54\r\n', '')
('14:55:09.103916', b'D3-88711**********************\trssi:-54\r\n', '')
('14:55:09.103916', b'D3-88712**********************\trssi:-54\r\n', '')
('14:55:09.120727', b'D3-88713**********************\trssi:-54\r\n', '')
('14:55:09.123709', b'D3-88714**********************\trssi:-54\r\n', '')
('14:55:09.127703', b'D3-88715**********************\trssi:-54\r\n', '')
('14:55:09.131707', b'D3-88716**********************\trssi:-54\r\n', '')
('14:55:09.134702', b'D3-88717**********************\trssi:-54\r\n', '')
('14:55:09.136697', b's-dur: 78749\r\n', '')
('14:55:09.136697', b'S\r\n', '')
('14:55:09.187809', b'D3-88721**********************\trssi:-54\r\n', '')
('14:55:09.187809', b'D3-88723**********************\trssi:-54\r\n', '')
('14:55:09.187809', b'D3-88724**********************\trssi:-54\r\n', '')
('14:55:09.187809', b'D3-88725**********************\trssi:-54\r\n', '')
('14:55:09.203625', b'D3-88726**********************\trssi:-54\r\n', '')
('14:55:09.203625', b'D3-88727**********************\trssi:-54\r\n', '')
('14:55:09.203625', b'D3-88728**********************\trssi:-54\r\n', '')
('14:55:09.203625', b'D3-88729**********************\trssi:-54\r\n', '')
('14:55:09.203625', b'D3-88722**********************\trssi:-55\r\n', '')
('14:55:09.219390', b's-dur: 82416\r\n', '')
