('14:44:47.329869', b'>\r\n', 'sent:80-0*')
('14:44:47.354290', b'b-dur: 29360\r\n', '')
('14:44:47.354290', b'S\r\n', '')
('14:44:47.420349', b's-dur: 60931\r\n', '')
('14:44:47.420349', b'>\r\n', 'sent:80-1*')
('14:44:47.451050', b'b-dur: 29824\r\n', '')
('14:44:47.452035', b'>\r\n', 'sent:80-2*')
('14:44:47.470879', b'b-dur: 30958\r\n', '')
('14:44:47.470879', b'S\r\n', '')
('14:44:47.543045', b's-dur: 60747\r\n', '')
('14:44:47.543288', b'>\r\n', 'sent:80-3*')
('14:44:47.570641', b'b-dur: 29185\r\n', '')
('14:44:47.570641', b'S\r\n', '')
('14:44:47.632042', b's-dur: 60652\r\n', '')
('14:44:47.632042', b'S\r\n', '')
('14:44:47.685987', b's-dur: 60825\r\n', '')
('14:44:47.685987', b'S\r\n', '')
('14:44:47.754571', b's-dur: 60824\r\n', '')
('14:44:47.754571', b'>\r\n', 'sent:80-4*')
('14:44:47.772117', b'b-dur: 29559\r\n', '')
('14:44:47.772117', b'S\r\n', '')
('14:44:47.845052', b's-dur: 60685\r\n', '')
('14:44:47.845052', b'>\r\n', 'sent:80-5*')
('14:44:47.869736', b'b-dur: 31241\r\n', '')
('14:44:47.869736', b'>\r\n', 'sent:80-6*')
('14:44:47.900990', b'b-dur: 29958\r\n', '')
('14:44:47.900990', b'>\r\n', 'sent:80-7*')
('14:44:47.936585', b'b-dur: 30964\r\n', '')
('14:44:47.936585', b'>\r\n', 'sent:80-8*')
('14:44:47.966762', b'b-dur: 29964\r\n', '')
('14:44:47.966762', b'S\r\n', '')
('14:44:48.030753', b'D3-4**************************\trssi:-46\r\n', '')
('14:44:48.033758', b'D3-7**************************\trssi:-46\r\n', '')
('14:44:48.037733', b'D3-5**************************\trssi:-47\r\n', '')
('14:44:48.040983', b'D3-6**************************\trssi:-47\r\n', '')
('14:44:48.045050', b'D3-9**************************\trssi:-47\r\n', '')
('14:44:48.048991', b'D3-10*************************\trssi:-47\r\n', '')
('14:44:48.051994', b'D3-8**************************\trssi:-48\r\n', '')
('14:44:48.055991', b'D3-11*************************\trssi:-48\r\n', '')
('14:44:48.059042', b'D3-12*************************\trssi:-48\r\n', '')
('14:44:48.060043', b's-dur: 82019\r\n', '')
('14:44:48.061040', b'S\r\n', '')
('14:44:48.113963', b'D3-20*************************\trssi:-49\r\n', '')
('14:44:48.118007', b'D3-21*************************\trssi:-49\r\n', '')
('14:44:48.120870', b'D3-23*************************\trssi:-49\r\n', '')
('14:44:48.124976', b'D3-24*************************\trssi:-49\r\n', '')
('14:44:48.129009', b'D3-17*************************\trssi:-50\r\n', '')
('14:44:48.132003', b'D3-18*************************\trssi:-50\r\n', '')
('14:44:48.136012', b'D3-19*************************\trssi:-50\r\n', '')
('14:44:48.138966', b'D3-22*************************\trssi:-50\r\n', '')
('14:44:48.139933', b's-dur: 78837\r\n', '')
('14:44:48.141146', b'>\r\n', 'sent:80-9*')
('14:44:48.169435', b'b-dur: 39684\r\n', '')
('14:44:48.169435', b'S\r\n', '')
('14:44:48.233998', b'D3-38*************************\trssi:-54\r\n', '')
('14:44:48.236839', b'D3-39*************************\trssi:-54\r\n', '')
('14:44:48.240867', b'D3-37*************************\trssi:-58\r\n', '')
('14:44:48.243872', b'D3-33*************************\trssi:-64\r\n', '')
('14:44:48.247864', b'D3-32*************************\trssi:-67\r\n', '')
('14:44:48.250862', b'D3-34*************************\trssi:-68\r\n', '')
('14:44:48.254895', b'D3-35*************************\trssi:-69\r\n', '')
('14:44:48.258869', b'D3-36*************************\trssi:-69\r\n', '')
