('15:27:23.232208', b'e>\r\n', 'sent:1-0*')
('15:27:23.247837', b'dur: 20711\r\n', '')
('15:27:23.247837', b'>\r\n', 'sent:1-1*')
('15:27:23.278979', b'dur: 20873\r\n', '')
('15:27:23.278979', b'S\r\n', '')
('15:27:23.341288', b'D2-0**************************\trssi:-47\r\n', '')
('15:27:23.341288', b'D2-1**************************\trssi:-48\r\n', '')
('15:27:23.341288', b'D2-2**************************\trssi:-48\r\n', '')
('15:27:23.341288', b'>\r\n', 'sent:1-2*')
('15:27:23.356931', b'dur: 25912\r\n', '')
('15:27:23.356931', b'>\r\n', 'sent:1-3*')
('15:27:23.388153', b'dur: 24967\r\n', '')
('15:27:23.388153', b'S\r\n', '')
('15:27:23.450919', b'D2-6**************************\trssi:-48\r\n', '')
('15:27:23.450919', b'>\r\n', 'sent:1-4*')
('15:27:23.466556', b'dur: 23861\r\n', '')
('15:27:23.466556', b'>\r\n', 'sent:1-5*')
('15:27:23.497780', b'dur: 21967\r\n', '')
('15:27:23.497780', b'>\r\n', 'sent:1-6*')
('15:27:23.513417', b'dur: 16969\r\n', '')
('15:27:23.513417', b'>\r\n', 'sent:1-7*')
('15:27:23.529021', b'dur: 22969\r\n', '')
('15:27:23.529021', b'>\r\n', 'sent:1-8*')
('15:27:23.559988', b'dur: 23969\r\n', '')
('15:27:23.559988', b'>\r\n', 'sent:1-9*')
('15:27:23.575887', b'dur: 21969\r\n', '')
('15:27:23.575887', b'>\r\n', 'sent:1-10*')
('15:27:23.591509', b'dur: 19969\r\n', '')
('15:27:23.591509', b'>\r\n', 'sent:1-11*')
('15:27:23.622754', b'dur: 21969\r\n', '')
('15:27:23.622754', b'>\r\n', 'sent:1-12*')
('15:27:23.638366', b'dur: 20969\r\n', '')
('15:27:23.638366', b'S\r\n', '')
('15:27:23.700855', b'D2-14*************************\trssi:-48\r\n', '')
('15:27:23.700855', b'D2-15*************************\trssi:-48\r\n', '')
('15:27:23.716203', b'D2-16*************************\trssi:-48\r\n', '')
('15:27:23.716203', b'>\r\n', 'sent:1-13*')
('15:27:23.731957', b'dur: 28238\r\n', '')
('15:27:23.731957', b'>\r\n', 'sent:1-14*')
('15:27:23.747725', b'dur: 21961\r\n', '')
('15:27:23.747725', b'>\r\n', 'sent:1-15*')
('15:27:23.778961', b'dur: 25968\r\n', '')
('15:27:23.778961', b'>\r\n', 'sent:1-16*')
