('15:27:23.278979', '2-0')
('15:27:23.294657', '2-1')
('15:27:23.325946', '2-2')
('15:27:23.341288', '2-3')
('15:27:23.372559', '2-4')
('15:27:23.388153', '2-5')
('15:27:23.403914', '2-6')
('15:27:23.497780', '2-7')
('15:27:23.513417', '2-8')
('15:27:23.529021', '2-9')
('15:27:23.559988', '2-10')
('15:27:23.575887', '2-11')
('15:27:23.607049', '2-12')
('15:27:23.622754', '2-13')
('15:27:23.653853', '2-14')
('15:27:23.669613', '2-15')
('15:27:23.685251', '2-16')
('15:27:23.716203', '2-17')
('15:27:23.731957', '2-18')
('15:27:23.747725', '2-19')
('15:27:23.778961', '2-20')
('15:27:23.794566', '2-21')
('15:27:23.810139', '2-22')
('15:27:23.841473', '2-23')
('15:27:23.857073', '2-24')
('15:27:23.872417', '2-25')
('15:27:23.966434', '2-26')
('15:27:23.997669', '2-27')
('15:27:24.013306', '2-28')
('15:27:24.044299', '2-29')
('15:27:24.059874', '2-30')
('15:27:24.075779', '2-31')
('15:27:24.107020', '2-32')
('15:27:24.247613', '2-33')
('15:27:24.278849', '2-34')
('15:27:24.294437', '2-35')
('15:27:24.309818', '2-36')
('15:27:24.341355', '2-37')
('15:27:24.356883', '2-38')
('15:27:24.372596', '2-39')
('15:27:24.403826', '2-40')
('15:27:24.544384', '2-41')
('15:27:24.559761', '2-42')
('15:27:24.575659', '2-43')
('15:27:24.591211', '2-44')
('15:27:24.622540', '2-45')
('15:27:24.638138', '2-46')
('15:27:24.669404', '2-47')
('15:27:24.685017', '2-48')
('15:27:24.715976', '2-49')
('15:27:24.731878', '2-50')
('15:27:24.747512', '2-51')
('15:27:24.778730', '2-52')
('15:27:24.794331', '2-53')
('15:27:24.809720', '2-54')
('15:27:24.841231', '2-55')
('15:27:24.856849', '2-56')
('15:27:24.872470', '2-57')
('15:27:24.903703', '2-58')
('15:27:24.919056', '2-59')
('15:27:24.934959', '2-60')
('15:27:24.966139', '2-61')
('15:27:24.981817', '2-62')
('15:27:24.997219', '2-63')
('15:27:25.028674', '2-64')
('15:27:25.044267', '2-65')
('15:27:25.059765', '2-66')
('15:27:25.216067', '2-67')
('15:27:25.231506', '2-68')
('15:27:25.325509', '2-69')
('15:27:25.403608', '2-70')
('15:27:25.434841', '2-71')
('15:27:25.528323', '2-72')
('15:27:25.544136', '2-73')
('15:27:25.637916', '2-74')
('15:27:25.653559', '2-75')
('15:27:25.746994', '2-76')
('15:27:25.762898', '2-77')
('15:27:25.778524', '2-78')
('15:27:25.809482', '2-79')
('15:27:25.825368', '2-80')
('15:27:25.840963', '2-81')
('15:27:25.872175', '2-82')
('15:27:25.887584', '2-83')
('15:27:25.981316', '2-84')
('15:27:25.997231', '2-85')
('15:27:26.090942', '2-86')
('15:27:26.108086', '2-87')
('15:27:26.123989', '2-88')
('15:27:26.155244', '2-89')
('15:27:26.170762', '2-90')
('15:27:26.248956', '2-91')
('15:27:26.280215', '2-92')
('15:27:26.304774', '2-93')
('15:27:26.325203', '2-94')
('15:27:26.344806', '2-95')
('15:27:26.370057', '2-96')
('15:27:26.385674', '2-97')
('15:27:26.401310', '2-98')
('15:27:26.432282', '2-99')
('15:27:26.510609', '2-100')
('15:27:26.541798', '2-101')
('15:27:26.698103', '2-102')
('15:27:26.775932', '2-103')
('15:27:26.854309', '2-104')
('15:27:26.869938', '2-105')
('15:27:26.901180', '2-106')
('15:27:26.916709', '2-107')
('15:27:26.932423', '2-108')
('15:27:26.963664', '2-109')
('15:27:26.979306', '2-110')
('15:27:26.994896', '2-111')
('15:27:27.025875', '2-112')
('15:27:27.119604', '2-113')
('15:27:27.135503', '2-114')
('15:27:27.151125', '2-115')
('15:27:27.182382', '2-116')
('15:27:27.197980', '2-117')
('15:27:27.229249', '2-118')
('15:27:27.244843', '2-119')
('15:27:27.260439', '2-120')
('15:27:27.291722', '2-121')
('15:27:27.307354', '2-122')
('15:27:27.322961', '2-123')
('15:27:27.400857', '2-124')
('15:27:27.432328', '2-125')
('15:27:27.447843', '2-126')
('15:27:27.463553', '2-127')
('15:27:27.494774', '2-128')
('15:27:27.510162', '2-129')
('15:27:27.525783', '2-130')
('15:27:27.557026', '2-131')
('15:27:27.572647', '2-132')
('15:27:27.588269', '2-133')
('15:27:27.619636', '2-134')
('15:27:27.635258', '2-135')
('15:27:27.729109', '2-136')
('15:27:27.744730', '2-137')
('15:27:27.760320', '2-138')
('15:27:27.791603', '2-139')
('15:27:27.807225', '2-140')
('15:27:27.963432', '2-141')
('15:27:27.979066', '2-142')
('15:27:28.010048', '2-143')
('15:27:28.025670', '2-144')
('15:27:28.041270', '2-145')
('15:27:28.072785', '2-146')
('15:27:28.088365', '2-147')
('15:27:28.104038', '2-148')
('15:27:28.119650', '2-149')
('15:27:28.150903', '2-150')
('15:27:28.166535', '2-151')
('15:27:28.182032', '2-152')
('15:27:28.213398', '2-153')
('15:27:28.229008', '2-154')
('15:27:28.259970', '2-155')
('15:27:28.400564', '2-156')
('15:27:28.432100', '2-157')
('15:27:28.447704', '2-158')
('15:27:28.463273', '2-159')
('15:27:28.494567', '2-160')
('15:27:28.510145', '2-161')
('15:27:28.603921', '2-162')
('15:27:28.619499', '2-163')
('15:27:28.650786', '2-164')
('15:27:28.666408', '2-165')
('15:27:28.686937', '2-166')
('15:27:28.702838', '2-167')
('15:27:28.734072', '2-168')
('15:27:28.749423', '2-169')
('15:27:28.765337', '2-170')
('15:27:28.796579', '2-171')
('15:27:28.812206', '2-172')
('15:27:28.827793', '2-173')
('15:27:28.858820', '2-174')
('15:27:28.874663', '2-175')
('15:27:28.890314', '2-176')
('15:27:28.921558', '2-177')
('15:27:28.937177', '2-178')
('15:27:28.968360', '2-179')
('15:27:28.984014', '2-180')
('15:27:29.014988', '2-181')
('15:27:29.030879', '2-182')
('15:27:29.046530', '2-183')
('15:27:29.062048', '2-184')
('15:27:29.093336', '2-185')
('15:27:29.108717', '2-186')
('15:27:29.202722', '2-187')
('15:27:29.218350', '2-188')
('15:27:29.249606', '2-189')
('15:27:29.265228', '2-190')
('15:27:29.296174', '2-191')
('15:27:29.312075', '2-192')
('15:27:29.327683', '2-193')
('15:27:29.358660', '2-194')
('15:27:29.374579', '2-195')
('15:27:29.468307', '2-196')
('15:27:29.483909', '2-197')
('15:27:29.515170', '2-198')
('15:27:29.530778', '2-199')
('15:27:29.546122', '2-200')
('15:27:29.577634', '2-201')
('15:27:29.593215', '2-202')
('15:27:29.608603', '2-203')
('15:27:29.640141', '2-204')
('15:27:29.655655', '2-205')
('15:27:29.671366', '2-206')
('15:27:29.702570', '2-207')
('15:27:29.718222', '2-208')
('15:27:29.733852', '2-209')
('15:27:29.764894', '2-210')
('15:27:29.780721', '2-211')
('15:27:29.796330', '2-212')
('15:27:29.827577', '2-213')
('15:27:29.843134', '2-214')
('15:27:29.858584', '2-215')
('15:27:29.890065', '2-216')
('15:27:29.905692', '2-217')
('15:27:29.921328', '2-218')
('15:27:29.952571', '2-219')
('15:27:29.968050', '2-220')
('15:27:30.061900', '2-221')
('15:27:30.077268', '2-222')
('15:27:30.108489', '2-223')
('15:27:30.124406', '2-224')
('15:27:30.155353', '2-225')
('15:27:30.171274', '2-226')
('15:27:30.186857', '2-227')
('15:27:30.218123', '2-228')
('15:27:30.233734', '2-229')
('15:27:30.249378', '2-230')
('15:27:30.343028', '2-231')
('15:27:30.358453', '2-232')
('15:27:30.389729', '2-233')
('15:27:30.405296', '2-234')
('15:27:30.492360', '2-235')
('15:27:30.523723', '2-236')
('15:27:30.539067', '2-237')
('15:27:30.554969', '2-238')
('15:27:30.576825', '2-239')
('15:27:30.739857', '2-240')
('15:27:30.755496', '2-241')
('15:27:30.777295', '2-242')
('15:27:30.793155', '2-243')
('15:27:30.824463', '2-244')
('15:27:30.893218', '2-245')
('15:27:30.924727', '2-246')
('15:27:30.940374', '2-247')
('15:27:30.955983', '2-248')
('15:27:30.977758', '2-249')
('15:27:30.993645', '2-250')
('15:27:31.024878', '2-251')
('15:27:31.040541', '2-252')
('15:27:31.071675', '2-253')
('15:27:31.077932', '2-254')
('15:27:31.109393', '2-255')
('15:27:31.124915', '2-256')
('15:27:31.156043', '2-257')
('15:27:31.171941', '2-258')
('15:27:31.194053', '2-259')
('15:27:31.209638', '2-260')
('15:27:31.225033', '2-261')
('15:27:31.256568', '2-262')
('15:27:31.278454', '2-263')
('15:27:31.372482', '2-264')
('15:27:31.394546', '2-265')
('15:27:31.410134', '2-266')
('15:27:31.425687', '2-267')
('15:27:31.457024', '2-268')
('15:27:31.478873', '2-269')
('15:27:31.494773', '2-270')
('15:27:31.641581', '2-271')
('15:27:31.657499', '2-272')
('15:27:31.679400', '2-273')
('15:27:31.695306', '2-274')
('15:27:31.726515', '2-275')
('15:27:31.741895', '2-276')
('15:27:31.757781', '2-277')
('15:27:31.779695', '2-278')
('15:27:31.811222', '2-279')
('15:27:31.826757', '2-280')
('15:27:31.842396', '2-281')
('15:27:31.873704', '2-282')
('15:27:31.895811', '2-283')
('15:27:31.911433', '2-284')
('15:27:31.926949', '2-285')
('15:27:31.958122', '2-286')
('15:27:31.980149', '2-287')
('15:27:32.058260', '2-288')
('15:27:32.080423', '2-289')
('15:27:32.096342', '2-290')
('15:27:32.127297', '2-291')
('15:27:32.143002', '2-292')
('15:27:32.158533', '2-293')
('15:27:32.180716', '2-294')
('15:27:32.211962', '2-295')
('15:27:32.227858', '2-296')
('15:27:32.312541', '2-297')
('15:27:32.343733', '2-298')
('15:27:32.359320', '2-299')
('15:27:32.381256', '2-300')
('15:27:32.397177', '2-301')
('15:27:32.428128', '2-302')
('15:27:32.444012', '2-303')
('15:27:32.474996', '2-304')
('15:27:32.497410', '2-305')
('15:27:32.513030', '2-306')
('15:27:32.528934', '2-307')
('15:27:32.544274', '2-308')
('15:27:32.575710', '2-309')
('15:27:32.597861', '2-310')
('15:27:32.613437', '2-311')
('15:27:32.629109', '2-312')
('15:27:32.660337', '2-313')
('15:27:32.682195', '2-314')
('15:27:32.698013', '2-315')
('15:27:32.713728', '2-316')
('15:27:32.744962', '2-317')
('15:27:32.760306', '2-318')
('15:27:32.782450', '2-319')
('15:27:32.798367', '2-320')
('15:27:32.829614', '2-321')
('15:27:32.914201', '2-322')
('15:27:32.998840', '2-323')
('15:27:33.030026', '2-324')
('15:27:33.045718', '2-325')
('15:27:33.061341', '2-326')
('15:27:33.083167', '2-327')
('15:27:33.114697', '2-328')
('15:27:33.130305', '2-329')
('15:27:33.145857', '2-330')
('15:27:33.177176', '2-331')
('15:27:33.199090', '2-332')
('15:27:33.214429', '2-333')
('15:27:33.299362', '2-334')
('15:27:33.314986', '2-335')
('15:27:33.415292', '2-336')
('15:27:33.430839', '2-337')
('15:27:33.515604', '2-338')
('15:27:33.600113', '2-339')
('15:27:33.631412', '2-340')
('15:27:33.647036', '2-341')
('15:27:33.662659', '2-342')
('15:27:33.747052', '2-343')
('15:27:33.778312', '2-344')
('15:27:33.800527', '2-345')
('15:27:33.884869', '2-346')
('15:27:33.900776', '2-347')
('15:27:33.932003', '2-348')
('15:27:33.947651', '2-349')
('15:27:33.978877', '2-350')
('15:27:34.063283', '2-351')
('15:27:34.085041', '2-352')
('15:27:34.116580', '2-353')
('15:27:34.132201', '2-354')
('15:27:34.147810', '2-355')
('15:27:34.179051', '2-356')
('15:27:34.200960', '2-357')
('15:27:34.216598', '2-358')
('15:27:34.301291', '2-359')
('15:27:34.316903', '2-360')
('15:27:34.347871', '2-361')
('15:27:34.363763', '2-362')
('15:27:34.385675', '2-363')
('15:27:34.401594', '2-364')
('15:27:34.417213', '2-365')
('15:27:34.448456', '2-366')
('15:27:34.464066', '2-367')
('15:27:34.617711', '2-368')
('15:27:34.633086', '2-369')
('15:27:34.664574', '2-370')
('15:27:34.686479', '2-371')
('15:27:34.764848', '2-372')
('15:27:34.849417', '2-373')
('15:27:34.864939', '2-374')
('15:27:34.886907', '2-375')
('15:27:34.902811', '2-376')
('15:27:34.934052', '2-377')
('15:27:34.949417', '2-378')
('15:27:34.965289', '2-379')
('15:27:34.987121', '2-380')
('15:27:35.018660', '2-381')
('15:27:35.104619', '2-382')
('15:27:35.114139', '2-383')
('15:27:35.130028', '2-384')
('15:27:35.161298', '2-385')
('15:27:35.187394', '2-386')
('15:27:35.203311', '2-387')
('15:27:35.218918', '2-388')
('15:27:35.319172', '2-389')
('15:27:35.334786', '2-390')
('15:27:35.350361', '2-391')
('15:27:35.387935', '2-392')
('15:27:35.403838', '2-393')
('15:27:35.419477', '2-394')
('15:27:35.519778', '2-395')
('15:27:35.535391', '2-396')
('15:27:35.550934', '2-397')
('15:27:35.582278', '2-398')
('15:27:35.604199', '2-399')
('15:27:35.619828', '2-400')
('15:27:35.635170', '2-401')
('15:27:35.666684', '2-402')
('15:27:35.688632', '2-403')
('15:27:35.704549', '2-404')
('15:27:35.720076', '2-405')
('15:27:35.751398', '2-406')
('15:27:35.767019', '2-407')
('15:27:35.789060', '2-408')
('15:27:35.804971', '2-409')
('15:27:35.889350', '2-410')
('15:27:35.920873', '2-411')
('15:27:35.936510', '2-412')
('15:27:35.967727', '2-413')
('15:27:35.989366', '2-414')
('15:27:36.005273', '2-415')
('15:27:36.020894', '2-416')
('15:27:36.052141', '2-417')
('15:27:36.067745', '2-418')
('15:27:36.089676', '2-419')
('15:27:36.105592', '2-420')
('15:27:36.189919', '2-421')
('15:27:36.205816', '2-422')
('15:27:36.237066', '2-423')
('15:27:36.252684', '2-424')
('15:27:36.268061', '2-425')
('15:27:36.290204', '2-426')
('15:27:36.321729', '2-427')
('15:27:36.337343', '2-428')
('15:27:36.352973', '2-429')
('15:27:36.569117', '2-430')
('15:27:36.590960', '2-431')
('15:27:36.606854', '2-432')
('15:27:36.622498', '2-433')
('15:27:36.653733', '2-434')
('15:27:36.669071', '2-435')
('15:27:36.753744', '2-436')
('15:27:36.784915', '2-437')
('15:27:36.806828', '2-438')
('15:27:36.822464', '2-439')
('15:27:36.853689', '2-440')
('15:27:36.869306', '2-441')
('15:27:36.890942', '2-442')
('15:27:36.906835', '2-443')
('15:27:36.938094', '2-444')
('15:27:36.953431', '2-445')
('15:27:36.969349', '2-446')
('15:27:36.990821', '2-447')
('15:27:37.022342', '2-448')
('15:27:37.037970', '2-449')
('15:27:37.053604', '2-450')
('15:27:37.084553', '2-451')
('15:27:37.091057', '2-452')
('15:27:37.122598', '2-453')
('15:27:37.206977', '2-454')
('15:27:37.237965', '2-455')
('15:27:37.253844', '2-456')
('15:27:37.269480', '2-457')
('15:27:37.291011', '2-458')
('15:27:37.391034', '2-459')
('15:27:37.406935', '2-460')
('15:27:37.422559', '2-461')
('15:27:37.453523', '2-462')
('15:27:37.469149', '2-463')
('15:27:37.491050', '2-464')
('15:27:37.506956', '2-465')
('15:27:37.537917', '2-466')
('15:27:37.553538', '2-467')
('15:27:37.569160', '2-468')
('15:27:37.791770', '2-469')
