('10:48:55.774733', '1-0')
('10:48:55.796047', '1-1')
('10:48:55.818118', '1-2')
('10:48:56.144140', '1-3')
('10:48:56.227131', '1-4')
('10:48:56.374201', '1-5')
('10:48:56.396147', '1-6')
('10:48:56.418085', '1-7')
('10:48:56.500119', '1-8')
('10:48:56.645138', '1-9')
('10:48:56.666089', '1-10')
('10:48:56.875181', '1-11')
('10:48:56.963080', '1-12')
('10:48:57.046268', '1-13')
('10:48:57.129142', '1-14')
('10:48:57.395121', '1-15')
('10:48:57.661123', '1-16')
('10:48:57.988120', '1-17')
('10:48:58.010059', '1-18')
('10:48:58.093086', '1-19')
('10:48:58.180161', '1-20')
('10:48:58.446164', '1-21')
('10:48:58.777243', '1-22')
('10:48:58.982101', '1-23')
('10:48:59.004074', '1-24')
('10:48:59.151176', '1-25')
('10:48:59.295110', '1-26')
('10:48:59.439121', '1-27')
('10:48:59.460072', '1-28')
('10:48:59.481104', '1-29')
('10:48:59.631100', '1-30')
('10:48:59.772087', '1-31')
('10:48:59.975125', '1-32')
('10:49:00.117111', '1-33')
('10:49:00.326302', '1-34')
('10:49:00.409120', '1-35')
('10:49:00.554092', '1-36')
('10:49:00.702094', '1-37')
('10:49:01.100126', '1-38')
('10:49:01.244091', '1-39')
('10:49:01.335166', '1-40')
('10:49:01.483225', '1-41')
('10:49:01.574131', '1-42')
('10:49:01.840117', '1-43')
('10:49:01.923078', '1-44')
('10:49:01.944085', '1-45')
('10:49:01.965044', '1-46')
('10:49:02.109094', '1-47')
('10:49:02.196172', '1-48')
('10:49:02.527155', '1-49')
('10:49:02.672078', '1-50')
('10:49:02.881157', '1-51')
('10:49:03.149048', '1-52')
('10:49:03.232026', '1-53')
('10:49:03.372084', '1-54')
('10:49:03.577113', '1-55')
('10:49:03.599075', '1-56')
('10:49:03.743079', '1-57')
('10:49:03.765068', '1-58')
('10:49:03.974039', '1-59')
('10:49:03.996063', '1-60')
('10:49:04.273045', '1-61')
('10:49:04.293280', '1-62')
('10:49:04.559171', '1-63')
('10:49:04.582076', '1-64')
('10:49:05.031075', '1-65')
('10:49:05.053071', '1-66')
('10:49:05.075011', '1-67')
('10:49:05.158085', '1-68')
('10:49:05.179067', '1-69')
('10:49:05.567031', '1-70')
('10:49:05.589026', '1-71')
('10:49:05.676134', '1-72')
('10:49:05.820110', '1-73')
('10:49:06.025154', '1-74')
('10:49:06.047060', '1-75')
('10:49:06.069105', '1-76')
('10:49:06.213069', '1-77')
('10:49:06.361100', '1-78')
('10:49:06.451986', '1-79')
('10:49:06.474034', '1-80')
('10:49:06.496138', '1-81')
('10:49:06.518183', '1-82')
('10:49:06.601056', '1-83')
('10:49:06.810092', '1-84')
('10:49:06.897116', '1-85')
('10:49:07.110076', '1-86')
('10:49:07.258219', '1-87')
('10:49:07.280038', '1-88')
('10:49:07.302033', '1-89')
('10:49:07.324076', '1-90')
('10:49:07.345043', '1-91')
('10:49:07.367032', '1-92')
('10:49:07.388014', '1-93')
('10:49:07.721989', '1-94')
('10:49:07.744040', '1-95')
('10:49:07.766035', '1-96')
('10:49:07.787995', '1-97')
('10:49:07.810075', '1-98')
('10:49:07.900989', '1-99')
('10:49:07.994059', '1-100')
('10:49:08.015997', '1-101')
('10:49:08.108019', '1-102')
('10:49:08.191041', '1-103')
('10:49:08.213040', '1-104')
('10:49:08.296068', '1-105')
('10:49:08.684045', '1-106')
('10:49:08.836027', '1-107')
('10:49:08.924059', '1-108')
('10:49:09.071988', '1-109')
('10:49:09.215034', '1-110')
('10:49:09.297053', '1-111')
('10:49:09.506073', '1-112')
('10:49:09.657982', '1-113')
('10:49:09.802051', '1-114')
('10:49:09.824091', '1-115')
('10:49:09.846152', '1-116')
('10:49:09.929045', '1-117')
('10:49:09.951033', '1-118')
('10:49:09.973169', '1-119')
('10:49:10.054041', '1-120')
('10:49:10.076015', '1-121')
('10:49:10.166967', '1-122')
('10:49:10.190057', '1-123')
('10:49:10.277101', '1-124')
('10:49:10.360036', '1-125')
('10:49:10.504993', '1-126')
('10:49:10.649027', '1-127')
('10:49:10.800074', '1-128')
('10:49:10.883027', '1-129')
('10:49:10.970090', '1-130')
('10:49:10.992265', '1-131')
('10:49:11.014029', '1-132')
('10:49:11.162065', '1-133')
('10:49:11.245030', '1-134')
('10:49:11.267136', '1-135')
('10:49:11.594028', '1-136')
('10:49:11.612037', '1-137')
('10:49:11.695030', '1-138')
('10:49:11.717007', '1-139')
('10:49:11.738986', '1-140')
('10:49:11.761072', '1-141')
('10:49:11.844035', '1-142')
('10:49:11.926990', '1-143')
('10:49:11.949036', '1-144')
('10:49:12.460021', '1-145')
('10:49:12.482002', '1-146')
('10:49:12.630057', '1-147')
('10:49:12.717080', '1-148')
('10:49:12.739078', '1-149')
('10:49:12.948072', '1-150')
('10:49:13.336020', '1-151')
('10:49:13.480018', '1-152')
('10:49:13.750045', '1-153')
('10:49:14.013020', '1-154')
('10:49:14.035018', '1-155')
('10:49:14.056972', '1-156')
('10:49:14.078960', '1-157')
('10:49:14.101153', '1-158')
('10:49:14.184012', '1-159')
('10:49:14.328026', '1-160')
('10:49:14.349994', '1-161')
('10:49:14.437064', '1-162')
('10:49:14.524091', '1-163')
('10:49:14.546015', '1-164')
('10:49:14.568012', '1-165')
('10:49:14.590043', '1-166')
('10:49:14.612034', '1-167')
('10:49:14.634153', '1-168')
('10:49:14.717006', '1-169')
('10:49:14.738972', '1-170')
('10:49:14.944010', '1-171')
('10:49:14.966008', '1-172')
('10:49:14.987929', '1-173')
('10:49:15.009984', '1-174')
('10:49:15.158040', '1-175')
('10:49:15.241007', '1-176')
('10:49:15.262990', '1-177')
('10:49:15.286003', '1-178')
('10:49:15.677052', '1-179')
('10:49:15.943005', '1-180')
('10:49:15.964980', '1-181')
('10:49:15.987086', '1-182')
('10:49:16.138043', '1-183')
('10:49:16.348066', '1-184')
('10:49:16.432072', '1-185')
('10:49:16.453955', '1-186')
('10:49:16.537239', '1-187')
('10:49:16.558228', '1-188')
('10:49:16.579971', '1-189')
('10:49:16.604992', '1-190')
('10:49:16.626962', '1-191')
('10:49:16.775034', '1-192')
('10:49:16.920001', '1-193')
('10:49:16.941957', '1-194')
('10:49:17.090066', '1-195')
('10:49:17.111987', '1-196')
('10:49:17.133937', '1-197')
('10:49:17.216982', '1-198')
('10:49:17.299981', '1-199')
('10:49:17.502952', '1-200')
('10:49:17.586975', '1-201')
('10:49:17.730988', '1-202')
('10:49:17.812975', '1-203')
('10:49:17.900044', '1-204')
('10:49:18.044001', '1-205')
('10:49:18.317921', '1-206')
('10:49:18.338991', '1-207')
('10:49:18.361038', '1-208')
('10:49:18.573026', '1-209')
('10:49:18.725119', '1-210')
('10:49:18.930040', '1-211')
('10:49:18.951965', '1-212')
('10:49:19.282925', '1-213')
('10:49:19.548962', '1-214')
('10:49:19.570930', '1-215')
('10:49:19.592948', '1-216')
('10:49:19.613970', '1-217')
('10:49:19.818962', '1-218')
('10:49:19.841054', '1-219')
('10:49:19.928042', '1-220')
('10:49:20.254978', '1-221')
('10:49:20.276932', '1-222')
('10:49:20.298968', '1-223')
('10:49:20.508040', '1-224')
('10:49:20.529919', '1-225')
('10:49:20.552003', '1-226')
('10:49:20.573935', '1-227')
('10:49:20.595960', '1-228')
('10:49:20.616107', '1-229')
('10:49:20.762973', '1-230')
('10:49:20.784947', '1-231')
('10:49:20.868108', '1-232')
('10:49:20.889929', '1-233')
('10:49:20.911995', '1-234')
('10:49:21.303981', '1-235')
('10:49:21.325977', '1-236')
('10:49:21.409942', '1-237')
('10:49:21.431975', '1-238')
('10:49:21.514923', '1-239')
('10:49:21.536917', '1-240')
('10:49:21.558946', '1-241')
('10:49:21.580909', '1-242')
('10:49:21.602930', '1-243')
('10:49:21.750997', '1-244')
('10:49:21.773049', '1-245')
('10:49:21.917935', '1-246')
('10:49:21.939936', '1-247')
('10:49:21.961911', '1-248')
('10:49:21.983988', '1-249')
('10:49:22.005919', '1-250')
('10:49:22.515979', '1-251')
('10:49:22.535958', '1-252')
('10:49:22.625060', '1-253')
('10:49:22.703980', '1-254')
('10:49:22.848109', '1-255')
('10:49:22.999921', '1-256')
('10:49:23.020907', '1-257')
('10:49:23.043048', '1-258')
('10:49:23.308012', '1-259')
('10:49:23.329970', '1-260')
('10:49:23.473992', '1-261')
('10:49:23.496058', '1-262')
('10:49:23.578948', '1-263')
('10:49:23.668864', '1-264')
('10:49:23.756023', '1-265')
('10:49:24.570951', '1-266')
('10:49:25.140973', '1-267')
('10:49:25.223931', '1-268')
('10:49:25.245957', '1-269')
('10:49:25.268140', '1-270')
('10:49:25.473036', '1-271')
('10:49:25.494938', '1-272')
('10:49:25.581996', '1-273')
('10:49:25.603896', '1-274')
('10:49:25.751946', '1-275')
('10:49:25.839226', '1-276')
('10:49:25.859911', '1-277')
('10:49:26.008972', '1-278')
('10:49:26.030917', '1-279')
('10:49:26.235933', '1-280')
('10:49:26.257887', '1-281')
('10:49:26.344950', '1-282')
('10:49:26.549980', '1-283')
('10:49:26.694889', '1-284')
('10:49:27.090866', '1-285')
('10:49:27.367974', '1-286')
('10:49:27.389932', '1-287')
('10:49:27.412062', '1-288')
('10:49:27.498980', '1-289')
('10:49:27.703985', '1-290')
('10:49:27.980846', '1-291')
('10:49:28.002886', '1-292')
('10:49:28.024904', '1-293')
('10:49:28.290978', '1-294')
('10:49:28.312927', '1-295')
('10:49:28.521867', '1-296')
('10:49:28.604925', '1-297')
('10:49:28.688036', '1-298')
('10:49:28.709873', '1-299')
('10:49:28.863897', '1-300')
('10:49:28.883870', '1-301')
('10:49:29.152985', '1-302')
('10:49:29.235911', '1-303')
('10:49:29.318866', '1-304')
('10:49:29.340849', '1-305')
('10:49:29.425044', '1-306')
('10:49:29.446838', '1-307')
('10:49:29.464862', '1-308')
('10:49:29.485862', '1-309')
('10:49:29.694913', '1-310')
('10:49:29.716870', '1-311')
('10:49:29.738866', '1-312')
('10:49:29.760913', '1-313')
('10:49:29.782881', '1-314')
('10:49:29.865910', '1-315')
('10:49:29.887870', '1-316')
('10:49:30.031912', '1-317')
('10:49:30.114882', '1-318')
('10:49:30.319959', '1-319')
('10:49:30.402864', '1-320')
('10:49:30.424855', '1-321')
('10:49:30.446898', '1-322')
('10:49:30.468850', '1-323')
('10:49:30.490883', '1-324')
('10:49:30.573962', '1-325')
('10:49:31.026000', '1-326')
('10:49:31.231861', '1-327')
('10:49:31.312889', '1-328')
('10:49:31.334859', '1-329')
('10:49:31.487029', '1-330')
('10:49:31.691897', '1-331')
('10:49:31.896837', '1-332')
('10:49:32.648891', '1-333')
('10:49:32.670848', '1-334')
('10:49:32.814875', '1-335')
('10:49:32.836861', '1-336')
('10:49:32.858870', '1-337')
('10:49:32.941875', '1-338')
('10:49:33.207899', '1-339')
('10:49:33.230000', '1-340')
('10:49:33.374853', '1-341')
('10:49:33.457844', '1-342')
('10:49:33.479851', '1-343')
('10:49:33.630937', '1-344')
('10:49:33.713881', '1-345')
('10:49:33.735991', '1-346')
('10:49:33.818820', '1-347')
('10:49:33.840866', '1-348')
('10:49:33.863036', '1-349')
('10:49:33.945897', '1-350')
('10:49:34.089910', '1-351')
('10:49:34.478881', '1-352')
('10:49:34.501874', '1-353')
('10:49:34.646951', '1-354')
('10:49:34.668818', '1-355')
('10:49:34.811881', '1-356')
('10:49:34.833834', '1-357')
('10:49:34.916848', '1-358')
('10:49:34.999860', '1-359')
('10:49:35.020824', '1-360')
('10:49:35.103869', '1-361')
('10:49:35.247880', '1-362')
('10:49:35.330827', '1-363')
('10:49:35.475037', '1-364')
('10:49:35.496856', '1-365')
('10:49:35.770789', '1-366')
('10:49:35.792820', '1-367')
('10:49:35.874864', '1-368')
('10:49:35.896786', '1-369')
('10:49:36.048818', '1-370')
('10:49:36.070819', '1-371')
('10:49:36.275990', '1-372')
('10:49:36.357978', '1-373')
('10:49:36.379848', '1-374')
('10:49:36.466898', '1-375')
('10:49:37.037836', '1-376')
('10:49:37.059811', '1-377')
('10:49:37.083858', '1-378')
('10:49:37.105816', '1-379')
('10:49:37.126932', '1-380')
('10:49:37.147119', '1-381')
('10:49:37.168033', '1-382')
('10:49:37.615867', '1-383')
('10:49:37.759861', '1-384')
('10:49:37.965857', '1-385')
('10:49:38.293843', '1-386')
('10:49:38.315831', '1-387')
('10:49:38.338035', '1-388')
('10:49:38.425142', '1-389')
('10:49:38.446841', '1-390')
('10:49:38.716874', '1-391')
('10:49:38.738804', '1-392')
('10:49:38.760876', '1-393')
('10:49:38.843796', '1-394')
('10:49:38.865859', '1-395')
('10:49:38.948837', '1-396')
('10:49:39.214905', '1-397')
('10:49:39.301879', '1-398')
('10:49:39.323833', '1-399')
('10:49:39.407833', '1-400')
('10:49:39.429929', '1-401')
('10:49:39.447795', '1-402')
('10:49:39.594976', '1-403')
('10:49:39.617850', '1-404')
('10:49:39.639855', '1-405')
('10:49:39.661857', '1-406')
('10:49:39.683988', '1-407')
('10:49:39.766805', '1-408')
('10:49:39.788830', '1-409')
