('16:03:11.176102', b'f\x06~\x1e\x00\x18\x86f~\xf8\x9e\x00\x00\x18\x00\x18x\x00\x98\xe0\x18\x1e\x00\x18\x18\x18~\x18\x18x\x98\x98\xe6\x98\x1e\xe6\x80\x98\x80\xe6\x80\x98\x80\x18\xe6\xf8\x06~\x98\x18\x18f\x00\x18\x86\x00f\x98~f\x06\x86\x98\xe6\x98\xf8\x98\xfef\x98f`\x1ef\x06\x06f\x86\x86\xe0\x86\x18\xe6\x9e\xfe\x9e`\x86~\x00\x18f\x98x\x00\x18\x86\x1eff\x18\xe6f`\x06\xe6\x98\x06f\xfef`\xe0\x98\x06\xe6\x98\x06\x98\xfef\x80\xe6\x98\xfe\x98`f\x98\x98\x1e\x98\x80\x1e\xe6\x9e\xf8\x9exf\x9e~\xe6\xf8f\x9e\x00\x86~\x00\x18\x18\x86\x00\x98\x98\x06f\x18\xe6f\x00f~\x00\x18fxff\x80\x98\x80\x1e\x06\x9e\x9e\x9e\xfefx\x18\x86~\x98\x18\x18\x06\x18\x18\x86\x06\xe6fx\x18\x86~\x98\x18\x18\x06\x18\x18\x86`\xe6fx\x18\x86~\x98\x18\x18\x06\x18\x18\x86\x1e\xe6\xf8\x06\x98fx\x18\x86~\x98\x18\x18\x06\x18\x18\x86\x80\x9e`\xe6fx\x18\x86~\x98\x18\x18\x06\x18\x18\x86~\x06\xe6fx\x18\x86~\x98\x18\x18\x06\x18\x98\x1e\x98\x80\xe6\x9e\xfe\x9e`fx\x98\x18`\x86\x98\xfe\x98\xe0\x86\x00\x98\xe0\x06\x9e\xfe\x9e\x1e\xe6\xe6\x00\x18x\x86\x9ex\x86~\x06\x98\x1e\x98\x80\xe0\x9e\xfe\x9e\x06\x06x\x98\x18\x18\xe6xx\x86xx\x06\x18\x98\xe0\x18\x18\x86\xe0\x9ef\x86\x9e\x98\x18\x1e\xe6\x80\x98\x80\xe0\x9e\xfe\x9e\x06\x06x\x98\x18\x18\xe6xx\x86xx\x06\x18\x98\xe0\x98\xe0\x06\x86\xe0\x9ef\x86\x9e\x98\x98\xe0\x98\xe0\x18\x18\x98\x1e\x98\x80\xe0\x9e\xfe\x9e\x06\x06x\x98\x18\x18\x06\x1e\x00\x18\x98\x1e\x80\x18\x18\x18\x18\x86\xe0\x9ef\x86\x9e\x98\x98\xf8\x18x\x1e\x18x\xe6\x80\x98\x80\xe0\x9e\xfe\x9e\x06\x06x\x98\x18\x18\x06\x1e\x00\x18\x18\x18\x18\x1e\x00\x18\x18\x86\xe0\x9ef\x86\x9e\x98\x18\x1e`\x18\x18\x98\x1e\x98\x80f\x86\x9e`\x86\xf8f\x00\x18\x18\x06\x1e\x00\x18\x18\x18\x18\x1e\x06\x06\x98\x1e\x98\x80Connecting to WiFi..\r\n', '')
('16:03:12.066522', b'.........................................................................................192.168.4.6\r\n', '')
('16:03:12.066522', b'>\r\n', 'sent:1-16:03:12.066522*')
('16:03:12.207384', b'>\r\n', 'sent:1-16:03:12.066522*')
('16:03:12.285456', b'>\r\n', 'sent:1-16:03:12.207384*')
('16:03:12.316459', b'>\r\n', 'sent:1-16:03:12.285456*')
('16:03:12.394576', b'>\r\n', 'sent:1-16:03:12.316459*')
('16:03:12.472927', b'>\r\n', 'sent:1-16:03:12.394576*')
('16:03:12.722859', b'>\r\n', 'sent:1-16:03:12.472927*')
('16:03:12.894704', b'>\r\n', 'sent:1-16:03:12.722859*')
('16:03:12.910322', b'>\r\n', 'sent:1-16:03:12.894704*')
('16:03:12.941290', b'>\r\n', 'sent:1-16:03:12.910322*')
('16:03:12.957188', b'>\r\n', 'sent:1-16:03:12.941290*')
('16:03:12.972828', b'>\r\n', 'sent:1-16:03:12.957188*')
('16:03:13.003808', b'>\r\n', 'sent:1-16:03:12.972828*')
('16:03:13.082153', b'>\r\n', 'sent:1-16:03:13.003808*')
('16:03:13.207130', b'>\r\n', 'sent:1-16:03:13.082153*')
('16:03:13.222751', b'>\r\n', 'sent:1-16:03:13.207130*')
('16:03:13.238373', b'>\r\n', 'sent:1-16:03:13.222751*')
('16:03:13.316202', b'>\r\n', 'sent:1-16:03:13.238373*')
('16:03:13.519403', b'>\r\n', 'sent:1-16:03:13.316202*')
('16:03:13.550544', b'>\r\n', 'sent:1-16:03:13.519403*')
('16:03:13.566144', b'>\r\n', 'sent:1-16:03:13.550544*')
('16:03:13.644250', b'>\r\n', 'sent:1-16:03:13.566144*')
('16:03:13.769255', b'D2-16:03:13.706735************\r\n', '')
('16:03:13.784844', b'D2-16:03:13.691142************\r\n', '')
('16:03:13.784844', b'D2-16:03:13.659871************\r\n', '')
('16:03:13.831742', b'>\r\n', 'sent:1-16:03:13.784844*')
('16:03:13.910094', b'D2-16:03:13.816085************\r\n', '')
('16:03:13.910094', b'D2-16:03:13.847605************\r\n', '')
('16:03:13.925435', b'>\r\n', 'sent:1-16:03:13.910094*')
('16:03:13.941350', b'>\r\n', 'sent:1-16:03:13.925435*')
('16:03:13.972321', b'>\r\n', 'sent:1-16:03:13.941350*')
('16:03:13.987943', b'>\r\n', 'sent:1-16:03:13.972321*')
('16:03:14.019191', b'>\r\n', 'sent:1-16:03:13.987943*')
('16:03:14.144429', b'>\r\n', 'sent:1-16:03:14.019191*')
('16:03:14.222263', b'>\r\n', 'sent:1-16:03:14.144429*')
('16:03:14.315993', b'D2-16:03:14.222263************\r\n', '')
('16:03:14.315993', b'D2-16:03:14.238136************\r\n', '')
('16:03:14.378475', b'D2-16:03:14.284963************\r\n', '')
('16:03:14.378475', b'D2-16:03:14.269127************\r\n', '')
