('13:34:05.522519', b'\xff>\r\n', 'sent:2-13:34:05.210209*')
('13:34:05.600627', b'D1-13:34:05.569359************\trssi:-44\r\n', '')
('13:34:05.600627', b'>\r\n', 'sent:2-13:34:05.600627*')
('13:34:05.694520', b'D1-13:34:05.647743************\trssi:-43\r\n', '')
('13:34:05.694520', b'>\r\n', 'sent:2-13:34:05.694520*')
('13:34:05.772491', b'D1-13:34:05.725853************\trssi:-42\r\n', '')
('13:34:05.772491', b'>\r\n', 'sent:2-13:34:05.772491*')
('13:34:05.850824', b'D1-13:34:05.725853************\trssi:-42\r\n', '')
('13:34:05.850824', b'>\r\n', 'sent:2-13:34:05.850824*')
('13:34:05.928932', b'D1-13:34:05.897683************\trssi:-41\r\n', '')
('13:34:05.944304', b'>\r\n', 'sent:2-13:34:05.928932*')
('13:34:06.022438', b'D1-13:34:05.975791************\trssi:-42\r\n', '')
('13:34:06.022438', b'>\r\n', 'sent:2-13:34:06.022438*')
('13:34:06.100768', b'D1-13:34:06.069393************\trssi:-40\r\n', '')
('13:34:06.100768', b'>\r\n', 'sent:2-13:34:06.100768*')
('13:34:06.194480', b'D1-13:34:06.147623************\trssi:-41\r\n', '')
('13:34:06.194480', b'>\r\n', 'sent:2-13:34:06.194480*')
('13:34:06.272399', b'D1-13:34:06.225720************\trssi:-41\r\n', '')
('13:34:06.272399', b'>\r\n', 'sent:2-13:34:06.272399*')
('13:34:06.350708', b'D1-13:34:06.319484************\trssi:-43\r\n', '')
('13:34:06.350708', b'>\r\n', 'sent:2-13:34:06.350708*')
('13:34:06.444451', b'D1-13:34:06.397586************\trssi:-42\r\n', '')
('13:34:06.444451', b'>\r\n', 'sent:2-13:34:06.444451*')
('13:34:06.522365', b'>\r\n', 'sent:2-13:34:06.444451*')
('13:34:06.600654', b'D1-13:34:06.569422************\trssi:-42\r\n', '')
('13:34:06.600654', b'>\r\n', 'sent:2-13:34:06.600654*')
('13:34:06.694398', b'D1-13:34:06.647528************\trssi:-43\r\n', '')
('13:34:06.694398', b'>\r\n', 'sent:2-13:34:06.694398*')
('13:34:06.772323', b'D1-13:34:06.647528************\trssi:-42\r\n', '')
('13:34:06.772323', b'>\r\n', 'sent:2-13:34:06.772323*')
('13:34:06.866230', b'D1-13:34:06.819348************\trssi:-42\r\n', '')
('13:34:06.866230', b'>\r\n', 'sent:2-13:34:06.866230*')
('13:34:06.944336', b'D1-13:34:06.897474************\trssi:-42\r\n', '')
('13:34:06.944336', b'>\r\n', 'sent:2-13:34:06.944336*')
('13:34:07.022286', b'D1-13:34:06.991171************\trssi:-43\r\n', '')
('13:34:07.022286', b'>\r\n', 'sent:2-13:34:07.022286*')
('13:34:07.116173', b'>\r\n', 'sent:2-13:34:07.022286*')
('13:34:07.194265', b'D1-13:34:07.147399************\trssi:-41\r\n', '')
('13:34:07.194265', b'>\r\n', 'sent:2-13:34:07.194265*')
('13:34:07.272212', b'D1-13:34:07.241099************\trssi:-43\r\n', '')
('13:34:07.272212', b'>\r\n', 'sent:2-13:34:07.272212*')
('13:34:07.365821', b'D1-13:34:07.319250************\trssi:-42\r\n', '')
('13:34:07.365821', b'>\r\n', 'sent:2-13:34:07.365821*')
('13:34:07.444222', b'D1-13:34:07.412964************\trssi:-43\r\n', '')
('13:34:07.444222', b'>\r\n', 'sent:2-13:34:07.444222*')
('13:34:07.522176', b'D1-13:34:07.412964************\trssi:-44\r\n', '')
('13:34:07.522176', b'>\r\n', 'sent:2-13:34:07.522176*')
('13:34:07.616048', b'>\r\n', 'sent:2-13:34:07.522176*')
('13:34:07.697459', b'>\r\n', 'sent:2-13:34:07.616048*')
('13:34:07.775535', b'D1-13:34:07.650605************\trssi:-44\r\n', '')
('13:34:07.775535', b'>\r\n', 'sent:2-13:34:07.775535*')
('13:34:07.869044', b'D1-13:34:07.822169************\trssi:-43\r\n', '')
('13:34:07.869044', b'>\r\n', 'sent:2-13:34:07.869044*')
('13:34:07.947396', b'D1-13:34:07.900549************\trssi:-44\r\n', '')
('13:34:07.947396', b'>\r\n', 'sent:2-13:34:07.947396*')
('13:34:08.033453', b'>\r\n', 'sent:2-13:34:07.947396*')
('13:34:08.111561', b'>\r\n', 'sent:2-13:34:08.033453*')
('13:34:08.189579', b'>\r\n', 'sent:2-13:34:08.111561*')
('13:34:08.267758', b'D1-13:34:08.236533************\trssi:-42\r\n', '')
('13:34:08.267758', b'>\r\n', 'sent:2-13:34:08.267758*')
('13:34:08.361503', b'D1-13:34:08.236533************\trssi:-44\r\n', '')
('13:34:08.361503', b'>\r\n', 'sent:2-13:34:08.361503*')
('13:34:08.439498', b'D1-13:34:08.408361************\trssi:-42\r\n', '')
('13:34:08.439498', b'>\r\n', 'sent:2-13:34:08.439498*')
('13:34:08.533070', b'D1-13:34:08.408361************\trssi:-43\r\n', '')
('13:34:08.533070', b'>\r\n', 'sent:2-13:34:08.533070*')
('13:34:08.611430', b'D1-13:34:08.486474************\trssi:-43\r\n', '')
('13:34:08.611430', b'>\r\n', 'sent:2-13:34:08.611430*')
('13:34:08.689443', b'D1-13:34:08.658305************\trssi:-42\r\n', '')
('13:34:08.689443', b'>\r\n', 'sent:2-13:34:08.689443*')
('13:34:08.782986', b'D1-13:34:08.736415************\trssi:-44\r\n', '')
('13:34:08.782986', b'>\r\n', 'sent:2-13:34:08.782986*')
('13:34:08.861388', b'D1-13:34:08.830141************\trssi:-42\r\n', '')
('13:34:08.861388', b'>\r\n', 'sent:2-13:34:08.861388*')
('13:34:08.939382', b'>\r\n', 'sent:2-13:34:08.861388*')
('13:34:09.032931', b'D1-13:34:09.001962************\trssi:-43\r\n', '')
('13:34:09.032931', b'>\r\n', 'sent:2-13:34:09.032931*')
('13:34:09.111312', b'D1-13:34:09.001962************\trssi:-44\r\n', '')
('13:34:09.111312', b'>\r\n', 'sent:2-13:34:09.111312*')
('13:34:09.189344', b'D1-13:34:09.158172************\trssi:-42\r\n', '')
('13:34:09.204946', b'>\r\n', 'sent:2-13:34:09.189344*')
('13:34:09.283153', b'D1-13:34:09.251649************\trssi:-43\r\n', '')
('13:34:09.283153', b'>\r\n', 'sent:2-13:34:09.283153*')
('13:34:09.361271', b'D1-13:34:09.330021************\trssi:-43\r\n', '')
('13:34:09.361271', b'>\r\n', 'sent:2-13:34:09.361271*')
('13:34:09.454774', b'D1-13:34:09.408132************\trssi:-44\r\n', '')
('13:34:09.454774', b'>\r\n', 'sent:2-13:34:09.454774*')
('13:34:09.533095', b'D1-13:34:09.501847************\trssi:-43\r\n', '')
('13:34:09.533095', b'>\r\n', 'sent:2-13:34:09.533095*')
('13:34:09.611147', b'D1-13:34:09.579957************\trssi:-44\r\n', '')
('13:34:09.611147', b'>\r\n', 'sent:2-13:34:09.611147*')
('13:34:09.704928', b'D1-13:34:09.579957************\trssi:-44\r\n', '')
('13:34:09.704928', b'>\r\n', 'sent:2-13:34:09.704928*')
('13:34:09.783037', b'D1-13:34:09.751787************\trssi:-44\r\n', '')
('13:34:09.783037', b'>\r\n', 'sent:2-13:34:09.783037*')
('13:34:09.876767', b'>\r\n', 'sent:2-13:34:09.783037*')
('13:34:09.954871', b'D1-13:34:09.923382************\trssi:-43\r\n', '')
('13:34:09.954871', b'>\r\n', 'sent:2-13:34:09.954871*')
('13:34:10.032959', b'D1-13:34:10.001734************\trssi:-43\r\n', '')
('13:34:10.032959', b'>\r\n', 'sent:2-13:34:10.032959*')
('13:34:10.126684', b'D1-13:34:10.001734************\trssi:-43\r\n', '')
('13:34:10.126684', b'>\r\n', 'sent:2-13:34:10.126684*')
('13:34:10.204819', b'D1-13:34:10.079842************\trssi:-42\r\n', '')
('13:34:10.204819', b'>\r\n', 'sent:2-13:34:10.204819*')
('13:34:10.298558', b'D1-13:34:10.251676************\trssi:-43\r\n', '')
('13:34:10.298558', b'>\r\n', 'sent:2-13:34:10.298558*')
('13:34:10.376643', b'D1-13:34:10.329784************\trssi:-44\r\n', '')
('13:34:10.376643', b'>\r\n', 'sent:2-13:34:10.376643*')
('13:34:10.454745', b'D1-13:34:10.423483************\trssi:-42\r\n', '')
('13:34:10.454745', b'>\r\n', 'sent:2-13:34:10.454745*')
('13:34:10.548499', b'D1-13:34:10.501617************\trssi:-43\r\n', '')
('13:34:10.548499', b'>\r\n', 'sent:2-13:34:10.548499*')
('13:34:10.626604', b'>\r\n', 'sent:2-13:34:10.548499*')
('13:34:10.714939', b'D1-13:34:10.675757************\trssi:-44\r\n', '')
('13:34:10.714939', b'>\r\n', 'sent:2-13:34:10.714939*')
('13:34:10.801719', b'D1-13:34:10.746198************\trssi:-42\r\n', '')
('13:34:10.801719', b'>\r\n', 'sent:2-13:34:10.801719*')
('13:34:10.885615', b'D1-13:34:10.834522************\trssi:-42\r\n', '')
('13:34:10.885615', b'>\r\n', 'sent:2-13:34:10.885615*')
('13:34:10.956324', b'D1-13:34:10.834522************\trssi:-42\r\n', '')
('13:34:10.956324', b'>\r\n', 'sent:2-13:34:10.956324*')
