('15:47:43.521600', b'\x00\x18\x00\x18x\x00\x98\xe0\x18\x1e\x00\x18\x18\x18Connecting to WiFi..\r\n', '')
('15:47:44.435174', b'...........................................................................................192.168.4.4\r\n', '')
('15:47:44.574582', b'>\r\n', 'sent:1-15:47:44.436150*')
('15:47:44.593915', b'>\r\n', 'sent:1-15:47:44.574582*')
('15:47:44.699935', b'>\r\n', 'sent:1-15:47:44.593915*')
('15:47:44.717503', b'>\r\n', 'sent:1-15:47:44.699935*')
('15:47:44.735084', b'>\r\n', 'sent:1-15:47:44.717503*')
('15:47:44.877569', b'D2-15:47:44.719488************\r\n', '')
('15:47:44.879519', b'>\r\n', 'sent:1-15:47:44.877569*')
('15:47:44.898067', b'>\r\n', 'sent:1-15:47:44.879519*')
('15:47:44.915631', b'>\r\n', 'sent:1-15:47:44.898067*')
('15:47:45.019088', b'>\r\n', 'sent:1-15:47:44.915631*')
('15:47:45.037632', b'>\r\n', 'sent:1-15:47:45.019088*')
('15:47:45.055200', b'>\r\n', 'sent:1-15:47:45.037632*')
('15:47:45.197696', b'D2-15:47:45.061055************\r\n', '')
('15:47:45.199649', b'>\r\n', 'sent:1-15:47:45.197696*')
('15:47:45.401682', b'D2-15:47:45.248449************\r\n', '')
('15:47:45.508066', b'>\r\n', 'sent:1-15:47:45.401682*')
('15:47:45.527587', b'>\r\n', 'sent:1-15:47:45.508066*')
('15:47:45.853572', b'>\r\n', 'sent:1-15:47:45.527587*')
('15:47:45.874068', b'>\r\n', 'sent:1-15:47:45.853572*')
('15:47:45.893589', b'>\r\n', 'sent:1-15:47:45.874068*')
('15:47:45.913109', b'>\r\n', 'sent:1-15:47:45.893589*')
('15:47:46.019493', b'>\r\n', 'sent:1-15:47:45.913109*')
('15:47:46.039989', b'>\r\n', 'sent:1-15:47:46.019493*')
('15:47:46.059509', b'>\r\n', 'sent:1-15:47:46.039989*')
('15:47:46.079030', b'>\r\n', 'sent:1-15:47:46.059509*')
('15:47:46.182486', b'>\r\n', 'sent:1-15:47:46.079030*')
('15:47:46.202982', b'>\r\n', 'sent:1-15:47:46.182486*')
('15:47:46.222502', b'>\r\n', 'sent:1-15:47:46.202982*')
('15:47:46.242998', b'>\r\n', 'sent:1-15:47:46.222502*')
('15:47:46.347431', b'>\r\n', 'sent:1-15:47:46.242998*')
('15:47:46.460648', b'>\r\n', 'sent:1-15:47:46.347431*')
('15:47:46.568852', b'>\r\n', 'sent:1-15:47:46.460648*')
('15:47:46.589348', b'>\r\n', 'sent:1-15:47:46.568852*')
('15:47:46.671334', b'D2-15:47:46.625462************\r\n', '')
('15:47:46.675238', b'>\r\n', 'sent:1-15:47:46.671334*')
('15:47:46.694759', b'>\r\n', 'sent:1-15:47:46.675238*')
('15:47:46.715614', b'>\r\n', 'sent:1-15:47:46.694759*')
('15:47:46.735126', b'>\r\n', 'sent:1-15:47:46.715614*')
('15:47:46.818115', b'D2-15:47:46.775170************\r\n', '')
