('15:47:43.725036', b'Connecting to WiFi..\r\n', '')
('15:47:44.597798', b'...........................................................................................192.168.4.8\r\n', '')
('15:47:44.719488', b'>\r\n', 'sent:2-15:47:44.597798*')
('15:47:44.837551', b'>\r\n', 'sent:2-15:47:44.719488*')
('15:47:45.019088', b'D1-15:47:44.898067************\r\n', '')
('15:47:45.041535', b'D1-15:47:44.915631************\r\n', '')
('15:47:45.043489', b'>\r\n', 'sent:2-15:47:45.041535*')
('15:47:45.061055', b'192.168.4.8\r\n', '')
('15:47:45.163537', b'>\r\n', 'sent:2-15:47:45.061055*')
('15:47:45.248449', b'D1-15:47:45.197696************\r\n', '')
('15:47:45.350930', b'>\r\n', 'sent:2-15:47:45.248449*')
('15:47:45.370450', b'>\r\n', 'sent:2-15:47:45.350930*')
('15:47:46.571781', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:46.575712', b'No Wi-Fi connection\r\n', '')
('15:47:46.625462', b'D1-15:47:46.460648************\r\n', '')
('15:47:46.628390', b'>\r\n', 'sent:2-15:47:46.625462*')
('15:47:46.721462', b'D1-15:47:46.671334************\r\n', '')
('15:47:46.726342', b'D1-15:47:46.675238************\r\n', '')
('15:47:46.730246', b'>\r\n', 'sent:2-15:47:46.726342*')
('15:47:46.753669', b'>\r\n', 'sent:2-15:47:46.730246*')
('15:47:46.775170', b'>\r\n', 'sent:2-15:47:46.753669*')
('15:47:46.798566', b'>\r\n', 'sent:2-15:47:46.775170*')
('15:47:46.886406', b'D1-15:47:46.825914************\r\n', '')
('15:47:46.890311', b'D1-15:47:46.822019************\r\n', '')
('15:47:46.893239', b'>\r\n', 'sent:2-15:47:46.890311*')
('15:47:46.919776', b'>\r\n', 'sent:2-15:47:46.893239*')
('15:47:46.944183', b'>\r\n', 'sent:2-15:47:46.919776*')
('15:47:46.969553', b'>\r\n', 'sent:2-15:47:46.944183*')
('15:47:46.993953', b'>\r\n', 'sent:2-15:47:46.969553*')
('15:47:48.131959', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:48.135870', b'No Wi-Fi connection\r\n', '')
('15:47:48.146578', b'>\r\n', 'sent:2-15:47:48.135870*')
('15:47:48.169026', b'>\r\n', 'sent:2-15:47:48.146578*')
('15:47:48.291143', b'>\r\n', 'sent:2-15:47:48.169026*')
('15:47:48.314562', b'>\r\n', 'sent:2-15:47:48.291143*')
('15:47:48.337986', b'>\r\n', 'sent:2-15:47:48.314562*')
('15:47:48.362386', b'>\r\n', 'sent:2-15:47:48.337986*')
('15:47:48.386788', b'>\r\n', 'sent:2-15:47:48.362386*')
('15:47:48.410239', b'>\r\n', 'sent:2-15:47:48.386788*')
('15:47:48.555636', b'>\r\n', 'sent:2-15:47:48.410239*')
('15:47:48.580066', b'>\r\n', 'sent:2-15:47:48.555636*')
('15:47:48.604559', b'>\r\n', 'sent:2-15:47:48.580066*')
('15:47:48.628008', b'>\r\n', 'sent:2-15:47:48.604559*')
('15:47:48.714850', b'D1-15:47:48.637771************\r\n', '')
('15:47:48.719716', b'D1-15:47:48.661168************\r\n', '')
('15:47:48.723620', b'>\r\n', 'sent:2-15:47:48.719716*')
('15:47:48.746096', b'>\r\n', 'sent:2-15:47:48.723620*')
('15:47:48.832441', b'D1-15:47:48.789014************\r\n', '')
('15:47:48.842173', b'D1-15:47:48.792918************\r\n', '')
('15:47:48.893142', b'D1-15:47:48.812893************\r\n', '')
('15:47:48.897019', b'>\r\n', 'sent:2-15:47:48.893142*')
('15:47:48.920445', b'>\r\n', 'sent:2-15:47:48.897019*')
