('14:26:48.448248', b'x\x00\x18\x86\x1eff\x18\xe6f`\x06\xe6\x98\x06f\xfef\xff>\r\n', 'sent:2-14:26:48.073327*')
('14:26:48.588569', b'>\r\n', 'sent:2-14:26:48.448248*')
('14:26:48.729413', b'>\r\n', 'sent:2-14:26:48.588569*')
('14:26:49.182430', b'>\r\n', 'sent:2-14:26:48.729413*')
('14:26:49.198051', b'>\r\n', 'sent:2-14:26:49.182430*')
('14:26:49.338656', b'>\r\n', 'sent:2-14:26:49.198051*')
('14:26:49.479216', b'>\r\n', 'sent:2-14:26:49.338656*')
('14:26:49.510212', b'>\r\n', 'sent:2-14:26:49.479216*')
('14:26:49.885407', b'>\r\n', 'sent:2-14:26:49.510212*')
('14:26:50.088472', b'>\r\n', 'sent:2-14:26:49.885407*')
('14:26:50.479024', b'>\r\n', 'sent:2-14:26:50.088472*')
('14:26:50.932057', b'>\r\n', 'sent:2-14:26:50.479024*')
('14:26:50.947635', b'>\r\n', 'sent:2-14:26:50.932057*')
('14:26:50.963303', b'>\r\n', 'sent:2-14:26:50.947635*')
('14:26:51.057028', b'>\r\n', 'sent:2-14:26:50.963303*')
('14:26:51.259814', b'>\r\n', 'sent:2-14:26:51.057028*')
('14:26:51.463186', b'>\r\n', 'sent:2-14:26:51.259814*')
('14:26:51.541278', b'>\r\n', 'sent:2-14:26:51.463186*')
('14:26:51.556899', b'>\r\n', 'sent:2-14:26:51.541278*')
('14:26:51.650629', b'>\r\n', 'sent:2-14:26:51.556899*')
('14:26:51.666266', b'>\r\n', 'sent:2-14:26:51.650629*')
('14:26:51.744310', b'>\r\n', 'sent:2-14:26:51.666266*')
('14:26:51.947436', b'>\r\n', 'sent:2-14:26:51.744310*')
('14:26:52.222345', b'>\r\n', 'sent:2-14:26:51.947436*')
('14:26:52.597265', b'>\r\n', 'sent:2-14:26:52.222345*')
('14:26:52.628240', b'>\r\n', 'sent:2-14:26:52.597265*')
('14:26:52.644082', b'>\r\n', 'sent:2-14:26:52.628240*')
('14:26:52.902330', b'>\r\n', 'sent:2-14:26:52.644082*')
('14:26:53.351646', b'>\r\n', 'sent:2-14:26:52.902330*')
('14:26:53.679695', b'>\r\n', 'sent:2-14:26:53.351646*')
('14:26:53.820303', b'>\r\n', 'sent:2-14:26:53.679695*')
('14:26:53.835924', b'>\r\n', 'sent:2-14:26:53.820303*')
('14:26:54.038984', b'>\r\n', 'sent:2-14:26:53.835924*')
('14:26:54.070252', b'>\r\n', 'sent:2-14:26:54.038984*')
('14:26:54.148342', b'>\r\n', 'sent:2-14:26:54.070252*')
('14:26:54.413919', b'>\r\n', 'sent:2-14:26:54.148342*')
('14:26:54.554502', b'>\r\n', 'sent:2-14:26:54.413919*')
('14:26:55.183856', b'>\r\n', 'sent:2-14:26:54.554502*')
('14:26:55.261931', b'>\r\n', 'sent:2-14:26:55.183856*')
('14:26:55.293098', b'>\r\n', 'sent:2-14:26:55.261931*')
('14:26:55.683449', b'>\r\n', 'sent:2-14:26:55.293098*')
('14:26:55.824194', b'>\r\n', 'sent:2-14:26:55.683449*')
('14:26:55.839956', b'>\r\n', 'sent:2-14:26:55.824194*')
('14:26:56.168007', b'>\r\n', 'sent:2-14:26:55.839956*')
('14:26:56.183612', b'>\r\n', 'sent:2-14:26:56.168007*')
('14:26:56.574163', b'>\r\n', 'sent:2-14:26:56.183612*')
('14:26:56.652270', b'>\r\n', 'sent:2-14:26:56.574163*')
('14:26:56.855329', b'>\r\n', 'sent:2-14:26:56.652270*')
('14:26:56.995937', b'>\r\n', 'sent:2-14:26:56.855329*')
('14:26:57.089655', b'>\r\n', 'sent:2-14:26:56.995937*')
('14:26:57.230265', b'>\r\n', 'sent:2-14:26:57.089655*')
('14:26:57.308349', b'>\r\n', 'sent:2-14:26:57.230265*')
('14:26:58.183138', b'>\r\n', 'sent:2-14:26:57.308349*')
('14:26:58.872038', b'>\r\n', 'sent:2-14:26:58.183138*')
('14:26:59.434459', b'>\r\n', 'sent:2-14:26:58.872038*')
('14:27:12.261958', b'\x98x\x00\x18\x86\x1eff\x18\xe6f`\x06\xe6\x98\x06f\xff>\r\n', 'sent:2-14:27:11.945330*')
('14:27:12.589756', b'>\r\n', 'sent:2-14:27:12.261958*')
('14:27:12.668134', b'>\r\n', 'sent:2-14:27:12.589756*')
('14:27:12.808696', b'>\r\n', 'sent:2-14:27:12.668134*')
('14:27:12.839678', b'>\r\n', 'sent:2-14:27:12.808696*')
('14:27:12.980550', b'>\r\n', 'sent:2-14:27:12.839678*')
