(14:43:13.81411100, '1-22*************')
(14:43:13.90785700, '1-25*************')
(14:43:14.18902500, '1-27*************')
(14:43:14.46992700, '1-29*************')
(14:43:15.28251500, '1-37*************')
(14:43:15.81546900, '1-47*************')
(14:43:15.81546900, '1-46*************')
(14:43:16.03423500, '1-49*************')
(14:43:16.42571500, '1-51*************')
(14:43:16.58219700, '1-53*************')
(14:43:16.76938400, '1-57*************')
(14:43:17.91001800, '1-78*************')
(14:43:18.06622900, '1-79*************')
(14:43:18.58145800, '1-89*************')
(14:43:18.58145800, '1-88*************')
(14:43:18.73789000, '1-92*************')
(14:43:18.89392300, '1-93*************')
(14:43:19.09725300, '1-97*************')
(14:43:19.09725300, '1-98*************')
(14:43:20.61250900, '1-112************')
(14:43:21.08086800, '1-124************')
(14:43:24.08165300, '1-148************')
(14:43:24.14417500, '1-149************')
(14:43:24.14417500, '1-150************')
(14:43:24.30037200, '1-152************')
(14:43:24.67546000, '1-154************')
(14:43:24.73774800, '1-156************')
(14:43:24.84737900, '1-159************')
(14:43:25.40948700, '1-165************')
(14:43:25.40948700, '1-166************')
(14:43:25.81769900, '1-173************')
(14:43:26.51303700, '1-183************')
(14:43:26.62239200, '1-188************')
(14:43:26.71583700, '1-190************')
(14:43:29.62960200, '1-216************')
(14:43:29.69234700, '1-218************')
(14:43:29.69234700, '1-219************')
(14:43:29.78579400, '1-222************')
(14:43:29.78579400, '1-221************')
(14:43:29.84854700, '1-223************')
(14:43:29.91106900, '1-224************')
(14:43:30.09849600, '1-229************')
(14:43:30.09849600, '1-230************')
(14:43:30.77017400, '1-239************')
(14:43:31.14514200, '1-244************')
(14:43:31.35746600, '1-248************')
(14:43:31.35746600, '1-249************')
(14:43:31.72574200, '1-258************')
(14:43:31.88197200, '1-262************')
(14:43:33.10770300, '1-281************')
(14:43:33.38889800, '1-284************')
(14:43:34.11414600, '1-295************')
(14:43:34.11414600, '1-296************')
(14:43:34.44241000, '1-301************')
(14:43:34.50488700, '1-302************')
(14:43:35.15628100, '1-309************')
(14:43:35.21905800, '1-310************')
(14:43:35.21905800, '1-311************')
(14:43:35.48834800, '1-313************')
(14:43:35.85771200, '1-315************')
(14:43:36.89170900, '1-329************')
(14:43:37.79394700, '1-343************')
(14:43:39.71278400, '1-364************')
(14:43:39.92810800, '1-369************')
(14:43:41.02159700, '1-386************')
(14:43:41.02159700, '1-387************')
(14:43:41.15304100, '1-389************')
(14:43:41.23765500, '1-391************')
(14:43:41.23765500, '1-392************')
(14:43:41.34052800, '1-394************')
(14:43:41.80483500, '1-399************')
(14:43:42.26827400, '1-404************')
(14:43:42.26827400, '1-405************')
(14:43:43.11500500, '1-415************')
(14:43:43.64102900, '1-423************')
(14:43:43.64200400, '1-424************')
(14:43:43.97913000, '1-429************')
(14:43:46.13870600, '1-458************')
(14:43:46.96974100, '1-464************')
(14:43:47.99014500, '1-483************')
(14:43:48.11532800, '1-487************')
(14:43:48.39658100, '1-493************')
(14:43:48.39658100, '1-494************')
(14:43:48.86493800, '1-500************')
(14:43:48.86493800, '1-501************')
(14:43:48.97457700, '1-504************')
(14:43:50.00481100, '1-511************')
(14:43:50.83525500, '1-522************')
(14:43:51.48595800, '1-527************')
(14:43:52.45970800, '1-545************')
(14:43:52.52192000, '1-547************')
(14:43:52.63149600, '1-550************')
(14:43:52.74087100, '1-551************')
(14:43:52.74087100, '1-552************')
(14:43:52.78777500, '1-553************')
(14:43:54.05280900, '1-568************')
(14:43:54.11529400, '1-569************')
(14:43:54.97476100, '1-581************')
(14:43:55.31813600, '1-586************')
(14:43:56.39393000, '1-595************')
(14:43:56.39393000, '1-596************')
(14:43:56.47204800, '1-598************')
(14:43:57.69433000, '1-612************')
(14:43:57.69433000, '1-611************')
(14:43:57.89718900, '1-617************')
(14:43:58.08491500, '1-618************')
(14:43:58.80348200, '1-634************')
(14:43:59.17865200, '1-639************')
(14:44:0.12447300, '1-648************')
(14:44:0.28066100, '1-652************')
(14:44:0.28066100, '1-651************')
(14:44:0.80155100, '1-658************')
(14:44:1.46118100, '1-667************')
(14:44:1.71094700, '1-672************')
(14:44:1.85175400, '1-674************')
(14:44:1.94519500, '1-676************')
(14:44:2.07016600, '1-677************')
(14:44:2.07016600, '1-678************')
(14:44:2.16411900, '1-680************')
(14:44:2.28915600, '1-682************')
(14:44:2.28915600, '1-681************')
(14:44:2.47632000, '1-684************')
(14:44:2.47632000, '1-683************')
(14:44:2.47632000, '1-685************')
(14:44:2.69504000, '1-687************')
(14:44:2.69504000, '1-688************')
(14:44:2.96085600, '1-693************')
(14:44:3.02330200, '1-694************')
(14:44:3.31990800, '1-698************')
(14:44:3.60133400, '1-703************')
(14:44:4.30429500, '1-711************')
(14:44:5.14757700, '1-724************')
(14:44:5.14757700, '1-725************')
(14:44:5.19443000, '1-726************')
(14:44:5.35093600, '1-730************')
(14:44:5.83519300, '1-740************')
(14:44:5.99135300, '1-742************')
(14:44:6.39746000, '1-749************')
(14:44:6.39746000, '1-750************')
(14:44:7.13357600, '1-762************')
(14:44:7.19604100, '1-763************')
(14:44:8.07057700, '1-775************')
(14:44:8.32055100, '1-779************')
(14:44:8.32055100, '1-780************')
(14:44:8.53949600, '1-782************')
(14:44:8.63323500, '1-783************')
(14:44:8.63323500, '1-784************')
(14:44:9.21093300, '1-790************')
(14:44:9.21093300, '1-791************')
(14:44:9.27371500, '1-793************')
(14:44:9.97664700, '1-799************')
(14:44:10.13259000, '1-802************')
(14:44:10.19519100, '1-803************')
(14:44:10.71323300, '1-806************')
(14:44:10.71323300, '1-807************')
(14:44:10.77568700, '1-808************')
(14:44:11.16623700, '1-811************')
(14:44:11.60338500, '1-815************')
(14:44:11.66585900, '1-816************')
(14:44:11.91578400, '1-817************')
(14:44:12.47675200, '1-826************')
(14:44:12.47675200, '1-827************')
(14:44:13.25808600, '1-834************')
(14:44:13.47649000, '1-836************')
(14:44:13.47649000, '1-837************')
(14:44:13.97637200, '1-846************')
(14:44:14.10161800, '1-849************')
(14:44:14.96074400, '1-864************')
(14:44:15.11702300, '1-866************')
(14:44:15.21045600, '1-867************')
(14:44:15.21045600, '1-868************')
(14:44:15.33572100, '1-869************')
(14:44:15.33572100, '1-870************')
(14:44:15.39819000, '1-871************')
(14:44:15.39819000, '1-872************')
(14:44:15.71243400, '1-877************')
(14:44:15.71243400, '1-878************')
(14:44:16.43031500, '1-892************')
(14:44:17.16480600, '1-900************')
(14:44:17.28978100, '1-904************')
(14:44:18.28953100, '1-917************')
(14:44:18.38311300, '1-919************')
(14:44:19.05499500, '1-928************')
(14:44:19.05499500, '1-927************')
(14:44:19.71079500, '1-940************')
(14:44:20.32030300, '1-944************')
(14:44:20.56996600, '1-948************')
(14:44:20.69493600, '1-950************')
(14:44:20.78866500, '1-952************')
(14:44:20.88239200, '1-953************')
(14:44:20.88239200, '1-954************')
(14:44:20.96050000, '1-956************')
(14:44:21.14795900, '1-959************')
(14:44:21.21045500, '1-960************')
(14:44:21.40341600, '1-962************')
(14:44:21.55543300, '1-964************')
(14:44:21.97720800, '1-972************')
(14:44:22.47723400, '1-978************')
(14:44:22.47723400, '1-977************')
(14:44:22.53987200, '1-979************')
(14:44:22.85228000, '1-981************')
(14:44:22.97722700, '1-983************')
(14:44:22.97722700, '1-984************')
(14:44:23.85206300, '1-995************')
(14:44:25.22669700, '1-1014***********')
(14:44:25.85415000, '1-1022***********')
(14:44:26.07289800, '1-1028***********')
(14:44:26.56090600, '1-1032***********')
(14:44:27.75881000, '1-1048***********')
(14:44:28.07144900, '1-1052***********')
(14:44:28.25892500, '1-1056***********')
(14:44:28.47752100, '1-1059***********')
(14:44:28.72719300, '1-1062***********')
(14:44:28.72719300, '1-1061***********')
(14:44:29.60226800, '1-1078***********')
(14:44:29.66477200, '1-1079***********')
(14:44:30.41432300, '1-1086***********')
(14:44:30.41432300, '1-1085***********')
(14:44:31.37484400, '1-1097***********')
(14:44:31.71879200, '1-1100***********')
(14:44:31.71879200, '1-1101***********')
(14:44:32.15620500, '1-1108***********')
(14:44:32.50639200, '1-1116***********')
(14:44:32.66261500, '1-1119***********')
(14:44:33.74421400, '1-1125***********')
(14:44:33.83767300, '1-1128***********')
(14:44:33.94727400, '1-1129***********')
(14:44:34.65768100, '1-1144***********')
(14:44:35.93892300, '1-1167***********')
(14:44:36.22010800, '1-1173***********')
(14:44:36.28232800, '1-1175***********')
(14:44:36.86596800, '1-1179***********')
(14:44:36.91310400, '1-1182***********')
(14:44:37.10054600, '1-1185***********')
(14:44:37.95973300, '1-1195***********')
(14:44:39.25600900, '1-1211***********')
(14:44:39.97487700, '1-1223***********')
(14:44:40.13109900, '1-1226***********')
(14:44:41.19095000, '1-1236***********')
(14:44:41.19095000, '1-1237***********')
(14:44:41.30036500, '1-1239***********')
(14:44:41.42487600, '1-1241***********')
(14:44:41.64356000, '1-1245***********')
(14:44:41.64356000, '1-1246***********')
(14:44:41.89335200, '1-1247***********')
(14:44:41.98723600, '1-1249***********')
(14:44:42.97709200, '1-1268***********')
(14:44:43.39914100, '1-1270***********')
(14:44:43.75841300, '1-1279***********')
(14:44:44.03955100, '1-1287***********')
