(14:2:46.70029200, '1-4**************')
(14:2:46.76305500, '1-6**************')
(14:2:46.76305500, '1-5**************')
(14:2:50.56366500, '1-34*************')
(14:2:51.61028500, '1-47*************')
(14:2:52.45359700, '1-55*************')
(14:2:52.45359700, '1-54*************')
(14:2:52.51624400, '1-56*************')
(14:2:52.51624400, '1-57*************')
(14:2:52.67240700, '1-59*************')
(14:2:53.07870200, '1-63*************')
(14:2:54.87665400, '1-77*************')
(14:2:54.93915900, '1-79*************')
(14:2:54.93915900, '1-78*************')
(14:2:55.00139000, '1-80*************')
(14:2:55.00139000, '1-81*************')
(14:3:0.90839600, '1-110************')
(14:3:2.04880200, '1-117************')
(14:3:3.11302900, '1-130************')
(14:3:4.09706200, '1-135************')
(14:3:4.11255200, '1-136************')
(14:3:4.15968800, '1-137************')
(14:3:4.67509100, '1-144************')
(14:3:4.73759800, '1-145************')
(14:3:4.73759800, '1-146************')
(14:3:5.42502800, '1-153************')
(14:3:11.24255400, '1-186************')
(14:3:13.71660600, '1-220************')
(14:3:18.31805300, '1-251************')
(14:3:18.67310300, '1-255************')
(14:3:18.67310300, '1-254************')
(14:3:19.61013200, '1-262************')
(14:3:23.28535000, '1-287************')
(14:3:27.64532200, '1-324************')
(14:3:27.80157200, '1-325************')
(14:3:32.98964700, '1-360************')
(14:3:34.67864100, '1-372************')
(14:3:34.69400800, '1-373************')
(14:3:35.30350400, '1-378************')
(14:3:35.36600600, '1-379************')
(14:3:35.36600600, '1-380************')
(14:3:36.45939500, '1-392************')
(14:3:36.45939500, '1-391************')
(14:3:36.52198400, '1-393************')
(14:3:36.99033800, '1-398************')
(14:3:38.05289500, '1-413************')
(14:3:38.05289500, '1-414************')
(14:3:43.03775300, '1-462************')
(14:3:43.03775300, '1-463************')
(14:3:43.10008900, '1-464************')
(14:3:43.20968300, '1-466************')
(14:3:43.22505000, '1-467************')
(14:3:43.66272100, '1-472************')
(14:3:45.69511300, '1-488************')
(14:3:46.24204500, '1-494************')
(14:3:48.80567400, '1-512************')
(14:3:48.80567400, '1-513************')
(14:3:51.39907400, '1-531************')
(14:3:51.39907400, '1-530************')
(14:3:53.33589300, '1-550************')
(14:3:54.65001000, '1-562************')
(14:3:58.32308900, '1-588************')
(14:3:59.86987800, '1-596************')
(14:4:2.18186100, '1-618************')
(14:4:2.43180400, '1-620************')
(14:4:3.27709500, '1-627************')
(14:4:3.27709500, '1-628************')
(14:4:3.37080400, '1-629************')
(14:4:4.52681100, '1-639************')
(14:4:4.69891100, '1-642************')
(14:4:5.22976900, '1-649************')
(14:4:5.49559500, '1-651************')
(14:4:9.85634900, '1-694************')
(14:4:10.13744300, '1-696************')
(14:4:10.13744300, '1-697************')
(14:4:10.19992200, '1-698************')
(14:4:11.79338200, '1-708************')
(14:4:11.80893100, '1-709************')
(14:4:13.87374200, '1-724************')
(14:4:13.87374200, '1-725************')
(14:4:16.13912700, '1-741************')
(14:4:16.91992300, '1-745************')
(14:4:17.98459300, '1-751************')
(14:4:19.17179300, '1-769************')
