(14:2:49.04836800, '2-28*************')
(14:2:50.34496400, '2-43*************')
(14:2:50.34496400, '2-44*************')
(14:2:52.59443500, '2-69*************')
(14:2:54.12683000, '2-82*************')
(14:2:54.12683000, '2-83*************')
(14:2:54.17372300, '2-84*************')
(14:3:0.95533600, '2-142************')
(14:3:0.95533600, '2-143************')
(14:3:1.25215600, '2-146************')
(14:3:1.37712800, '2-149************')
(14:3:1.37712800, '2-150************')
(14:3:3.03492900, '2-162************')
(14:3:4.25339900, '2-172************')
(14:3:5.20630900, '2-179************')
(14:3:5.20630900, '2-180************')
(14:3:5.30004800, '2-182************')
(14:3:5.30004800, '2-183************')
(14:3:6.15896700, '2-189************')
(14:3:7.55198700, '2-199************')
(14:3:8.32054700, '2-210************')
(14:3:9.13785800, '2-223************')
(14:3:9.40725600, '2-226************')
(14:3:10.68775200, '2-232************')
(14:3:11.31178100, '2-241************')
(14:3:12.29763300, '2-251************')
(14:3:12.99938900, '2-256************')
(14:3:14.68109300, '2-268************')
(14:3:14.93494200, '2-271************')
(14:3:15.22020900, '2-274************')
(14:3:15.22020900, '2-275************')
(14:3:16.03830600, '2-277************')
(14:3:16.70868300, '2-284************')
(14:3:16.70868300, '2-285************')
(14:3:16.88712800, '2-288************')
(14:3:18.71996800, '2-304************')
(14:3:20.36020200, '2-314************')
(14:3:21.58261100, '2-319************')
(14:3:21.87937700, '2-322************')
(14:3:23.36345100, '2-334************')
(14:3:23.45485000, '2-337************')
(14:3:24.61083800, '2-343************')
(14:3:25.42697400, '2-347************')
(14:3:25.42697400, '2-348************')
(14:3:26.59872000, '2-358************')
(14:3:27.03608800, '2-360************')
(14:3:28.97083500, '2-372************')
(14:3:30.33402000, '2-383************')
(14:3:30.39649400, '2-384************')
(14:3:30.39649400, '2-385************')
(14:3:34.60050500, '2-421************')
(14:3:35.22538800, '2-429************')
(14:3:35.77216200, '2-432************')
(14:3:36.89690500, '2-440************')
(14:3:36.95927600, '2-442************')
(14:3:37.91229700, '2-449************')
(14:3:37.91229700, '2-450************')
(14:3:40.66341400, '2-466************')
(14:3:45.75771700, '2-505************')
(14:3:45.75771700, '2-506************')
(14:3:46.10139300, '2-510************')
(14:3:46.19517300, '2-512************')
(14:3:49.36805100, '2-532************')
(14:3:49.72759000, '2-538************')
(14:3:49.85254600, '2-540************')
(14:3:50.10251700, '2-542************')
(14:3:50.16501300, '2-543************')
(14:3:50.52412700, '2-546************')
(14:3:50.58677300, '2-547************')
(14:3:51.53944200, '2-553************')
(14:3:55.66565500, '2-583************')
(14:3:55.75939100, '2-585************')
(14:3:59.12005400, '2-603************')
(14:4:0.36977600, '2-609************')
(14:4:0.43227800, '2-610************')
(14:4:11.04356100, '2-666************')
(14:4:11.88702900, '2-673************')
(14:4:12.54322000, '2-678************')
(14:4:14.12389000, '2-693************')
(14:4:14.12389000, '2-694************')
(14:4:19.85890800, '2-734************')
(14:4:19.85890800, '2-735************')
(14:4:20.48401900, '2-740************')
(14:4:20.84332900, '2-747************')
(14:4:21.12451100, '2-753************')
(14:4:22.26662300, '2-761************')
(14:4:22.26662300, '2-762************')
(14:4:22.32912600, '2-763************')
(14:4:22.32912600, '2-764************')
(14:4:22.42284000, '2-766************')
(14:4:24.09435300, '2-783************')
(14:4:26.04701700, '2-800************')
(14:4:27.00181400, '2-810************')
(14:4:29.70441000, '2-831************')
(14:4:29.96994500, '2-833************')
(14:4:30.18867900, '2-838************')
(14:4:30.73705100, '2-841************')
(14:4:30.73705100, '2-842************')
(14:4:31.70584600, '2-846************')
(14:4:31.83083300, '2-849************')
(14:4:33.29926000, '2-864************')
(14:4:33.36173400, '2-865************')
(14:4:33.36173400, '2-866************')
(14:4:34.11128200, '2-870************')
(14:4:36.58175400, '2-883************')
(14:4:37.09726000, '2-890************')
(14:4:38.36260700, '2-901************')
(14:4:39.65926400, '2-908************')
(14:4:42.06651300, '2-928************')
(14:4:42.72261100, '2-935************')
(14:4:42.72261100, '2-936************')
(14:4:42.78512000, '2-937************')
(14:4:45.25529300, '2-957************')
(14:4:45.61456500, '2-961************')
(14:4:49.92531800, '2-1008***********')
(14:4:51.15925200, '2-1018***********')
(14:4:51.25948400, '2-1020***********')
(14:4:52.09187600, '2-1026***********')
(14:4:52.60855200, '2-1031***********')
(14:4:52.73142600, '2-1034***********')
(14:4:52.73142600, '2-1035***********')
(14:4:53.93547400, '2-1046***********')
(14:4:54.48373800, '2-1052***********')
(14:4:54.48373800, '2-1053***********')
(14:4:55.57149100, '2-1065***********')
(14:4:59.30063100, '2-1090***********')
(14:4:59.30063100, '2-1091***********')
(14:5:4.77002200, '2-1130***********')
(14:5:4.83278500, '2-1131***********')
(14:5:4.83278500, '2-1132***********')
(14:5:7.77264200, '2-1164***********')
(14:5:9.05337600, '2-1176***********')
(14:5:9.71156000, '2-1185***********')
(14:5:15.58728300, '2-1223***********')
(14:5:17.63370700, '2-1235***********')
(14:5:18.07108100, '2-1240***********')
(14:5:18.16483600, '2-1242***********')
(14:5:21.57217400, '2-1262***********')
(14:5:21.57217400, '2-1263***********')
(14:5:22.35316100, '2-1268***********')
(14:5:24.35430700, '2-1287***********')
(14:5:24.47927500, '2-1289***********')
(14:5:25.96331100, '2-1300***********')
(14:5:26.36946800, '2-1306***********')
(14:5:27.71482000, '2-1320***********')
(14:5:28.37087000, '2-1328***********')
(14:5:28.37087000, '2-1329***********')
(14:5:28.65211200, '2-1331***********')
(14:5:28.74585200, '2-1333***********')
(14:5:28.74585200, '2-1334***********')
(14:5:28.80824000, '2-1335***********')
(14:5:28.80824000, '2-1336***********')
(14:5:28.87082400, '2-1337***********')
(14:5:28.87082400, '2-1338***********')
(14:5:28.96449200, '2-1340***********')
(14:5:29.05818200, '2-1343***********')
(14:5:29.05818200, '2-1344***********')
(14:5:29.12076600, '2-1346***********')
(14:5:29.65189300, '2-1350***********')
(14:5:30.02675200, '2-1354***********')
(14:5:30.44829500, '2-1359***********')
(14:5:30.44829500, '2-1360***********')
(14:5:31.91700600, '2-1371***********')
(14:5:33.46536500, '2-1381***********')
(14:5:33.46536500, '2-1382***********')
(14:5:34.99618300, '2-1391***********')
(14:5:35.05874100, '2-1393***********')
(14:5:35.40242500, '2-1400***********')
(14:5:35.46492800, '2-1401***********')
(14:5:35.46492800, '2-1402***********')
(14:5:37.23210500, '2-1417***********')
(14:5:42.71492000, '2-1462***********')
(14:5:43.18384100, '2-1468***********')
(14:5:46.35655500, '2-1484***********')
(14:5:46.84086000, '2-1487***********')
(14:5:48.14103100, '2-1500***********')
(14:5:48.47543700, '2-1505***********')
(14:5:49.93265500, '2-1517***********')
(14:5:50.03289300, '2-1520***********')
(14:5:50.56517400, '2-1523***********')
(14:5:52.38376600, '2-1532***********')
(14:5:56.17857900, '2-1553***********')
(14:5:56.70230400, '2-1560***********')
(14:5:56.76508600, '2-1561***********')
(14:5:58.28295100, '2-1572***********')
(14:5:58.28295100, '2-1573***********')
(14:5:59.39180200, '2-1580***********')
(14:5:59.39180200, '2-1581***********')
(14:6:2.57325900, '2-1600***********')
(14:6:2.57325900, '2-1601***********')
(14:6:4.27588000, '2-1615***********')
(14:6:4.91633800, '2-1623***********')
(14:6:4.91633800, '2-1624***********')
(14:6:4.97884700, '2-1625***********')
(14:6:4.97884700, '2-1626***********')
(14:6:10.37088500, '2-1665***********')
(14:6:10.37088500, '2-1666***********')
(14:6:12.16708000, '2-1682***********')
(14:6:13.46663200, '2-1693***********')
(14:6:15.41961800, '2-1704***********')
(14:6:15.67180600, '2-1707***********')
(14:6:16.94892300, '2-1713***********')
(14:6:17.04263000, '2-1715***********')
(14:6:17.10513700, '2-1717***********')
(14:6:17.10513700, '2-1718***********')
(14:6:20.45192600, '2-1741***********')
(14:6:21.68909500, '2-1755***********')
(14:6:23.68834500, '2-1772***********')
(14:6:25.96937200, '2-1794***********')
(14:6:27.90839100, '2-1812***********')
(14:6:27.97086100, '2-1815***********')
(14:6:28.48638900, '2-1820***********')
(14:6:32.47143700, '2-1848***********')
(14:6:34.14317400, '2-1863***********')
(14:6:34.70558400, '2-1871***********')
(14:6:35.76987400, '2-1877***********')
(14:6:37.31639300, '2-1887***********')
(14:6:37.91001300, '2-1891***********')
(14:6:39.00361300, '2-1902***********')
(14:6:39.00361300, '2-1903***********')
(14:6:40.75515400, '2-1917***********')
(14:6:40.84886200, '2-1921***********')
(14:6:42.11418600, '2-1929***********')
(14:6:43.89504500, '2-1944***********')
(14:6:49.19465600, '2-1997***********')
(14:6:52.10024500, '2-2020***********')
(14:6:53.80523300, '2-2032***********')
(14:6:53.86772300, '2-2033***********')
(14:7:1.64952100, '2-2088***********')
(14:7:1.64952100, '2-2087***********')
(14:7:1.71200800, '2-2089***********')
(14:7:1.71200800, '2-2090***********')
(14:7:4.69811500, '2-2118***********')
(14:7:5.80723800, '2-2132***********')
(14:7:6.35398800, '2-2135***********')
(14:7:6.51020300, '2-2137***********')
(14:7:6.51020300, '2-2138***********')
(14:7:7.15295500, '2-2140***********')
(14:7:7.15295500, '2-2141***********')
(14:7:8.87131500, '2-2154***********')
(14:7:10.96461500, '2-2165***********')
(14:7:11.02707200, '2-2167***********')
(14:7:11.88789200, '2-2177***********')
(14:7:11.88789200, '2-2176***********')
(14:7:12.85642200, '2-2185***********')
(14:7:12.85642200, '2-2184***********')
(14:7:15.98301800, '2-2208***********')
(14:7:17.31086500, '2-2213***********')
(14:7:18.45026600, '2-2215***********')
(14:7:18.77834600, '2-2217***********')
(14:7:18.91893800, '2-2219***********')
(14:7:20.91845400, '2-2240***********')
(14:7:21.52769000, '2-2241***********')
(14:7:21.85713800, '2-2244***********')
(14:7:21.85713800, '2-2245***********')
(14:7:23.95041300, '2-2261***********')
(14:7:24.15349000, '2-2262***********')
(14:7:24.26284000, '2-2264***********')
(14:7:24.26284000, '2-2265***********')
(14:7:25.65315100, '2-2284***********')
(14:7:25.71566800, '2-2286***********')
(14:7:25.87185000, '2-2289***********')
(14:7:28.29424800, '2-2306***********')
(14:7:29.02984900, '2-2312***********')
(14:7:31.51229900, '2-2325***********')
(14:7:34.24719100, '2-2347***********')
(14:7:34.46587100, '2-2350***********')
(14:7:35.35629300, '2-2358***********')
(14:7:35.35629300, '2-2357***********')
(14:7:37.07464000, '2-2366***********')
(14:7:37.38709000, '2-2370***********')
(14:7:37.38709000, '2-2371***********')
(14:7:40.76284300, '2-2392***********')
(14:7:40.76284300, '2-2393***********')
(14:7:42.38747300, '2-2413***********')
(14:7:42.63743700, '2-2417***********')
(14:7:42.96548700, '2-2420***********')
(14:7:46.12204700, '2-2453***********')
(14:7:47.44989900, '2-2463***********')
(14:7:47.80919200, '2-2470***********')
(14:7:48.43404200, '2-2475***********')
(14:7:49.18922300, '2-2480***********')
(14:7:49.76721500, '2-2488***********')
(14:7:49.76721500, '2-2487***********')
(14:7:50.47018000, '2-2495***********')
(14:7:50.47018000, '2-2496***********')
(14:7:53.86210600, '2-2522***********')
(14:7:59.00284900, '2-2552***********')
(14:7:59.00284900, '2-2553***********')
(14:7:59.62770600, '2-2557***********')
(14:8:0.00264300, '2-2562***********')
(14:8:0.06514800, '2-2563***********')
(14:8:1.67549400, '2-2579***********')
