('14:57:19.388454', b'S-dur: 61348\r\n', '')
('14:57:19.416364', b'B-dur: 31583; ssid: 1-49\r\n', '')
('14:57:19.478238', b'D2-53*************************\r\n', '')
('14:57:19.480195', b'S-dur: 61569\r\n', '')
('14:57:19.509159', b'B-dur: 31330; ssid: 1-50\r\n', '')
('14:57:19.569994', b'S-dur: 61435\r\n', '')
('14:57:19.630828', b'S-dur: 61117\r\n', '')
('14:57:19.733117', b'N-dur: 101346\r\n', '')
('14:57:19.793955', b'S-dur: 61118\r\n', '')
('14:57:19.854887', b'S-dur: 61020\r\n', '')
('14:57:19.887963', b'B-dur: 31756; ssid: 1-51\r\n', '')
('14:57:19.918881', b'B-dur: 30937; ssid: 1-52\r\n', '')
('14:57:19.978720', b'S-dur: 61396\r\n', '')
('14:57:20.041519', b'D2-60*************************\r\n', '')
('14:57:20.042550', b'S-dur: 61135\r\n', '')
('14:57:20.072437', b'B-dur: 31372; ssid: 1-53\r\n', '')
('14:57:20.103357', b'B-dur: 30955; ssid: 1-54\r\n', '')
('14:57:20.134304', b'B-dur: 30960; ssid: 1-55\r\n', '')
('14:57:20.165221', b'B-dur: 30960; ssid: 1-56\r\n', '')
('14:57:20.196298', b'B-dur: 30960; ssid: 1-57\r\n', '')
('14:57:20.258354', b'D2-65*************************\r\n', '')
('14:57:20.260382', b'S-dur: 61462\r\n', '')
('14:57:20.289304', b'B-dur: 31470; ssid: 1-58\r\n', '')
('14:57:20.320187', b'B-dur: 30955; ssid: 1-59\r\n', '')
('14:57:20.351138', b'B-dur: 30960; ssid: 1-60\r\n', '')
('14:57:20.383053', b'B-dur: 30960; ssid: 1-61\r\n', '')
('14:57:20.414034', b'B-dur: 30960; ssid: 1-62\r\n', '')
('14:57:20.444037', b'B-dur: 30960; ssid: 1-63\r\n', '')
('14:57:20.506084', b'D2-69*************************\r\n', '')
('14:57:20.507081', b'S-dur: 61374\r\n', '')
('14:57:20.537999', b'B-dur: 31558; ssid: 1-64\r\n', '')
('14:57:20.568081', b'B-dur: 30955; ssid: 1-65\r\n', '')
('14:57:20.599962', b'B-dur: 30960; ssid: 1-66\r\n', '')
('14:57:20.631051', b'B-dur: 30960; ssid: 1-67\r\n', '')
('14:57:20.662053', b'B-dur: 30960; ssid: 1-68\r\n', '')
('14:57:20.723111', b'D2-72*************************\r\n', '')
('14:57:20.726105', b'D2-71*************************\r\n', '')
