('14:57:19.419362', b'N-dur: 101960\r\n', '')
('14:57:19.453300', b'B-dur: 31962; ssid: 2-52\r\n', '')
('14:57:19.484189', b'B-dur: 30923; ssid: 2-53\r\n', '')
('14:57:19.514109', b'B-dur: 30959; ssid: 2-54\r\n', '')
('14:57:19.573983', b'S-dur: 61631\r\n', '')
('14:57:19.635782', b'S-dur: 61602\r\n', '')
('14:57:19.669259', b'B-dur: 31669; ssid: 2-55\r\n', '')
('14:57:19.700176', b'B-dur: 30957; ssid: 2-56\r\n', '')
('14:57:19.799909', b'N-dur: 100960\r\n', '')
('14:57:19.833817', b'B-dur: 31961; ssid: 2-57\r\n', '')
('14:57:19.892951', b'S-dur: 61562\r\n', '')
('14:57:19.927825', b'B-dur: 32338; ssid: 2-58\r\n', '')
('14:57:19.987667', b'S-dur: 61594\r\n', '')
('14:57:20.020577', b'B-dur: 31332; ssid: 2-59\r\n', '')
('14:57:20.051494', b'B-dur: 30957; ssid: 2-60\r\n', '')
('14:57:20.082412', b'B-dur: 30959; ssid: 2-61\r\n', '')
('14:57:20.113331', b'B-dur: 30959; ssid: 2-62\r\n', '')
('14:57:20.144277', b'B-dur: 30959; ssid: 2-63\r\n', '')
('14:57:20.208348', b'D1-56*************************\r\n', '')
('14:57:20.209346', b'S-dur: 61995\r\n', '')
('14:57:20.237413', b'B-dur: 30937; ssid: 2-64\r\n', '')
('14:57:20.268360', b'B-dur: 30954; ssid: 2-65\r\n', '')
('14:57:20.299249', b'B-dur: 30959; ssid: 2-66\r\n', '')
('14:57:20.330165', b'B-dur: 30959; ssid: 2-67\r\n', '')
('14:57:20.397984', b'D1-60*************************\r\n', '')
('14:57:20.399977', b'D1-61*************************\r\n', '')
('14:57:20.400973', b'S-dur: 62134\r\n', '')
('14:57:20.460000', b'D1-62*************************\r\n', '')
('14:57:20.461994', b'D1-63*************************\r\n', '')
('14:57:20.462991', b'S-dur: 61846\r\n', '')
('14:57:20.486137', b'B-dur: 30928; ssid: 2-68\r\n', '')
('14:57:20.517024', b'B-dur: 30954; ssid: 2-69\r\n', '')
('14:57:20.580019', b'D1-65*************************\r\n', '')
('14:57:20.581016', b'S-dur: 61664\r\n', '')
('14:57:20.641991', b'D1-67*************************\r\n', '')
('14:57:20.642989', b'S-dur: 61658\r\n', '')
('14:57:20.672079', b'B-dur: 31585; ssid: 2-70\r\n', '')
('14:57:20.702996', b'B-dur: 30954; ssid: 2-71\r\n', '')
('14:57:20.733169', b'B-dur: 30959; ssid: 2-72\r\n', '')
('14:57:20.796997', b'D1-69*************************\r\n', '')
('14:57:20.797995', b'S-dur: 61673\r\n', '')
('14:57:20.855207', b'S-dur: 61318\r\n', '')
('14:57:20.955937', b'N-dur: 100917\r\n', '')
('14:57:21.057837', b'N-dur: 101961\r\n', '')
('14:57:21.128754', b'D1-74*************************\r\n', '')
('14:57:21.130747', b'D1-75*************************\r\n', '')
('14:57:21.131744', b'S-dur: 62165\r\n', '')
('14:57:21.184881', b'D1-77*************************\r\n', '')
('14:57:21.184881', b'S-dur: 61748\r\n', '')
('14:57:21.246237', b'D1-78*************************\r\n', '')
('14:57:21.247227', b'S-dur: 61698\r\n', '')
('14:57:21.304259', b'S-dur: 61309\r\n', '')
('14:57:21.337230', b'B-dur: 30918; ssid: 2-73\r\n', '')
('14:57:21.400260', b'D1-79*************************\r\n', '')
('14:57:21.401251', b'S-dur: 61654\r\n', '')
('14:57:21.463122', b'D1-80*************************\r\n', '')
('14:57:21.464119', b'S-dur: 61799\r\n', '')
('14:57:21.525213', b'D1-81*************************\r\n', '')
('14:57:21.526211', b'S-dur: 61791\r\n', '')
('14:57:21.555132', b'B-dur: 31615; ssid: 2-74\r\n', '')
('14:57:21.618185', b'D1-84*************************\r\n', '')
('14:57:21.619181', b'S-dur: 61702\r\n', '')
('14:57:21.716115', b'N-dur: 101226\r\n', '')
('14:57:21.781019', b'D1-88*************************\r\n', '')
('14:57:21.781019', b'S-dur: 62057\r\n', '')
('14:57:21.838908', b'S-dur: 61456\r\n', '')
('14:57:21.871871', b'B-dur: 31377; ssid: 2-75\r\n', '')
