(11:20:5.01788700, '2-6**************')
(11:20:5.20534600, '2-11*************')
(11:20:8.37522100, '2-38*************')
(11:20:8.95739100, '2-43*************')
(11:20:10.56420800, '2-59*************')
(11:20:10.79051800, '2-63*************')
(11:20:17.12256100, '2-120************')
(11:20:18.07394000, '2-129************')
(11:20:18.15229700, '2-131************')
(11:20:18.22815300, '2-133************')
(11:20:18.60268200, '2-136************')
(11:20:18.98304700, '2-142************')
(11:20:20.79932500, '2-160************')
(11:20:20.79932500, '2-161************')
(11:20:22.71097000, '2-170************')
(11:20:22.93894200, '2-173************')
(11:20:22.93894200, '2-174************')
(11:20:28.34279300, '2-218************')
(11:20:31.93573000, '2-252************')
(11:20:31.98841800, '2-254************')
(11:20:33.01982200, '2-261************')
(11:20:33.42063300, '2-266************')
(11:20:34.00524900, '2-274************')
(11:20:34.00524900, '2-275************')
(11:20:36.35397400, '2-300************')
(11:20:36.35397400, '2-301************')
(11:20:36.41648800, '2-302************')
(11:20:36.41648800, '2-303************')
(11:20:39.31841800, '2-337************')
(11:20:39.59970300, '2-342************')
(11:20:39.67780500, '2-344************')
(11:20:39.67780500, '2-345************')
(11:20:40.01185400, '2-348************')
(11:20:40.02721900, '2-349************')
(11:20:44.16345500, '2-388************')
(11:20:48.83587400, '2-427************')
(11:20:49.79082800, '2-440************')
(11:20:51.11945800, '2-450************')
(11:20:51.85387000, '2-456************')
(11:20:52.54114200, '2-461************')
(11:20:52.54114200, '2-464************')
(11:20:52.60374200, '2-465************')
(11:20:52.76001000, '2-467************')
(11:20:53.96286000, '2-479************')
(11:20:54.27528300, '2-487************')
(11:20:54.27528300, '2-488************')
(11:20:54.36893600, '2-490************')
(11:20:55.66557900, '2-502************')
(11:20:56.32349100, '2-511************')
(11:20:57.02655300, '2-524************')
(11:20:58.05731100, '2-534************')
(11:20:58.11979700, '2-536************')
(11:20:58.74465400, '2-543************')
(11:20:58.93235800, '2-546************')
(11:21:0.43367600, '2-562************')
(11:21:3.66113300, '2-588************')
(11:21:6.79449000, '2-611************')
(11:21:10.41500300, '2-634************')
(11:21:11.64960500, '2-654************')
(11:21:12.93748900, '2-661************')
(11:21:14.29406900, '2-674************')
(11:21:14.29406900, '2-675************')
(11:21:14.99546000, '2-683************')
(11:21:17.08258100, '2-702************')
(11:21:17.08258100, '2-703************')
(11:21:20.01191400, '2-734************')
(11:21:20.01191400, '2-735************')
(11:21:20.05904400, '2-736************')
(11:21:20.98889200, '2-745************')
(11:21:20.98889200, '2-746************')
(11:21:21.50441200, '2-749************')
(11:21:22.47264300, '2-756************')
(11:21:22.96615200, '2-763************')
(11:21:22.96615200, '2-762************')
(11:21:23.62234100, '2-773************')
(11:21:24.87220900, '2-787************')
(11:21:24.87220900, '2-788************')
(11:21:25.24705400, '2-794************')
(11:21:26.95166700, '2-809************')
(11:21:27.10786900, '2-812************')
(11:21:28.27939700, '2-824************')
(11:21:28.82623800, '2-831************')
(11:21:31.04399000, '2-850************')
(11:21:32.21749500, '2-861************')
(11:21:32.60802000, '2-865************')
(11:21:37.75611400, '2-905************')
(11:21:37.98441700, '2-907************')
(11:21:38.17181600, '2-911************')
(11:21:39.87454200, '2-928************')
(11:21:40.96808900, '2-944************')
(11:21:40.96808900, '2-945************')
(11:21:42.25090300, '2-960************')
(11:21:42.25090300, '2-961************')
(11:21:43.14134000, '2-969************')
(11:21:45.57772700, '2-984************')
(11:21:46.67101100, '2-996************')
(11:21:47.54606600, '2-1004***********')
(11:21:48.12562900, '2-1013***********')
(11:21:48.18835200, '2-1015***********')
(11:21:48.25076900, '2-1016***********')
(11:21:48.84447300, '2-1020***********')
(11:21:48.84447300, '2-1021***********')
(11:21:50.52659100, '2-1033***********')
(11:21:50.52659100, '2-1034***********')
(11:21:50.71392400, '2-1036***********')
(11:21:52.01482100, '2-1047***********')
(11:21:53.57847600, '2-1067***********')
(11:21:54.69891300, '2-1074***********')
(11:21:57.40600900, '2-1093***********')
(11:21:59.03065000, '2-1111***********')
(11:21:59.43678200, '2-1114***********')
(11:21:59.43678200, '2-1115***********')
(11:21:59.49929100, '2-1116***********')
(11:21:59.49929100, '2-1117***********')
(11:22:3.03166200, '2-1160***********')
(11:22:3.48469500, '2-1164***********')
(11:22:5.22289100, '2-1173***********')
(11:22:6.05109400, '2-1181***********')
(11:22:8.39124900, '2-1207***********')
(11:22:11.17916300, '2-1237***********')
(11:22:11.60094200, '2-1241***********')
(11:22:16.08613000, '2-1287***********')
(11:22:17.05448800, '2-1296***********')
(11:22:21.32122800, '2-1345***********')
(11:22:21.83656900, '2-1348***********')
(11:22:22.63351100, '2-1356***********')
(11:22:27.02890600, '2-1394***********')
(11:22:27.43508000, '2-1398***********')
(11:22:27.91906100, '2-1403***********')
(11:22:29.80954800, '2-1421***********')
(11:22:31.62563300, '2-1440***********')
(11:22:34.74991700, '2-1479***********')
(11:22:36.11020800, '2-1490***********')
(11:22:36.12558500, '2-1491***********')
