(10:37:41.19905600, '2-19*************')
(10:37:41.20304500, '2-18*************')
(10:37:42.91490000, '2-26*************')
(10:37:42.91789600, '2-27*************')
(10:37:44.59066400, '2-40*************')
(10:37:46.37251500, '2-48*************')
(10:37:49.31874200, '2-68*************')
(10:37:49.48106000, '2-70*************')
(10:37:50.92319700, '2-83*************')
(10:37:50.92618900, '2-84*************')
(10:37:50.98518200, '2-85*************')
(10:37:50.98716000, '2-86*************')
(10:37:51.99429300, '2-97*************')
(10:37:55.18184800, '2-122************')
(10:37:55.50038800, '2-126************')
(10:37:56.71892200, '2-136************')
(10:37:56.77987700, '2-137************')
(10:37:56.87269200, '2-139************')
(10:38:0.14587400, '2-168************')
(10:38:0.30911800, '2-170************')
(10:38:0.90534200, '2-178************')
(10:38:4.93550400, '2-202************')
(10:38:4.99634500, '2-204************')
(10:38:4.99833300, '2-205************')
(10:38:6.92926000, '2-213************')
(10:38:7.83617500, '2-220************')
(10:38:7.83817400, '2-221************')
(10:38:7.89725300, '2-222************')
(10:38:7.89928500, '2-223************')
(10:38:8.11411800, '2-227************')
(10:38:8.11710900, '2-226************')
(10:38:10.61703500, '2-254************')
(10:38:11.73760800, '2-262************')
(10:38:11.74059900, '2-263************')
(10:38:12.41124700, '2-268************')
(10:38:12.41423900, '2-269************')
(10:38:19.57582100, '2-320************')
(10:38:20.57162300, '2-329************')
(10:38:21.47056500, '2-335************')
(10:38:21.53055300, '2-336************')
(10:38:26.00021200, '2-364************')
(10:38:26.00317500, '2-365************')
(10:38:27.11089800, '2-371************')
(10:38:27.90232200, '2-379************')
(10:38:28.73757200, '2-384************')
(10:38:29.25073700, '2-387************')
(10:38:29.92591200, '2-392************')
(10:38:32.10125900, '2-405************')
(10:38:32.10327400, '2-404************')
(10:38:32.22698900, '2-409************')
(10:38:32.83584400, '2-416************')
(10:38:33.03261800, '2-417************')
(10:38:34.37131300, '2-428************')
(10:38:35.08534800, '2-434************')
(10:38:35.08834400, '2-435************')
(10:38:38.31040800, '2-455************')
(10:38:38.73832100, '2-458************')
(10:38:42.17833500, '2-482************')
(10:38:49.06101700, '2-525************')
(10:38:52.47784100, '2-550************')
(10:38:53.24391300, '2-558************')
(10:38:53.24590900, '2-557************')
(10:38:57.63097900, '2-597************')
(10:38:59.41560300, '2-605************')
(10:39:0.35972300, '2-612************')
(10:39:3.26595800, '2-636************')
(10:39:3.26895000, '2-637************')
(10:39:4.51576200, '2-649************')
(10:39:4.87774100, '2-652************')
(10:39:4.87976800, '2-653************')
(10:39:5.96872200, '2-666************')
(10:39:5.97171500, '2-667************')
(10:39:6.50182500, '2-672************')
(10:39:10.01220000, '2-697************')
(10:39:11.05751900, '2-704************')
(10:39:11.22031700, '2-707************')
(10:39:11.72222500, '2-710************')
(10:39:11.72522400, '2-711************')
(10:39:12.47019100, '2-720************')
(10:39:14.42858800, '2-735************')
(10:39:14.48945200, '2-737************')
(10:39:14.71182900, '2-741************')
(10:39:15.18251100, '2-745************')
(10:39:15.18548900, '2-746************')
(10:39:15.24433100, '2-747************')
(10:39:16.04379000, '2-752************')
