('19:23:59.409583', b'>\r\n', 'sent:1-19:23:59.407902*')
('19:23:59.552265', b'>\r\n', 'sent:1-19:23:59.409633*')
('19:23:59.882568', b'>\r\n', 'sent:1-19:23:59.552302*')
('19:23:59.903854', b'>\r\n', 'sent:1-19:23:59.882613*')
('19:24:00.595678', b'>\r\n', 'sent:1-19:23:59.903881*')
('19:24:00.615732', b'>\r\n', 'sent:1-19:24:00.595760*')
('19:24:00.819719', b'>\r\n', 'sent:1-19:24:00.615797*')
('19:24:00.839794', b'>\r\n', 'sent:1-19:24:00.819787*')
('19:24:01.043821', b'>\r\n', 'sent:1-19:24:00.839846*')
('19:24:01.063918', b'>\r\n', 'sent:1-19:24:01.043884*')
('19:24:01.145429', b'>\r\n', 'sent:1-19:24:01.063970*')
('19:24:01.165544', b'>\r\n', 'sent:1-19:24:01.145483*')
('19:24:01.490941', b'>\r\n', 'sent:1-19:24:01.165597*')
('19:24:01.514679', b'>\r\n', 'sent:1-19:24:01.491026*')
('19:24:01.841251', b'>\r\n', 'sent:1-19:24:01.514734*')
('19:24:01.983965', b'>\r\n', 'sent:1-19:24:01.841321*')
('19:24:02.185443', b'>\r\n', 'sent:1-19:24:01.984032*')
('19:24:02.205551', b'>\r\n', 'sent:1-19:24:02.185506*')
('19:24:02.592178', b'>\r\n', 'sent:1-19:24:02.205605*')
('19:24:02.673570', b'>\r\n', 'sent:1-19:24:02.592258*')
('19:24:02.997584', b'>\r\n', 'sent:1-19:24:02.673626*')
('19:24:03.200329', b'>\r\n', 'sent:1-19:24:02.997649*')
('19:24:03.221711', b'>\r\n', 'sent:1-19:24:03.200386*')
('19:24:03.244297', b'>\r\n', 'sent:1-19:24:03.221770*')
('19:24:03.327305', b'>\r\n', 'sent:1-19:24:03.244351*')
('21:55:22.384141', b'>\r\n', 'sent:1-21:55:21.273748*')
('21:55:23.134419', b'>\r\n', 'sent:1-21:55:22.384238*')
('21:55:23.338316', b'>\r\n', 'sent:1-21:55:23.134513*')
('21:55:23.419752', b'>\r\n', 'sent:1-21:55:23.338415*')
('21:55:23.806274', b'>\r\n', 'sent:1-21:55:23.419837*')
('21:55:23.888935', b'>\r\n', 'sent:1-21:55:23.806357*')
('21:55:23.910302', b'>\r\n', 'sent:1-21:55:23.889007*')
('21:55:23.993093', b'>\r\n', 'sent:1-21:55:23.910371*')
('21:55:24.013216', b'>\r\n', 'sent:1-21:55:23.993175*')
('21:55:24.034575', b'>\r\n', 'sent:1-21:55:24.013296*')
('21:55:24.542448', b'>\r\n', 'sent:1-21:55:24.034653*')
('21:55:24.564910', b'>\r\n', 'sent:1-21:55:24.542544*')
('21:55:25.011542', b'>\r\n', 'sent:1-21:55:24.564977*')
('21:55:25.579300', b'>\r\n', 'sent:1-21:55:25.011628*')
('21:55:25.844497', b'>\r\n', 'sent:1-21:55:25.579396*')
('21:55:25.927285', b'>\r\n', 'sent:1-21:55:25.844584*')
('21:55:25.948606', b'>\r\n', 'sent:1-21:55:25.927361*')
('21:55:25.971178', b'>\r\n', 'sent:1-21:55:25.948684*')
('21:55:25.992568', b'>\r\n', 'sent:1-21:55:25.971246*')
('21:55:26.015185', b'>\r\n', 'sent:1-21:55:25.992646*')
('21:55:26.461780', b'>\r\n', 'sent:1-21:55:26.015256*')
('21:55:26.665711', b'>\r\n', 'sent:1-21:55:26.461869*')
('21:55:26.747268', b'>\r\n', 'sent:1-21:55:26.665793*')
('21:55:26.828729', b'>\r\n', 'sent:1-21:55:26.747344*')
('21:55:27.214048', b'>\r\n', 'sent:1-21:55:26.828814*')
('21:55:27.296710', b'>\r\n', 'sent:1-21:55:27.214128*')
('21:55:27.439470', b'>\r\n', 'sent:1-21:55:27.296799*')
('21:55:27.644732', b'>\r\n', 'sent:1-21:55:27.439554*')
('21:55:27.787517', b'>\r\n', 'sent:1-21:55:27.644818*')
('21:55:28.236518', b'>\r\n', 'sent:1-21:55:27.787627*')
('21:55:28.257796', b'>\r\n', 'sent:1-21:55:28.236597*')
('21:55:28.341842', b'>\r\n', 'sent:1-21:55:28.257865*')
('21:55:28.667199', b'>\r\n', 'sent:1-21:55:28.341928*')
('21:55:28.688407', b'>\r\n', 'sent:1-21:55:28.667293*')
